rank	k	weight	d_k	omega	is_prime	factors
1	448	1.416845107572e-1	14	2	composite	2^6·7
2	600	1.248661631466e-1	24	3	composite	2^3·3·5^2
3	540	8.791969586785e-2	24	3	composite	2^2·3^3·5
4	449	5.792755015625e-2	2	1	prime	449 (prime)
5	896	5.013323397530e-2	16	2	composite	2^7·7
6	541	4.889344056764e-2	2	1	prime	541 (prime)
7	1200	3.583728743999e-2	30	3	composite	2^4·3·5^2
8	1800	3.372513690556e-2	36	3	composite	2^3·3^2·5^2
9	601	2.919103159981e-2	2	1	prime	601 (prime)
10	1344	2.860828181550e-2	28	3	composite	2^6·3·7
11	2240	2.545775087945e-2	28	3	composite	2^6·5·7
12	4200	2.240173729159e-2	48	4	composite	2^3·3·5^2·7
13	1080	2.041515229012e-2	32	3	composite	2^3·3^3·5
14	599	1.717024176583e-2	2	1	prime	599 (prime)
15	3136	1.550415636352e-2	21	2	composite	2^6·7^2
16	4928	1.490206462201e-2	28	3	composite	2^6·7·11
17	13888	1.404528771797e-2	28	3	composite	2^6·7·31
18	3780	1.367415528929e-2	48	4	composite	2^2·3^3·5·7
19	5824	1.312669337935e-2	28	3	composite	2^6·7·13
20	2688	1.207556079843e-2	32	3	composite	2^7·3·7
21	900	8.648083826695e-3	27	3	composite	2^2·3^2·5^2
22	18432	7.238790021757e-3	36	2	composite	2^11·3^2
23	4480	5.095478097297e-3	32	3	composite	2^7·5·7
24	8400	4.958062716270e-3	60	4	composite	2^4·3·5^2·7
25	7560	4.948897626936e-3	64	4	composite	2^3·3^3·5·7
26	1201	4.863639272925e-3	2	1	prime	1201 (prime)
27	576	4.359019351324e-3	21	2	composite	2^6·3^2
28	12600	4.244723860697e-3	72	4	composite	2^3·3^2·5^2·7
29	3593	4.076404626448e-3	2	1	prime	3593 (prime)
30	1801	3.967924062391e-3	2	1	prime	1801 (prime)
31	443	3.765168648470e-3	2	1	prime	443 (prime)
32	577	3.595203299788e-3	2	1	prime	577 (prime)
33	9856	3.470009186341e-3	32	3	composite	2^7·7·11
34	3584	3.147381494532e-3	20	2	composite	2^9·7
35	1087	2.744672428962e-3	2	1	prime	1087 (prime)
36	2243	2.627084058578e-3	2	1	prime	2243 (prime)
37	15872	2.460605306656e-3	20	2	composite	2^9·31
38	6272	2.426143707301e-3	24	2	composite	2^7·7^2
39	18427	2.421733468662e-3	2	1	prime	18427 (prime)
40	18433	2.403363549884e-3	2	1	prime	18433 (prime)
41	27776	2.336857674524e-3	32	3	composite	2^7·7·31
42	3600	2.329252006746e-3	45	3	composite	2^4·3^2·5^2
43	2160	2.052592718190e-3	40	3	composite	2^4·3^3·5
44	11648	2.012544359039e-3	32	3	composite	2^7·7·13
45	1193	1.948648252663e-3	2	1	prime	1193 (prime)
46	36864	1.879333284948e-3	39	2	composite	2^12·3^2
47	3793	1.876283115750e-3	2	1	prime	3793 (prime)
48	31744	1.843088053070e-3	22	2	composite	2^10·31
49	15625	1.779851948390e-3	7	1	composite	5^6
50	45360	1.618323718571e-3	100	4	composite	2^4·3^4·5·7
51	5939	1.495781544031e-3	2	1	prime	5939 (prime)
52	7936	1.460752298907e-3	18	2	composite	2^8·31
53	6300	1.255951380397e-3	54	4	composite	2^2·3^2·5^2·7
54	5376	1.212387349889e-3	36	3	composite	2^8·3·7
55	15120	1.143274355545e-3	80	4	composite	2^4·3^3·5·7
56	1331	1.117776076259e-3	4	1	composite	11^3
57	2728	1.092049166306e-3	16	3	composite	2^3·11·31
58	2880	1.010403862468e-3	42	3	composite	2^6·3^2·5
59	1327	1.005717798137e-3	2	1	prime	1327 (prime)
60	6720	9.731559162356e-4	56	4	composite	2^6·3·5·7
61	11904	9.494457432276e-4	32	3	composite	2^7·3·31
62	47616	9.404901315705e-4	40	3	composite	2^9·3·31
63	2161	9.207929706259e-4	2	1	prime	2161 (prime)
64	4224	8.924454576063e-4	32	3	composite	2^7·3·11
65	37800	8.684685441987e-4	96	4	composite	2^3·3^3·5^2·7
66	3607	8.168380856909e-4	2	1	prime	3607 (prime)
67	11176	7.568860398636e-4	16	3	composite	2^3·11·127
68	6944	7.510838377509e-4	24	3	composite	2^5·7·31
69	887	7.180187263574e-4	2	1	prime	887 (prime)
70	2689	6.993138396251e-4	2	1	prime	2689 (prime)
71	39424	6.956123107046e-4	40	3	composite	2^9·7·11
72	2401	6.914555487782e-4	5	1	composite	7^4
73	528	6.861471789125e-4	20	3	composite	2^4·3·11
74	6733	6.646593299419e-4	2	1	prime	6733 (prime)
75	1612	6.568556570834e-4	12	3	composite	2^2·13·31
76	5952	6.540038385663e-4	28	3	composite	2^6·3·31
77	384	6.421284252599e-4	16	2	composite	2^7·3
78	75600	6.275028950050e-4	120	4	composite	2^4·3^3·5^2·7
79	480	6.219680523230e-4	24	3	composite	2^5·3·5
80	95232	6.140998865201e-4	44	3	composite	2^10·3·31
