channel	gue_fit	goe_fit	gse_fit	poisson_fit	best_class
Full G_N	5.593279270866151e-1	7.271638053261082e-1	3.826744483636972e-1	6.953220981498045e-1	GOE (β=1)
χ₀ (principal)	5.115307038762704e-1	6.022163622837404e-1	3.984316608347352e-1	6.398171651446638e-1	Poisson
χ₁	5.115307038762704e-1	6.022163622837404e-1	3.984316608347352e-1	6.398171651446638e-1	Poisson
χ₂	5.115307038762704e-1	6.022163622837404e-1	3.984316608347352e-1	6.398171651446638e-1	Poisson
χ₃	5.115307038762704e-1	6.022163622837404e-1	3.984316608347352e-1	6.398171651446638e-1	Poisson
Odd sector	5.115307038762704e-1	6.022163622837404e-1	3.984316608347352e-1	6.398171651446638e-1	Poisson
Dark (even)	3.695038509115821e-1	4.395346502298875e-1	3.007297744511412e-1	5.003794730872648e-1	Poisson
