channel_a	channel_b	correlation
k≡1(8)	k≡3(8)	5.392393618199739e-1
k≡1(8)	k≡5(8)	4.759810351497054e-1
k≡1(8)	k≡7(8)	4.432409843773651e-1
k≡3(8)	k≡5(8)	6.261139566751864e-1
k≡3(8)	k≡7(8)	5.101072326474035e-1
k≡5(8)	k≡7(8)	5.407244773321392e-1
