channel	gue_fit	goe_fit	gse_fit	poisson_fit	best_class
Full G_N	5.859786965503806e-1	7.710971072573217e-1	3.912118536825138e-1	6.355295897409161e-1	GOE (β=1)
k≡1(8)	1.166269361873036e-1	1.336954496167678e-1	1.014133228074555e-1	2.364898832364833e-1	Poisson
k≡3(8)	1.564883436112199e-1	1.923127942589359e-1	1.286228952417399e-1	4.191334592309173e-1	Poisson
k≡5(8)	1.114462160892487e-1	1.304318518948077e-1	9.513500747909139e-2	2.432828125745958e-1	Poisson
k≡7(8)	1.190608494179306e-1	1.396641222744388e-1	1.009265231275143e-1	2.691545715607664e-1	Poisson
Odd sector	5.569055786111129e-1	6.274933540616831e-1	4.455140056740817e-1	5.026139444273253e-1	GOE (β=1)
Dark (even)	4.371577419322429e-1	5.663188385400254e-1	3.191033341770670e-1	6.469486081813031e-1	Poisson
