bin_center	count	density
1.102917007090723e-1	35	4.304919715261843e0
3.300277256556861e-1	1	1.229977061503384e-1
5.497637506022999e-1	0	0.000000000000000e0
7.694997755489137e-1	0	0.000000000000000e0
9.892358004955275e-1	0	0.000000000000000e0
1.208971825442141e0	0	0.000000000000000e0
1.428707850388755e0	1	1.229977061503384e-1
