channel	A	E0	B	R2
Full G_N	3.864342838248828e-2	1.224944705680799e-3	4.317358206268562e-1	8.403165008986441e-1
Odd sector	4.849922426359535e-2	2.453962645121001e-3	5.232588679232412e-1	7.780141789268454e-1
Dark (even)	4.556836835942024e-2	2.029502980222023e-3	5.005575834196954e-1	7.773598002335432e-1
