channel	gue_fit	goe_fit	gse_fit	poisson_fit	best_class
Full G_N	8.397577549000943e-1	9.753861199194667e-1	5.651219260186984e-1	5.047777332598239e-1	GOE (β=1)
k≡1(8)	5.502867904454506e-1	5.992750002985139e-1	4.749756391640231e-1	5.299672837133158e-1	GOE (β=1)
k≡3(8)	5.071046753424298e-1	6.283569831753416e-1	3.758684849805803e-1	6.464450253915952e-1	Poisson
k≡5(8)	3.683355199522315e-1	4.239540093216488e-1	3.087209905141231e-1	5.136074700727477e-1	Poisson
k≡7(8)	4.920143699527091e-1	5.863836602050834e-1	3.796670194268355e-1	5.518390048525617e-1	GOE (β=1)
Odd sector	7.787499949917241e-1	9.400604510739085e-1	5.187406897304757e-1	5.334366766714478e-1	GOE (β=1)
Dark (even)	5.517320188764873e-1	7.479425717689070e-1	3.614323366040171e-1	7.018230516595890e-1	GOE (β=1)
