rank	k	weight	d_k	omega	is_prime	factors
816	179	1.220304024216e-5	2	1	prime	179 (prime)
817	738	1.216261488491e-5	12	3	composite	2·3^2·41
818	992	1.200475791727e-5	12	2	composite	2^5·31
819	764	1.196652844396e-5	6	2	composite	2^2·191
820	5471	1.189530522457e-5	2	1	prime	5471 (prime)
821	945	1.185519854060e-5	16	3	composite	3^3·5·7
822	3989	1.169557161340e-5	2	1	prime	3989 (prime)
823	502	1.163767040387e-5	4	2	composite	2·251
824	751	1.159732823553e-5	2	1	prime	751 (prime)
825	658	1.157032451317e-5	8	3	composite	2·7·47
826	871	1.152704539114e-5	4	2	composite	13·67
827	618	1.151476337709e-5	8	3	composite	2·3·103
828	800	1.141864356049e-5	18	2	composite	2^5·5^2
829	1205	1.136872024157e-5	4	2	composite	5·241
830	1163	1.135508099312e-5	2	1	prime	1163 (prime)
831	1265	1.133578716506e-5	8	3	composite	5·11·23
832	4960	1.130854800602e-5	24	3	composite	2^5·5·31
833	835	1.123229552825e-5	4	2	composite	5·167
834	706	1.120419124955e-5	4	2	composite	2·353
835	647	1.116921667459e-5	2	1	prime	647 (prime)
836	3793	1.115579716396e-5	2	1	prime	3793 (prime)
837	965	1.109718690261e-5	4	2	composite	5·193
838	741	1.104566058253e-5	8	3	composite	3·13·19
839	9923	1.092570692607e-5	2	1	prime	9923 (prime)
840	1041	1.090086946029e-5	4	2	composite	3·347
841	725	1.085040176412e-5	6	2	composite	5^2·29
842	686	1.083877387786e-5	8	2	composite	2·7^3
843	943	1.075603729554e-5	4	2	composite	23·41
844	971	1.070931787442e-5	2	1	prime	971 (prime)
845	169	1.070236829115e-5	3	1	composite	13^2
846	1185	1.063441980209e-5	8	3	composite	3·5·79
847	6720	1.061828013714e-5	56	4	composite	2^6·3·5·7
848	2687	1.059684942895e-5	2	1	prime	2687 (prime)
849	1267	1.059195985839e-5	4	2	composite	7·181
850	1543	1.058458564792e-5	2	1	prime	1543 (prime)
851	1013	1.055110539850e-5	2	1	prime	1013 (prime)
852	993	1.045769829712e-5	4	2	composite	3·331
853	1314	1.042761006494e-5	12	3	composite	2·3^2·73
854	987	1.042075848651e-5	8	3	composite	3·7·47
855	656	1.039928667538e-5	10	2	composite	2^4·41
856	667	1.039536862323e-5	4	2	composite	23·29
857	19841	1.037166293378e-5	2	1	prime	19841 (prime)
858	1399	1.023946564070e-5	2	1	prime	1399 (prime)
859	6144	1.021390096776e-5	24	2	composite	2^11·3
860	624	1.020335488666e-5	20	3	composite	2^4·3·13
861	779	1.015842731173e-5	4	2	composite	19·41
862	1276	1.011674456358e-5	12	3	composite	2^2·11·29
863	1153	1.010611978757e-5	2	1	prime	1153 (prime)
864	1102	1.004135761868e-5	8	3	composite	2·19·29
865	1035	9.991273612264e-6	12	3	composite	3^2·5·23
866	984	9.981677872180e-6	16	3	composite	2^3·3·41
867	3301	9.914744323492e-6	2	1	prime	3301 (prime)
868	669	9.913775652245e-6	4	2	composite	3·223
869	974	9.818390597264e-6	4	2	composite	2·487
870	1313	9.777127644040e-6	4	2	composite	13·101
871	876	9.695991634514e-6	12	3	composite	2^2·3·73
872	887	9.689819014034e-6	2	1	prime	887 (prime)
873	6272	9.675745518133e-6	24	2	composite	2^7·7^2
874	1181	9.635984637434e-6	2	1	prime	1181 (prime)
875	837	9.627996745675e-6	8	2	composite	3^3·31
876	288	9.524546037224e-6	18	2	composite	2^5·3^2
877	929	9.496274148061e-6	2	1	prime	929 (prime)
878	2032	9.464663492017e-6	10	2	composite	2^4·127
879	9920	9.413632416149e-6	28	3	composite	2^6·5·31
880	708	9.390701640786e-6	12	3	composite	2^2·3·59
881	774	9.338637006899e-6	12	3	composite	2·3^2·43
882	2187	9.288269482086e-6	8	1	composite	3^7
883	15625	9.283124535719e-6	7	1	composite	5^6
884	848	9.280315381280e-6	10	2	composite	2^4·53
885	277	9.250687092586e-6	2	1	prime	277 (prime)
886	769	9.210967356912e-6	2	1	prime	769 (prime)
887	5376	9.181664448851e-6	36	3	composite	2^8·3·7
888	1488	9.125283754714e-6	20	3	composite	2^4·3·31
889	847	9.111644848791e-6	6	2	composite	7·11^2
890	6733	9.058756958443e-6	2	1	prime	6733 (prime)
891	1439	8.993851171107e-6	2	1	prime	1439 (prime)
892	1440	8.971715654230e-6	36	3	composite	2^5·3^2·5
893	1324	8.931626378820e-6	6	2	composite	2^2·331
894	1021	8.801468746205e-6	2	1	prime	1021 (prime)
895	1271	8.759792060173e-6	4	2	composite	31·41
896	16267	8.691948017320e-6	2	1	prime	16267 (prime)
897	931	8.685105291020e-6	6	2	composite	7^2·19
898	12197	8.680358429688e-6	2	1	prime	12197 (prime)
899	747	8.622352822614e-6	6	2	composite	3^2·83
900	733	8.561330646889e-6	2	1	prime	733 (prime)
901	7561	8.514418950371e-6	2	1	prime	7561 (prime)
902	2729	8.501781772343e-6	2	1	prime	2729 (prime)
903	633	8.493255281820e-6	4	2	composite	3·211
904	2689	8.411489300659e-6	2	1	prime	2689 (prime)
905	478	8.388967157467e-6	4	2	composite	2·239
906	1289	8.351628155816e-6	2	1	prime	1289 (prime)
907	6604	8.331486102542e-6	12	3	composite	2^2·13·127
908	2029	8.303919827694e-6	2	1	prime	2029 (prime)
909	1979	8.294677371978e-6	2	1	prime	1979 (prime)
910	9851	8.289187463169e-6	2	1	prime	9851 (prime)
911	496	8.264923316566e-6	10	2	composite	2^4·31
912	2153	8.188680636290e-6	2	1	prime	2153 (prime)
913	180	8.139263828124e-6	18	3	composite	2^2·3^2·5
914	483	8.038744569303e-6	8	3	composite	3·7·23
915	397	8.023950242550e-6	2	1	prime	397 (prime)
916	1249	8.018043364807e-6	2	1	prime	1249 (prime)
917	867	7.946021547076e-6	6	2	composite	3·17^2
918	1247	7.801696464591e-6	4	2	composite	29·43
919	761	7.776141206715e-6	2	1	prime	761 (prime)
920	736	7.772568446578e-6	12	2	composite	2^5·23
921	131	7.706287121888e-6	2	1	prime	131 (prime)
922	243	7.694430301979e-6	6	1	composite	3^5
923	1003	7.688632897580e-6	4	2	composite	17·59
924	1177	7.589474425601e-6	4	2	composite	11·107
925	808	7.585407886431e-6	8	2	composite	2^3·101
926	7159	7.530283600359e-6	2	1	prime	7159 (prime)
927	721	7.405716038201e-6	4	2	composite	7·103
928	3472	7.333065391661e-6	20	3	composite	2^4·7·31
929	19968	7.301112452800e-6	40	3	composite	2^9·3·13
930	16896	7.278864759237e-6	40	3	composite	2^9·3·11
931	14221	7.272623318236e-6	2	1	prime	14221 (prime)
932	1009	7.220831553656e-6	2	1	prime	1009 (prime)
933	4967	7.210805432450e-6	2	1	prime	4967 (prime)
934	688	7.191713868842e-6	10	2	composite	2^4·43
935	863	7.069307036285e-6	2	1	prime	863 (prime)
936	1294	6.970500174196e-6	4	2	composite	2·647
937	14224	6.895580915552e-6	20	3	composite	2^4·7·127
938	963	6.831633932011e-6	6	2	composite	3^2·107
939	15361	6.630072284436e-6	2	1	prime	15361 (prime)
940	682	6.587407964795e-6	8	3	composite	2·11·31
941	635	6.534862803238e-6	4	2	composite	5·127
942	6299	6.521725657539e-6	2	1	prime	6299 (prime)
943	12544	6.483042895160e-6	27	2	composite	2^8·7^2
944	1029	6.464637186265e-6	8	2	composite	3·7^3
945	1657	6.425621147396e-6	2	1	prime	1657 (prime)
946	981	6.411984165106e-6	6	2	composite	3^2·109
947	503	6.408665158729e-6	2	1	prime	503 (prime)
948	833	6.374976915196e-6	6	2	composite	7^2·17
949	5080	6.334531872458e-6	16	3	composite	2^3·5·127
950	227	6.322325500561e-6	2	1	prime	227 (prime)
951	6301	6.291138280320e-6	2	1	prime	6301 (prime)
952	505	6.273587700629e-6	4	2	composite	5·101
953	1115	6.195840372048e-6	4	2	composite	5·223
954	6300	6.157168384782e-6	54	4	composite	2^2·3^2·5^2·7
955	726	6.157040671175e-6	12	3	composite	2·3·11^2
956	154	6.124960421721e-6	8	3	composite	2·7·11
957	251	6.077090235528e-6	2	1	prime	251 (prime)
958	7937	5.923923369369e-6	2	1	prime	7937 (prime)
959	1002	5.905116580582e-6	8	3	composite	2·3·167
960	280	5.887343198258e-6	16	3	composite	2^3·5·7
961	1259	5.872130869830e-6	2	1	prime	1259 (prime)
962	4987	5.847815065489e-6	2	1	prime	4987 (prime)
963	8179	5.840230365529e-6	2	1	prime	8179 (prime)
964	15359	5.775812107183e-6	2	1	prime	15359 (prime)
965	558	5.655082709081e-6	12	3	composite	2·3^2·31
966	750	5.615339940925e-6	16	3	composite	2·3·5^3
967	756	5.590061945905e-6	24	3	composite	2^2·3^3·7
968	657	5.574231248521e-6	6	2	composite	3^2·73
969	12899	5.546115252010e-6	2	1	prime	12899 (prime)
970	759	5.541778105314e-6	8	3	composite	3·11·23
971	1319	5.333746787848e-6	2	1	prime	1319 (prime)
972	16901	5.292263292859e-6	2	1	prime	16901 (prime)
973	379	5.281213332084e-6	2	1	prime	379 (prime)
974	1199	5.248775945230e-6	4	2	composite	11·109
975	4219	5.241294601389e-6	2	1	prime	4219 (prime)
976	673	5.232499300635e-6	2	1	prime	673 (prime)
977	989	5.216250752298e-6	4	2	composite	23·43
978	5952	5.154901778888e-6	28	3	composite	2^6·3·31
979	1159	5.102122900394e-6	4	2	composite	19·61
980	991	5.040747744390e-6	2	1	prime	991 (prime)
981	11648	4.994497657231e-6	32	3	composite	2^7·7·13
982	7933	4.991343304216e-6	2	1	prime	7933 (prime)
983	1204	4.964454601700e-6	12	3	composite	2^2·7·43
984	1039	4.942819733342e-6	2	1	prime	1039 (prime)
985	680	4.895014434466e-6	16	3	composite	2^3·5·17
986	787	4.889919676005e-6	2	1	prime	787 (prime)
987	1288	4.883881955062e-6	16	3	composite	2^3·7·23
988	19683	4.865480557738e-6	10	1	composite	3^9
989	17920	4.787578768284e-6	40	3	composite	2^9·5·7
990	1487	4.738514901213e-6	2	1	prime	1487 (prime)
991	484	4.717811697857e-6	9	2	composite	2^2·11^2
992	11657	4.712780460557e-6	2	1	prime	11657 (prime)
993	3491	4.654325504808e-6	2	1	prime	3491 (prime)
994	948	4.605493200964e-6	12	3	composite	2^2·3·79
995	632	4.589784181636e-6	8	2	composite	2^3·79
996	93	4.585023142857e-6	4	2	composite	3·31
997	15877	4.565008139285e-6	2	1	prime	15877 (prime)
998	857	4.560048790024e-6	2	1	prime	857 (prime)
999	1291	4.531040144287e-6	2	1	prime	1291 (prime)
1000	1489	4.509414979267e-6	2	1	prime	1489 (prime)
1001	132	4.500491546836e-6	12	3	composite	2^2·3·11
1002	1256	4.496308767289e-6	8	2	composite	2^3·157
1003	13883	4.468722800637e-6	2	1	prime	13883 (prime)
1004	15107	4.462052820641e-6	2	1	prime	15107 (prime)
1005	796	4.459112247058e-6	6	2	composite	2^2·199
1006	9973	4.413888472308e-6	2	1	prime	9973 (prime)
1007	12541	4.411842219569e-6	2	1	prime	12541 (prime)
1008	1155	4.410489803746e-6	16	4	composite	3·5·7·11
