rank	k	weight	d(k)	sigma(k)	omega	Omega	class	factors
1	403	3.329986594141e-2	4	448	2	2	heavy fermion	13·31
2	402	2.217355854077e-2	8	816	3	3	heavy fermion	2·3·67
3	806	1.636189675381e-2	8	1344	3	3	heavy fermion	2·13·31
4	804	1.576957586772e-2	12	1904	3	4	heavy fermion	2^2·3·67
5	624	1.428840251058e-2	20	1736	3	6	heavy fermion	2^4·3·13
6	622	1.397840223134e-2	4	936	2	2	heavy fermion	2·311
7	1209	1.258106900869e-2	8	1792	3	3	heavy fermion	3·13·31
8	626	1.147557713785e-2	4	942	2	2	heavy fermion	2·313
9	405	9.903930501379e-3	10	726	2	5	heavy fermion	3^4·5
10	627	9.858868426212e-3	8	960	3	3	heavy fermion	3·11·19
11	2015	9.588020579200e-3	8	2688	3	3	heavy fermion	5·13·31
12	620	8.498364595532e-3	12	1344	3	4	heavy fermion	2^2·5·31
13	1206	8.004019022758e-3	12	2652	3	4	heavy fermion	2·3^2·67
14	612	7.581765928480e-3	18	1638	3	5	heavy fermion	2^2·3^2·17
15	1248	7.445647548376e-3	24	3528	3	7	heavy fermion	2^5·3·13
16	621	7.095253943603e-3	8	960	2	4	heavy fermion	3^3·23
17	478	7.017909229966e-3	4	720	2	2	heavy fermion	2·239
18	810	6.650724752746e-3	20	2178	3	6	heavy fermion	2·3^4·5
19	618	6.371696881460e-3	8	1248	3	3	heavy fermion	2·3·103
20	2821	6.345751349373e-3	8	3584	3	3	heavy fermion	7·13·31
21	2010	6.141165480553e-3	16	4896	4	4	heavy fermion	2·3·5·67
22	623	6.070697307564e-3	4	720	2	2	heavy fermion	7·89
23	397	5.352332735067e-3	2	398	1	1	excited boson	397 (prime)
24	407	5.351039675828e-3	4	456	2	2	heavy fermion	11·37
25	396	5.099157209675e-3	18	1092	3	5	heavy fermion	2^2·3^2·11
26	395	5.050333530614e-3	4	480	2	2	heavy fermion	5·79
27	2814	5.044412041164e-3	16	6528	4	4	heavy fermion	2·3·7·67
28	1866	4.815727945567e-3	8	3744	3	3	heavy fermion	2·3·311
29	1236	4.714250816003e-3	12	2912	3	4	heavy fermion	2^2·3·103
30	1252	4.577860058596e-3	6	2198	2	3	heavy fermion	2^2·313
31	480	4.527792386194e-3	24	1512	3	7	heavy fermion	2^5·3·5
32	616	4.305819513801e-3	16	1440	3	5	heavy fermion	2^3·7·11
33	1881	4.304864425218e-3	12	3120	3	4	heavy fermion	3^2·11·19
34	792	4.258079965675e-3	24	2340	3	6	heavy fermion	2^3·3^2·11
35	1872	4.168661580342e-3	30	5642	3	7	heavy fermion	2^4·3^2·13
36	2418	3.847848489379e-3	16	5376	4	4	heavy fermion	2·3·13·31
37	1254	3.827441448969e-3	16	2880	4	4	heavy fermion	2·3·11·19
38	1878	3.681305859050e-3	8	3768	3	3	heavy fermion	2·3·313
39	1224	3.653474749499e-3	24	3510	3	6	heavy fermion	2^3·3^2·17
40	1869	3.484294712798e-3	8	2880	3	3	heavy fermion	3·7·89
41	3110	3.310455827548e-3	8	5616	3	3	heavy fermion	2·5·311
42	1854	3.271890394339e-3	12	4056	3	4	heavy fermion	2·3^2·103
43	401	3.255798897084e-3	2	402	1	1	excited boson	401 (prime)
44	239	3.140921237946e-3	2	240	1	1	excited boson	239 (prime)
45	615	3.056961972464e-3	8	1008	3	3	heavy fermion	3·5·41
46	1244	3.010592649768e-3	6	2184	2	3	heavy fermion	2^2·311
47	628	2.978360304443e-3	6	1106	2	3	heavy fermion	2^2·157
48	4368	2.954769965308e-3	40	13888	4	7	heavy fermion	2^4·3·7·13
49	1242	2.949184822689e-3	16	2880	3	5	heavy fermion	2·3^3·23
50	1194	2.944624594490e-3	8	2400	3	3	heavy fermion	2·3·199
