k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
2	1.818732673352e-8	1	2	3	1	1	147	gauge boson (light)	2 (prime)
3	1.385369283520e-8	1	2	4	1	1	162	gauge boson (light)	3 (prime)
4	1.361959166206e-7	0	3	7	1	2	195	spectator	2^2
5	2.119214500478e-7	1	2	6	1	1	174	gauge boson (light)	5 (prime)
6	9.264434792191e-7	0	4	12	2	2	241	spectator	2·3
7	3.544578467374e-6	1	2	8	1	1	176	gauge boson (light)	7 (prime)
8	6.499622175960e-8	0	4	15	1	3	239	spectator	2^3
9	2.449779814718e-6	0	3	13	1	2	222	spectator	3^2
10	2.670760659238e-6	0	4	18	2	2	259	spectator	2·5
11	1.694928625003e-7	1	2	12	1	1	178	gauge boson (light)	11 (prime)
12	7.761462487547e-8	0	6	28	2	3	317	spectator	2^2·3
13	1.682773021972e-5	1	2	14	1	1	170	gauge boson (light)	13 (prime)
14	6.935123443003e-5	0	4	24	2	2	261	spectator	2·7
15	3.220774175030e-4	0	4	24	2	2	278	fermion	3·5
16	8.367653298625e-4	0	5	31	1	4	279	heavy fermion	2^4
17	1.885288695699e-4	1	2	18	1	1	162	excited boson	17 (prime)
18	5.196446436322e-6	0	6	39	2	3	325	spectator	2·3^2
19	2.791807918780e-5	1	2	20	1	1	170	gauge boson (light)	19 (prime)
20	2.507178820813e-6	0	6	42	2	3	339	spectator	2^2·5
21	5.986877514281e-5	0	4	32	2	2	276	spectator	3·7
22	3.482532318288e-5	0	4	36	2	2	257	spectator	2·11
23	3.843815725139e-5	1	2	24	1	1	164	gauge boson (light)	23 (prime)
24	2.056867365540e-4	0	8	60	2	4	385	light fermion	2^3·3
25	4.618599911457e-5	0	3	31	1	2	234	spectator	5^2
26	2.512556171923e-6	0	4	42	2	2	243	spectator	2·13
27	1.484312775800e-5	0	4	40	1	3	258	spectator	3^3
28	2.761835129313e-6	0	6	56	2	3	333	spectator	2^2·7
29	4.713443765534e-6	1	2	30	1	1	154	gauge boson (light)	29 (prime)
30	2.207508072968e-4	0	8	72	3	3	409	light fermion	2·3·5
31	4.475000310021e-4	1	2	32	1	1	158	excited boson	31 (prime)
32	5.280269284368e-3	0	6	63	1	5	311	heavy fermion	2^5
33	5.361605974190e-4	0	4	48	2	2	282	heavy fermion	3·11
34	2.400903952280e-4	0	4	54	2	2	227	light fermion	2·17
35	1.640313900845e-5	0	4	48	2	2	276	spectator	5·7
36	1.999013912353e-7	0	9	91	2	4	413	spectator	2^2·3^2
37	3.734896355744e-5	1	2	38	1	1	134	gauge boson (light)	37 (prime)
38	1.774616022465e-4	0	4	60	2	2	237	light fermion	2·19
39	3.132531054865e-4	0	4	56	2	2	258	fermion	3·13
40	1.545878532172e-4	0	8	90	2	4	399	spectator	2^3·5
41	5.127801945098e-6	1	2	42	1	1	138	gauge boson (light)	41 (prime)
42	1.377121725194e-4	0	8	96	3	3	403	spectator	2·3·7
43	9.289310536487e-5	1	2	44	1	1	140	gauge boson	43 (prime)
44	6.353328772442e-6	0	6	84	2	3	325	spectator	2^2·11
45	1.152037276787e-3	0	6	78	2	3	362	heavy fermion	3^2·5
46	2.942263641185e-3	0	4	72	2	2	235	heavy fermion	2·23
47	2.623119917970e-2	1	2	48	1	1	144	excited boson	47 (prime)
48	9.319412692641e-2	0	10	124	2	5	441	heavy fermion	2^4·3
49	4.972057859260e-2	0	3	57	1	2	218	heavy fermion	7^2
50	4.633960783087e-3	0	6	93	2	3	339	heavy fermion	2·5^2
51	1.690015601756e-4	0	4	72	2	2	226	light fermion	3·17
52	4.811401781724e-6	0	6	98	2	3	291	spectator	2^2·13
53	1.850521862407e-5	1	2	54	1	1	98	gauge boson (light)	53 (prime)
54	1.749961024271e-4	0	8	120	2	4	361	light fermion	2·3^3
55	4.634066460831e-4	0	4	72	2	2	254	fermion	5·11
56	1.614197481180e-4	0	8	120	2	4	377	spectator	2^3·7
57	8.530569593390e-6	0	4	80	2	2	234	spectator	3·19
58	1.962320405297e-4	0	4	90	2	2	203	light fermion	2·29
59	3.456050112940e-5	1	2	60	1	1	98	gauge boson (light)	59 (prime)
60	1.467130770793e-4	0	12	168	3	4	517	spectator	2^2·3·5
61	1.046104485090e-4	1	2	62	1	1	98	gauge boson	61 (prime)
62	9.505451265446e-4	0	4	96	2	2	207	heavy fermion	2·31
63	3.989955488353e-3	0	6	104	2	3	336	heavy fermion	3^2·7
64	3.269958013708e-3	0	7	127	1	6	311	heavy fermion	2^6
65	7.164972676776e-3	0	4	84	2	2	246	heavy fermion	5·13
66	5.452272235374e-3	0	8	144	3	3	391	heavy fermion	2·3·11
67	6.769996884261e-4	1	2	68	1	1	98	excited boson	67 (prime)
68	1.304456806041e-4	0	6	126	2	3	275	spectator	2^2·17
69	3.500208230439e-5	0	4	96	2	2	228	spectator	3·23
70	4.852786904054e-5	0	8	144	3	3	397	spectator	2·5·7
71	1.745588410598e-5	1	2	72	1	1	98	gauge boson (light)	71 (prime)
72	2.216680378170e-4	0	12	195	2	5	481	light fermion	2^3·3^2
73	1.114465063577e-4	1	2	74	1	1	98	gauge boson	73 (prime)
74	3.255975215192e-3	0	4	114	2	2	183	heavy fermion	2·37
75	2.368028849721e-3	0	6	124	2	3	338	heavy fermion	3·5^2
76	5.271570060942e-4	0	6	140	2	3	285	heavy fermion	2^2·19
77	1.067043535416e-3	0	4	96	2	2	256	heavy fermion	7·11
78	7.724404675491e-5	0	8	168	3	3	361	spectator	2·3·13
79	2.254060309112e-4	1	2	80	1	1	98	excited boson	79 (prime)
80	1.758636233492e-3	0	10	186	2	5	439	heavy fermion	2^4·5
81	6.950608698540e-5	0	5	121	1	4	258	spectator	3^4
82	6.237708077844e-4	0	4	126	2	2	187	heavy fermion	2·41
83	8.067954977302e-4	1	2	84	1	1	98	excited boson	83 (prime)
84	7.706265406517e-4	0	12	224	3	4	503	heavy fermion	2^2·3·7
85	3.466851818410e-4	0	4	108	2	2	238	fermion	5·17
