rank	k	weight	d_k	omega	is_prime	factors
1	448	1.506065561312e-1	14	2	composite	2^6·7
2	600	1.210692877086e-1	24	3	composite	2^3·3·5^2
3	540	7.044296442754e-2	24	3	composite	2^2·3^3·5
4	449	6.133291644912e-2	2	1	prime	449 (prime)
5	896	5.363077896082e-2	16	2	composite	2^7·7
6	541	3.796911632360e-2	2	1	prime	541 (prime)
7	1200	3.463115914679e-2	30	3	composite	2^4·3·5^2
8	1800	3.225618370422e-2	36	3	composite	2^3·3^2·5^2
9	1344	2.938063539488e-2	28	3	composite	2^6·3·7
10	2240	2.902393228858e-2	28	3	composite	2^6·5·7
11	601	2.852432597396e-2	2	1	prime	601 (prime)
12	4200	2.310340197994e-2	48	4	composite	2^3·3·5^2·7
13	1080	1.806675786455e-2	32	3	composite	2^3·3^3·5
14	3136	1.720605971538e-2	21	2	composite	2^6·7^2
15	4928	1.707608536213e-2	28	3	composite	2^6·7·11
16	599	1.641734887459e-2	2	1	prime	599 (prime)
17	13888	1.575383939878e-2	28	3	composite	2^6·7·31
18	5824	1.445948871011e-2	28	3	composite	2^6·7·13
19	2688	1.288837437962e-2	32	3	composite	2^7·3·7
20	3780	1.154346587903e-2	48	4	composite	2^2·3^3·5·7
21	900	9.078128393102e-3	27	3	composite	2^2·3^2·5^2
22	18432	7.623754683720e-3	36	2	composite	2^11·3^2
23	576	6.057880452824e-3	21	2	composite	2^6·3^2
24	4480	5.936699210941e-3	32	3	composite	2^7·5·7
25	7560	5.768633767185e-3	64	4	composite	2^3·3^3·5·7
26	8400	5.196740863345e-3	60	4	composite	2^4·3·5^2·7
27	577	5.150424772284e-3	2	1	prime	577 (prime)
28	1201	4.979054641203e-3	2	1	prime	1201 (prime)
29	12600	4.537326831845e-3	72	4	composite	2^3·3^2·5^2·7
30	3593	4.392280979345e-3	2	1	prime	3593 (prime)
31	9856	4.213973167550e-3	32	3	composite	2^7·7·11
32	1801	4.078326488672e-3	2	1	prime	1801 (prime)
33	443	3.994510476979e-3	2	1	prime	443 (prime)
34	3584	3.185303390311e-3	20	2	composite	2^9·7
35	15872	3.059101263894e-3	20	2	composite	2^9·31
36	27776	3.045742389294e-3	32	3	composite	2^7·7·31
37	2243	3.021774541952e-3	2	1	prime	2243 (prime)
38	6272	2.970806258764e-3	24	2	composite	2^7·7^2
39	31744	2.531649347210e-3	22	2	composite	2^10·31
40	45360	2.417990930421e-3	100	4	composite	2^4·3^4·5·7
41	18427	2.348743849928e-3	2	1	prime	18427 (prime)
42	18433	2.343238658350e-3	2	1	prime	18433 (prime)
43	11648	2.288476302532e-3	32	3	composite	2^7·7·13
44	1087	2.191188285757e-3	2	1	prime	1087 (prime)
45	36864	2.165986563447e-3	39	2	composite	2^12·3^2
46	3600	2.072834421096e-3	45	3	composite	2^4·3^2·5^2
47	1193	1.954437518729e-3	2	1	prime	1193 (prime)
48	15120	1.839165502308e-3	80	4	composite	2^4·3^3·5·7
49	7936	1.755373896882e-3	18	2	composite	2^8·31
50	15625	1.749597135240e-3	7	1	composite	5^6
51	3793	1.514997511176e-3	2	1	prime	3793 (prime)
52	5376	1.399457061131e-3	36	3	composite	2^8·3·7
53	47616	1.368499019339e-3	40	3	composite	2^9·3·31
54	2160	1.339002709656e-3	40	3	composite	2^4·3^3·5
55	2880	1.324120620518e-3	42	3	composite	2^6·3^2·5
56	6300	1.299518386935e-3	54	4	composite	2^2·3^2·5^2·7
57	5939	1.289753413895e-3	2	1	prime	5939 (prime)
58	6720	1.142939121766e-3	56	4	composite	2^6·3·5·7
59	2728	1.127515105457e-3	16	3	composite	2^3·11·31
60	23296	1.098403935109e-3	36	3	composite	2^8·7·13
61	37800	1.032026968802e-3	96	4	composite	2^3·3^3·5^2·7
62	1331	1.021304965131e-3	4	1	composite	11^3
63	560	9.863500425141e-4	20	3	composite	2^4·5·7
64	1327	9.665145635523e-4	2	1	prime	1327 (prime)
65	43008	9.171798221675e-4	48	3	composite	2^11·3·7
66	360	9.169902476220e-4	24	3	composite	2^3·3^2·5
67	75600	9.164613614561e-4	120	4	composite	2^4·3^3·5^2·7
68	6944	9.054836696731e-4	24	3	composite	2^5·7·31
69	95232	9.047616007387e-4	44	3	composite	2^10·3·31
70	11904	8.987960225723e-4	32	3	composite	2^7·3·31
71	6733	8.922510708822e-4	2	1	prime	6733 (prime)
72	28672	8.872640675172e-4	26	2	composite	2^12·7
73	11176	8.779399087214e-4	16	3	composite	2^3·11·127
74	4224	8.725809850173e-4	32	3	composite	2^7·3·11
75	39424	8.319995938411e-4	40	3	composite	2^9·7·11
76	2161	8.055455397398e-4	2	1	prime	2161 (prime)
77	22680	7.934335722172e-4	80	4	composite	2^3·3^4·5·7
78	887	7.933093211059e-4	2	1	prime	887 (prime)
79	384	7.900905218973e-4	16	2	composite	2^7·3
80	22352	7.836487096373e-4	20	3	composite	2^4·11·127
81	3607	7.581149409301e-4	2	1	prime	3607 (prime)
82	1440	7.400861899850e-4	36	3	composite	2^5·3^2·5
83	2689	7.193285341455e-4	2	1	prime	2689 (prime)
84	30240	7.055212697730e-4	96	4	composite	2^5·3^3·5·7
85	26416	7.003664269602e-4	20	3	composite	2^4·13·127
86	1120	6.944318254851e-4	24	3	composite	2^5·5·7
87	480	6.898129680684e-4	24	3	composite	2^5·3·5
88	1123	6.885347866603e-4	2	1	prime	1123 (prime)
89	46592	6.701378469690e-4	40	3	composite	2^9·7·13
90	5952	6.579969364901e-4	28	3	composite	2^6·3·31
91	1152	6.434931083823e-4	24	2	composite	2^7·3^2
92	2999	6.270628962422e-4	2	1	prime	2999 (prime)
