bin_center	count	density
1.279823514620080e-1	197	3.868481729706272e0
3.838837148164845e-1	0	0.000000000000000e0
6.397850781709610e-1	1	1.963696309495570e-2
8.956864415254375e-1	0	0.000000000000000e0
1.151587804879914e0	0	0.000000000000000e0
1.407489168234390e0	0	0.000000000000000e0
1.663390531588867e0	0	0.000000000000000e0
1.919291894943344e0	0	0.000000000000000e0
2.175193258297820e0	0	0.000000000000000e0
2.431094621652297e0	0	0.000000000000000e0
2.686995985006773e0	0	0.000000000000000e0
2.942897348361249e0	0	0.000000000000000e0
3.198798711715726e0	0	0.000000000000000e0
3.454700075070202e0	0	0.000000000000000e0
3.710601438424679e0	1	1.963696309495570e-2
