channel	A	E0	B	R2
Full G_N	4.943240035140786e-2	5.569365602908964e-5	6.301038027492498e-1	8.052182532130505e-1
k≡1(8)	4.355939889268058e-2	4.213253342484966e-4	5.437902299793642e-1	8.493267249236790e-1
k≡3(8)	3.876245892698230e-2	4.076027063826600e-4	4.864517589786376e-1	7.903518157543318e-1
k≡5(8)	3.874191642693003e-2	3.994547695815962e-4	4.875199261150722e-1	7.876686829289132e-1
k≡7(8)	4.278130626748801e-2	4.343932191664295e-4	5.329446298977845e-1	8.190371845670610e-1
Odd sector	4.139042849073112e-2	1.142560635985531e-4	5.140120803188919e-1	7.084705757872916e-1
Dark (even)	4.145982580923995e-2	1.011379753096204e-4	5.241938311188988e-1	7.807395655557815e-1
