channel	A	E0	B	R2
Full G_N	5.097816047126189e-2	3.135308692206892e-5	6.683796744390496e-1	7.870834765182595e-1
χ₀ (principal)	4.432666311740636e-2	6.585895480887441e-5	5.616424719334043e-1	7.025215226648457e-1
χ₁	4.432666311740636e-2	6.585895480887441e-5	5.616424719334043e-1	7.025215226648457e-1
χ₂	4.432666311740636e-2	6.585895480887441e-5	5.616424719334043e-1	7.025215226648457e-1
χ₃	4.432666311740636e-2	6.585895480887441e-5	5.616424719334043e-1	7.025215226648457e-1
Odd sector	4.432666311740636e-2	6.585895480887441e-5	5.616424719334043e-1	7.025215226648457e-1
Dark (even)	4.568369972005871e-2	5.920783855561058e-5	5.884039045424491e-1	7.677701693116337e-1
