k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
918	8.537463828502e-4	0	16	2160	3	5	7581	heavy fermion	2·3^3·17
919	1.433691343994e-6	1	2	920	1	1	998	gauge boson (light)	919 (prime)
920	7.987785716722e-6	0	16	2160	3	5	7627	spectator	2^3·5·23
921	2.305468221362e-4	0	4	1232	2	2	2274	heavy fermion	3·307
922	3.261723437929e-3	0	4	1386	2	2	1957	heavy fermion	2·461
923	2.433470462502e-5	0	4	1008	2	2	2808	spectator	13·71
924	5.042545100578e-4	0	24	2688	4	5	10577	heavy fermion	2^2·3·7·11
925	5.787545649683e-4	0	6	1178	2	3	4086	heavy fermion	5^2·37
926	2.122541512611e-3	0	4	1392	2	2	1959	heavy fermion	2·463
927	4.718171010178e-5	0	6	1352	2	3	3546	spectator	3^2·103
928	1.436379356665e-3	0	12	1890	2	6	5783	heavy fermion	2^5·29
929	1.783416947572e-6	1	2	930	1	1	998	gauge boson (light)	929 (prime)
930	5.324266724608e-3	0	16	2304	4	4	7699	heavy fermion	2·3·5·31
931	2.918374794172e-9	0	6	1140	2	3	4208	spectator	7^2·19
932	6.326498284840e-3	0	6	1638	2	3	2923	heavy fermion	2^2·233
933	5.905587954251e-4	0	4	1248	2	2	2282	heavy fermion	3·311
934	9.352883855905e-4	0	4	1404	2	2	1963	heavy fermion	2·467
935	2.248234692874e-4	0	8	1296	3	3	5556	heavy fermion	5·11·17
936	4.251271538573e-3	0	24	2730	3	6	10013	heavy fermion	2^3·3^2·13
937	8.273851035226e-5	1	2	938	1	1	998	excited boson	937 (prime)
938	2.911659091218e-2	0	8	1632	3	3	4413	heavy fermion	2·7·67
939	3.981457646921e-5	0	4	1256	2	2	2286	spectator	3·313
940	4.150249462088e-2	0	12	2016	3	4	6017	heavy fermion	2^2·5·47
941	1.068183579975e-6	1	2	942	1	1	998	gauge boson (light)	941 (prime)
942	1.861572199109e-2	0	8	1896	3	3	3895	heavy fermion	2·3·157
943	6.071433654435e-7	0	4	1008	2	2	2842	spectator	23·41
944	5.178946638279e-3	0	10	1860	2	5	4835	heavy fermion	2^4·59
945	8.514833524120e-5	0	16	1920	3	5	8876	light fermion	3^3·5·7
946	1.487237662502e-3	0	8	1584	3	3	4591	heavy fermion	2·11·43
947	6.176307547599e-8	1	2	948	1	1	998	gauge boson (light)	947 (prime)
948	1.806569340996e-4	0	12	2240	3	4	5501	fermion	2^2·3·79
949	3.759160225969e-7	0	4	1036	2	2	2762	spectator	13·73
