bin_center	count	density
1.188856795029089e-1	35	3.990995486803477e0
3.559057285292198e-1	1	1.140284424800994e-1
5.929257775555309e-1	0	0.000000000000000e0
8.299458265818418e-1	0	0.000000000000000e0
1.066965875608153e0	0	0.000000000000000e0
1.303985924634464e0	0	0.000000000000000e0
1.541005973660775e0	1	1.140284424800994e-1
