rank	k	weight	d(k)	sigma(k)	omega	Omega	class	factors
1	360	5.279352720776e-1	24	1170	3	6	heavy fermion	2^3·3^2·5
2	359	1.297721889958e-1	2	360	1	1	excited boson	359 (prime)
3	361	1.289663970273e-1	3	381	1	2	heavy fermion	19^2
4	240	3.543231650517e-2	20	744	3	6	heavy fermion	2^4·3·5
5	180	2.224006866833e-2	18	546	3	5	heavy fermion	2^2·3^2·5
6	270	2.090944005666e-2	16	720	3	5	heavy fermion	2·3^3·5
7	366	1.927292449477e-2	8	744	3	3	heavy fermion	2·3·61
8	241	8.606983936356e-3	2	242	1	1	excited boson	241 (prime)
9	354	8.370172358263e-3	8	720	3	3	heavy fermion	2·3·59
10	365	7.838916516503e-3	4	444	2	2	heavy fermion	5·73
11	239	7.680242466459e-3	2	240	1	1	excited boson	239 (prime)
12	378	7.673663576351e-3	16	960	3	5	heavy fermion	2·3^3·7
13	271	5.022298042623e-3	2	272	1	1	excited boson	271 (prime)
14	269	4.066109258644e-3	2	270	1	1	excited boson	269 (prime)
15	367	3.174829520964e-3	2	368	1	1	excited boson	367 (prime)
16	353	2.682699838513e-3	2	354	1	1	excited boson	353 (prime)
17	357	2.597201610268e-3	8	576	3	3	heavy fermion	3·7·17
18	358	2.402397839254e-3	4	540	2	2	heavy fermion	2·179
19	216	2.259448481278e-3	16	600	2	6	heavy fermion	2^3·3^3
20	398	1.950809472292e-3	4	600	2	2	heavy fermion	2·199
21	179	1.941063496834e-3	2	180	1	1	excited boson	179 (prime)
22	355	1.831750601930e-3	4	432	2	2	heavy fermion	5·71
23	400	1.811545778662e-3	15	961	2	6	heavy fermion	2^4·5^2
24	364	1.776215120920e-3	12	784	3	4	heavy fermion	2^2·7·13
25	144	1.718915809866e-3	15	403	2	6	heavy fermion	2^4·3^2
26	181	1.656145966088e-3	2	182	1	1	excited boson	181 (prime)
27	200	1.322754388233e-3	12	465	2	5	heavy fermion	2^3·5^2
28	377	1.229836803066e-3	4	420	2	2	heavy fermion	13·29
29	183	1.214996205985e-3	4	248	2	2	heavy fermion	3·61
30	315	1.058581293789e-3	12	624	3	4	heavy fermion	3^2·5·7
31	380	1.022633766992e-3	12	840	3	4	heavy fermion	2^2·5·19
32	336	1.010989529272e-3	20	992	3	6	heavy fermion	2^4·3·7
33	342	9.881860049591e-4	12	780	3	4	heavy fermion	2·3^2·19
34	244	9.456379773586e-4	6	434	2	3	heavy fermion	2^2·61
35	362	9.202463973588e-4	4	546	2	2	heavy fermion	2·181
36	289	8.393847145283e-4	3	307	1	2	heavy fermion	17^2
37	379	7.994333170042e-4	2	380	1	1	excited boson	379 (prime)
38	320	7.720633045533e-4	14	762	2	7	heavy fermion	2^6·5
39	199	7.663534293477e-4	2	200	1	1	excited boson	199 (prime)
40	287	7.087933247813e-4	4	336	2	2	heavy fermion	7·41
41	286	7.029119918444e-4	8	504	3	3	heavy fermion	2·11·13
42	236	6.891448739392e-4	6	420	2	3	heavy fermion	2^2·59
43	257	6.707962146579e-4	2	258	1	1	excited boson	257 (prime)
44	324	6.661741195634e-4	15	847	2	6	heavy fermion	2^2·3^4
45	352	6.246188612811e-4	12	756	2	6	heavy fermion	2^5·11
46	343	6.193616971430e-4	4	400	1	3	heavy fermion	7^3
47	90	6.152923108069e-4	12	234	3	4	heavy fermion	2·3^2·5
48	290	6.083295444479e-4	8	540	3	3	heavy fermion	2·5·29
49	316	6.036852836811e-4	6	560	2	3	heavy fermion	2^2·79
50	215	5.961322302904e-4	4	264	2	2	heavy fermion	5·43
