rank	k	weight	d(k)	sigma(k)	omega	Omega	class	factors
1	198	3.606715423640e-1	12	468	3	4	heavy fermion	2·3^2·11
2	192	1.385353775838e-1	14	508	2	7	heavy fermion	2^6·3
3	196	1.013623978102e-1	9	399	2	4	heavy fermion	2^2·7^2
4	99	6.954693068871e-2	6	156	2	3	heavy fermion	3^2·11
5	194	5.590695822413e-2	4	294	2	2	heavy fermion	2·97
6	98	4.537474180928e-2	6	171	2	3	heavy fermion	2·7^2
7	96	3.109178359003e-2	12	252	2	6	heavy fermion	2^5·3
8	199	2.953198095893e-2	2	200	1	1	excited boson	199 (prime)
9	97	2.599693973719e-2	2	98	1	1	excited boson	97 (prime)
10	190	1.730153973291e-2	8	360	3	3	heavy fermion	2·5·19
11	200	1.563444930837e-2	12	465	2	5	heavy fermion	2^3·5^2
12	100	1.417747848923e-2	9	217	2	4	heavy fermion	2^2·5^2
13	197	1.161863802190e-2	2	198	1	1	excited boson	197 (prime)
14	191	8.139080700756e-3	2	192	1	1	excited boson	191 (prime)
15	95	7.507237140670e-3	4	120	2	2	heavy fermion	5·19
16	66	5.925440819166e-3	8	144	3	3	heavy fermion	2·3·11
17	170	3.750641680585e-3	8	324	3	3	heavy fermion	2·5·17
18	132	3.685765280292e-3	12	336	3	4	heavy fermion	2^2·3·11
19	131	3.602612366938e-3	2	132	1	1	excited boson	131 (prime)
20	133	3.334390006217e-3	4	160	2	2	heavy fermion	7·19
21	193	3.309790808639e-3	2	194	1	1	excited boson	193 (prime)
22	174	3.141076944691e-3	8	360	3	3	heavy fermion	2·3·29
23	168	2.568925180252e-3	16	480	3	5	heavy fermion	2^3·3·7
24	64	2.199127578126e-3	7	127	1	6	heavy fermion	2^6
25	189	2.142064832888e-3	8	320	2	4	heavy fermion	3^3·7
26	150	1.957694159531e-3	12	372	3	4	heavy fermion	2·3·5^2
27	172	1.879975601726e-3	6	308	2	3	heavy fermion	2^2·43
28	85	1.818050126189e-3	4	108	2	2	heavy fermion	5·17
29	84	1.760900209793e-3	12	224	3	4	heavy fermion	2^2·3·7
30	134	1.654137148051e-3	4	204	2	2	heavy fermion	2·67
31	129	1.305121790281e-3	4	176	2	2	heavy fermion	3·43
32	33	1.214135513261e-3	4	48	2	2	heavy fermion	3·11
33	166	1.133331834077e-3	4	252	2	2	heavy fermion	2·83
34	128	1.047740808230e-3	8	255	1	7	heavy fermion	2^7
35	149	1.039773822219e-3	2	150	1	1	excited boson	149 (prime)
36	147	8.978264676139e-4	6	228	2	3	heavy fermion	3·7^2
37	86	8.923599899169e-4	4	132	2	2	heavy fermion	2·43
38	32	8.897458963034e-4	6	63	1	5	heavy fermion	2^5
39	67	8.080476988284e-4	2	68	1	1	excited boson	67 (prime)
40	180	7.369205433863e-4	18	546	3	5	heavy fermion	2^2·3^2·5
41	119	6.802534418872e-4	4	144	2	2	heavy fermion	7·17
42	175	6.153895655066e-4	6	248	2	3	heavy fermion	5^2·7
43	83	6.139684311476e-4	2	84	1	1	excited boson	83 (prime)
44	186	5.926271246945e-4	8	384	3	3	heavy fermion	2·3·31
45	163	5.510089801426e-4	2	164	1	1	excited boson	163 (prime)
46	195	5.377824147991e-4	8	336	3	3	heavy fermion	3·5·13
47	181	5.272674711360e-4	2	182	1	1	excited boson	181 (prime)
48	154	4.934141556226e-4	8	288	3	3	heavy fermion	2·7·11
49	141	4.369835592686e-4	4	192	2	2	heavy fermion	3·47
50	162	4.255092833258e-4	10	363	2	5	heavy fermion	2·3^4
