rank	k	weight	d(k)	sigma(k)	omega	Omega	class	factors
1	96	4.361891348672e-1	12	252	2	6	heavy fermion	2^5·3
2	98	1.927095924497e-1	6	171	2	3	heavy fermion	2·7^2
3	48	9.319412692641e-2	10	124	2	5	heavy fermion	2^4·3
4	94	5.472624905205e-2	4	144	2	2	heavy fermion	2·47
5	49	4.972057859260e-2	3	57	1	2	heavy fermion	7^2
6	99	3.881455715058e-2	6	156	2	3	heavy fermion	3^2·11
7	95	2.791539277535e-2	4	120	2	2	heavy fermion	5·19
8	47	2.623119917970e-2	2	48	1	1	excited boson	47 (prime)
9	97	1.080107913933e-2	2	98	1	1	excited boson	97 (prime)
10	92	9.661045277198e-3	6	168	2	3	heavy fermion	2^2·23
11	65	7.164972676776e-3	4	84	2	2	heavy fermion	5·13
12	66	5.452272235374e-3	8	144	3	3	heavy fermion	2·3·11
13	32	5.280269284368e-3	6	63	1	5	heavy fermion	2^5
14	50	4.633960783087e-3	6	93	2	3	heavy fermion	2·5^2
15	63	3.989955488353e-3	6	104	2	3	heavy fermion	3^2·7
16	90	3.650320561179e-3	12	234	3	4	heavy fermion	2·3^2·5
17	64	3.269958013708e-3	7	127	1	6	heavy fermion	2^6
18	74	3.255975215192e-3	4	114	2	2	heavy fermion	2·37
19	46	2.942263641185e-3	4	72	2	2	heavy fermion	2·23
20	75	2.368028849721e-3	6	124	2	3	heavy fermion	3·5^2
21	80	1.758636233492e-3	10	186	2	5	heavy fermion	2^4·5
22	93	1.554738043062e-3	4	128	2	2	heavy fermion	3·31
23	45	1.152037276787e-3	6	78	2	3	heavy fermion	3^2·5
24	77	1.067043535416e-3	4	96	2	2	heavy fermion	7·11
25	62	9.505451265446e-4	4	96	2	2	heavy fermion	2·31
26	16	8.367653298625e-4	5	31	1	4	heavy fermion	2^4
27	83	8.067954977302e-4	2	84	1	1	excited boson	83 (prime)
28	84	7.706265406517e-4	12	224	3	4	heavy fermion	2^2·3·7
29	67	6.769996884261e-4	2	68	1	1	excited boson	67 (prime)
30	82	6.237708077844e-4	4	126	2	2	heavy fermion	2·41
31	89	5.683688250866e-4	2	90	1	1	excited boson	89 (prime)
32	33	5.361605974190e-4	4	48	2	2	heavy fermion	3·11
33	76	5.271570060942e-4	6	140	2	3	heavy fermion	2^2·19
34	55	4.634066460831e-4	4	72	2	2	fermion	5·11
35	31	4.475000310021e-4	2	32	1	1	excited boson	31 (prime)
36	91	4.045961443228e-4	4	112	2	2	fermion	7·13
37	85	3.466851818410e-4	4	108	2	2	fermion	5·17
38	15	3.220774175030e-4	4	24	2	2	fermion	3·5
39	39	3.132531054865e-4	4	56	2	2	fermion	3·13
40	34	2.400903952280e-4	4	54	2	2	light fermion	2·17
41	79	2.254060309112e-4	2	80	1	1	excited boson	79 (prime)
42	72	2.216680378170e-4	12	195	2	5	light fermion	2^3·3^2
43	30	2.207508072968e-4	8	72	3	3	light fermion	2·3·5
44	24	2.056867365540e-4	8	60	2	4	light fermion	2^3·3
45	58	1.962320405297e-4	4	90	2	2	light fermion	2·29
46	17	1.885288695699e-4	2	18	1	1	excited boson	17 (prime)
47	38	1.774616022465e-4	4	60	2	2	light fermion	2·19
48	54	1.749961024271e-4	8	120	2	4	light fermion	2·3^3
49	51	1.690015601756e-4	4	72	2	2	light fermion	3·17
50	56	1.614197481180e-4	8	120	2	4	spectator	2^3·7
