rank	k	weight	d(k)	sigma(k)	omega	Omega	class	factors
1	508	1.728929834179e-2	6	896	2	3	heavy fermion	2^2·127
2	402	1.005251233974e-2	8	816	3	3	heavy fermion	2·3·67
3	250	7.717506554374e-3	8	468	2	4	heavy fermion	2·5^3
4	509	7.562143960582e-3	2	510	1	1	excited boson	509 (prime)
5	804	7.058547285724e-3	12	1904	3	4	heavy fermion	2^2·3·67
6	507	6.852812440589e-3	6	732	2	3	heavy fermion	3·13^2
7	251	6.734020705621e-3	2	252	1	1	excited boson	251 (prime)
8	253	5.885855011731e-3	4	288	2	2	heavy fermion	11·23
9	476	5.873732923527e-3	12	1008	3	4	heavy fermion	2^2·7·17
10	248	5.793520116664e-3	8	480	2	4	heavy fermion	2^3·31
11	511	5.275174711266e-3	4	592	2	2	heavy fermion	7·73
12	1524	5.236593003513e-3	12	3584	3	4	heavy fermion	2^2·3·127
13	401	5.120344571643e-3	2	402	1	1	excited boson	401 (prime)
14	1012	4.839841293867e-3	12	2016	3	4	heavy fermion	2^2·11·23
15	254	4.793785114365e-3	4	384	2	2	heavy fermion	2·127
16	397	4.134856999264e-3	2	398	1	1	excited boson	397 (prime)
17	762	4.127507435867e-3	8	1536	3	3	heavy fermion	2·3·127
18	245	4.120258200419e-3	6	342	2	3	heavy fermion	5·7^2
19	1206	4.068751346665e-3	12	2652	3	4	heavy fermion	2·3^2·67
20	2540	4.028387384142e-3	12	5376	3	4	heavy fermion	2^2·5·127
21	1018	3.935040787966e-3	4	1530	2	2	heavy fermion	2·509
22	500	3.886941289237e-3	12	1092	2	5	heavy fermion	2^2·5^3
23	466	3.869736808593e-3	4	702	2	2	heavy fermion	2·233
24	1014	3.663242359970e-3	12	2196	3	4	heavy fermion	2·3·13^2
25	462	3.606913508888e-3	16	1152	4	4	heavy fermion	2·3·7·11
26	247	3.574967593827e-3	4	280	2	2	heavy fermion	13·19
27	450	3.148043208330e-3	18	1209	3	5	heavy fermion	2·3^2·5^2
28	480	3.098990292598e-3	24	1512	3	7	heavy fermion	2^5·3·5
29	753	2.929816134436e-3	4	1008	2	2	heavy fermion	3·251
30	1527	2.925987578350e-3	4	2040	2	2	heavy fermion	3·509
31	2010	2.854481509416e-3	16	4896	4	4	heavy fermion	2·3·5·67
32	1016	2.837420121323e-3	8	1920	2	4	heavy fermion	2^3·127
33	470	2.825197828141e-3	8	864	3	3	heavy fermion	2·5·47
34	1521	2.781926442768e-3	9	2379	2	4	heavy fermion	3^2·13^2
35	502	2.716888414344e-3	4	756	2	2	heavy fermion	2·251
36	398	2.696817491531e-3	4	600	2	2	heavy fermion	2·199
37	403	2.694707183749e-3	4	448	2	2	heavy fermion	13·31
38	472	2.661855442989e-3	8	900	2	4	heavy fermion	2^3·59
39	3120	2.645506133142e-3	40	10416	4	7	heavy fermion	2^4·3·5·13
40	1022	2.612139678666e-3	8	1776	3	3	heavy fermion	2·7·73
41	759	2.553577096572e-3	8	1152	3	3	heavy fermion	3·11·23
42	496	2.517185449032e-3	10	992	2	5	heavy fermion	2^4·31
43	802	2.507463773559e-3	4	1206	2	2	heavy fermion	2·401
44	1240	2.490418175479e-3	16	2880	3	5	heavy fermion	2^3·5·31
45	750	2.443096474654e-3	16	1872	3	5	heavy fermion	2·3·5^3
46	3556	2.441312884871e-3	12	7168	3	4	heavy fermion	2^2·7·127
47	242	2.438068728736e-3	6	399	2	3	heavy fermion	2·11^2
48	243	2.400356733001e-3	6	364	1	5	heavy fermion	3^5
49	458	2.354735554761e-3	4	690	2	2	heavy fermion	2·229
50	240	2.272401529875e-3	20	744	3	6	heavy fermion	2^4·3·5
