k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
2	1.357164624147e-9	1	2	3	1	1	297	gauge boson (light)	2 (prime)
3	4.070579808965e-8	1	2	4	1	1	328	gauge boson (light)	3 (prime)
4	2.509517115416e-9	0	3	7	1	2	395	spectator	2^2
5	1.337983152001e-10	1	2	6	1	1	354	gauge boson (light)	5 (prime)
6	2.092653831936e-7	0	4	12	2	2	491	spectator	2·3
7	2.940378644157e-8	1	2	8	1	1	360	gauge boson (light)	7 (prime)
8	6.770977935206e-7	0	4	15	1	3	491	spectator	2^3
9	2.970838714611e-6	0	3	13	1	2	454	spectator	3^2
10	4.030939327908e-7	0	4	18	2	2	529	spectator	2·5
11	5.769521670657e-7	1	2	12	1	1	368	gauge boson (light)	11 (prime)
12	1.719660642542e-7	0	6	28	2	3	649	spectator	2^2·3
13	3.023176044290e-7	1	2	14	1	1	366	gauge boson (light)	13 (prime)
14	1.936289689705e-6	0	4	24	2	2	537	spectator	2·7
15	2.548681581642e-7	0	4	24	2	2	580	spectator	3·5
16	4.280680976328e-6	0	5	31	1	4	579	spectator	2^4
17	4.069329646044e-6	1	2	18	1	1	358	gauge boson (light)	17 (prime)
18	3.261806230832e-5	0	6	39	2	3	677	spectator	2·3^2
19	1.243851449764e-5	1	2	20	1	1	360	gauge boson (light)	19 (prime)
20	4.916576095746e-6	0	6	42	2	3	699	spectator	2^2·5
21	1.178321066289e-6	0	4	32	2	2	586	spectator	3·7
22	4.370051449294e-7	0	4	36	2	2	547	spectator	2·11
23	5.273724991586e-9	1	2	24	1	1	352	gauge boson (light)	23 (prime)
24	4.189230505929e-7	0	8	60	2	4	801	spectator	2^3·3
25	1.913672540013e-6	0	3	31	1	2	494	spectator	5^2
26	3.176969625184e-8	0	4	42	2	2	537	spectator	2·13
27	5.751988423080e-7	0	4	40	1	3	562	spectator	3^3
28	3.781528557636e-7	0	6	56	2	3	707	spectator	2^2·7
29	1.383402229916e-6	1	2	30	1	1	338	gauge boson (light)	29 (prime)
30	5.216794860039e-7	0	8	72	3	3	859	spectator	2·3·5
31	5.142837995627e-5	1	2	32	1	1	348	excited boson	31 (prime)
32	8.897458963034e-4	0	6	63	1	5	659	heavy fermion	2^5
33	1.214135513261e-3	0	4	48	2	2	598	heavy fermion	3·11
34	2.227758090987e-4	0	4	54	2	2	521	heavy fermion	2·17
35	5.430200872122e-6	0	4	48	2	2	612	spectator	5·7
36	1.945551455992e-7	0	9	91	2	4	883	spectator	2^2·3^2
37	2.148530195757e-6	1	2	38	1	1	342	gauge boson (light)	37 (prime)
38	1.368778315945e-5	0	4	60	2	2	531	spectator	2·19
39	3.474433982161e-7	0	4	56	2	2	592	spectator	3·13
40	3.143599762788e-5	0	8	90	2	4	859	spectator	2^3·5
41	2.407163602879e-6	1	2	42	1	1	318	gauge boson (light)	41 (prime)
42	7.094814020044e-6	0	8	96	3	3	863	spectator	2·3·7
