rank	k	weight	d_k	omega	is_prime	factors
1	49152	1.747044708630e-1	30	2	composite	2^14·3
2	49146	1.105293918626e-1	8	3	composite	2·3·8191
3	16384	1.041646839224e-1	15	1	composite	2^14
4	24576	9.698059352127e-2	28	2	composite	2^13·3
5	32768	9.475054920835e-2	16	1	composite	2^15
6	16382	7.810733131775e-2	4	2	composite	2·8191
7	98304	7.395881571400e-2	32	2	composite	2^15·3
8	32764	7.251954107444e-2	6	2	composite	2^2·8191
9	98292	5.240223462432e-2	12	3	composite	2^2·3·8191
10	24573	2.793280950821e-2	4	2	composite	3·8191
11	8192	2.114302357554e-2	14	1	composite	2^13
12	12288	1.593604460599e-2	26	2	composite	2^12·3
13	73728	1.222060559017e-2	42	2	composite	2^13·3^2
14	36864	1.070707863121e-2	39	2	composite	2^12·3^2
15	8191	9.450789762829e-3	2	1	prime	8191 (prime)
16	65536	9.291976360440e-3	17	1	composite	2^16
17	65528	7.279856346869e-3	8	2	composite	2^3·8191
18	48768	3.837720597278e-3	32	3	composite	2^7·3·127
19	24384	3.452840593864e-3	28	3	composite	2^6·3·127
20	4096	2.573015003254e-3	13	1	composite	2^12
21	16256	1.582840866526e-3	16	2	composite	2^7·127
22	18432	1.512130543905e-3	36	2	composite	2^11·3^2
23	97536	1.216952946045e-3	36	3	composite	2^8·3·127
24	6144	1.211305544629e-3	24	2	composite	2^11·3
25	12192	1.203128500935e-3	24	3	composite	2^5·3·127
26	25200	1.194309899766e-3	90	4	composite	2^4·3^2·5^2·7
27	81910	1.117306518402e-3	8	3	composite	2·5·8191
28	32512	1.094059957921e-3	18	2	composite	2^8·127
29	8128	7.640024862835e-4	14	2	composite	2^6·127
30	12600	6.953595491717e-4	72	4	composite	2^3·3^2·5^2·7
31	75600	5.978354867623e-4	120	4	composite	2^4·3^3·5^2·7
32	37800	5.899617998760e-4	96	4	composite	2^3·3^3·5^2·7
33	43008	4.973060652194e-4	48	3	composite	2^11·3·7
34	28672	4.304448867755e-4	26	2	composite	2^12·7
35	86016	3.555156391127e-4	52	3	composite	2^12·3·7
36	40955	3.420868370110e-4	4	2	composite	5·8191
37	4064	2.480212136914e-4	12	2	composite	2^5·127
38	35840	2.259968708536e-4	44	3	composite	2^10·5·7
39	30720	1.737482652619e-4	48	3	composite	2^11·3·5
40	50400	1.612547562561e-4	108	4	composite	2^5·3^2·5^2·7
41	14336	1.491776543314e-4	24	2	composite	2^11·7
42	12289	1.407990491945e-4	2	1	prime	12289 (prime)
43	6096	1.359862913134e-4	20	3	composite	2^4·3·127
44	12281	1.307245700204e-4	2	1	prime	12281 (prime)
45	21504	1.287842342011e-4	44	3	composite	2^10·3·7
46	2048	1.145609419890e-4	12	1	composite	2^11
47	17920	1.027217906094e-4	40	3	composite	2^9·5·7
48	61440	9.242110684540e-5	52	3	composite	2^12·3·5
49	65024	8.723147899928e-5	20	2	composite	2^9·127
50	8400	8.643327556557e-5	60	4	composite	2^4·3·5^2·7
51	15120	8.063582597297e-5	80	4	composite	2^4·3^3·5·7
52	5040	7.143530303096e-5	60	4	composite	2^4·3^2·5·7
53	57344	6.328118490085e-5	28	2	composite	2^13·7
54	71680	6.292388950453e-5	48	3	composite	2^11·5·7
