channel	gue_fit	goe_fit	gse_fit	poisson_fit	best_class
Full G_N	3.187419662522160e-1	3.956052906921342e-1	2.443880576724049e-1	6.014068387803299e-1	Poisson
k≡1(8)	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	N/A
k≡3(8)	8.538395627120138e-2	9.969683686160820e-2	7.435171429830914e-2	1.651043511027166e-1	Poisson
k≡5(8)	8.526526518949989e-2	9.919722776717364e-2	7.434649693467787e-2	1.637633108934221e-1	Poisson
k≡7(8)	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	N/A
Odd sector	1.211988362039273e-1	1.358462781782487e-1	1.087717241433849e-1	2.232983561013043e-1	Poisson
Dark (even)	1.692476067253683e-1	2.025919853611275e-1	1.407631456250214e-1	4.040138873242323e-1	Poisson
