channel	A	E0	B	R2
Full G_N	4.217878077172144e-2	2.023330842541893e-4	5.034634713259974e-1	7.776353186036342e-1
χ₀ (principal)	3.642132903305756e-2	4.194513534077129e-4	4.322759991151684e-1	7.004206628382182e-1
χ₁	3.642132903305756e-2	4.194513534077129e-4	4.322759991151684e-1	7.004206628382182e-1
χ₂	3.642132903305756e-2	4.194513534077129e-4	4.322759991151684e-1	7.004206628382182e-1
χ₃	3.642132903305756e-2	4.194513534077129e-4	4.322759991151684e-1	7.004206628382182e-1
Odd sector	3.642132903305756e-2	4.194513534077129e-4	4.322759991151684e-1	7.004206628382182e-1
Dark (even)	3.678120717003510e-2	3.718984398558747e-4	4.400017089007731e-1	7.354837956661175e-1
