channel	gue_fit	goe_fit	gse_fit	poisson_fit	best_class
Full G_N	6.162484665477842e-1	7.880814167539343e-1	4.160403647010787e-1	5.964692004189724e-1	GOE (β=1)
χ₀ (principal)	5.370277297516789e-1	6.957310992588696e-1	3.884355759131882e-1	7.621310601049881e-1	Poisson
χ₁	5.370277297516789e-1	6.957310992588696e-1	3.884355759131882e-1	7.621310601049881e-1	Poisson
χ₂	5.370277297516789e-1	6.957310992588696e-1	3.884355759131882e-1	7.621310601049881e-1	Poisson
χ₃	5.370277297516789e-1	6.957310992588696e-1	3.884355759131882e-1	7.621310601049881e-1	Poisson
Odd sector	5.370277297516789e-1	6.957310992588696e-1	3.884355759131882e-1	7.621310601049881e-1	Poisson
Dark (even)	5.600889350081633e-1	7.434113927018088e-1	3.868745348957272e-1	7.142799471404139e-1	GOE (β=1)
