N	d_squared	cov_quad	mean_resid_sq	gram_quad	mean_proj	inv_log_N	d_sq_times_logN	lambda_min	lambda_max	condition	frob_norm	trace_C
100	1.983627944777155e-1	5.605988189250978e-2	1.423029125852053e-1	4.439016289159476e-1	6.227694172191161e-1	2.171472409516259e-1	9.134944271380586e-1	-3.384930681262946e-1	1.210283286146019e0	3.575504e0	1.276195083808337e0	1.665930484511143e0
500	1.228086892020076e-1	4.547594731682335e-2	7.733274188518514e-2	5.666333863156420e-1	7.219123485568172e-1	1.609111924940025e-1	7.632078744714104e-1	-3.387568661250783e-1	2.350281550617895e0	6.937960e0	2.418504388573592e0	3.421843232959505e0
1000	1.050467017126392e-1	4.198318667725738e-2	6.306351503538181e-2	6.027976995816969e-1	7.488754989345289e-1	1.447648273010839e-1	7.256369082951453e-1	NaN	NaN	NaN	NaN	NaN
2000	9.074608952140240e-2	3.893593153895429e-2	5.181015798244810e-2	6.355091930270690e-1	7.723815517528333e-1	1.315633249239519e-1	6.897521750370534e-1	NaN	NaN	NaN	NaN	NaN
3000	8.401402998265706e-2	3.738412472438216e-2	4.662990525827490e-2	6.521348558689941e-1	7.840604129431685e-1	1.249005858837288e-1	6.726472048807408e-1	NaN	NaN	NaN	NaN	NaN
5000	7.680475477004978e-2	3.548127250846542e-2	4.132348226158435e-2	6.702411938766301e-1	7.967182195532901e-1	1.174095711493096e-1	6.541609343958618e-1	NaN	NaN	NaN	NaN	NaN
7500	7.176792208402716e-2	3.415097116723106e-2	3.761695091679609e-2	6.838661256623241e-1	8.060491017891485e-1	1.120742234467616e-1	6.403606456226655e-1	NaN	NaN	NaN	NaN	NaN
10000	6.862319434044784e-2	3.326476201913090e-2	3.535843232131693e-2	6.925464345090702e-1	8.119616200843112e-1	1.085736204758129e-1	6.320429772877942e-1	NaN	NaN	NaN	NaN	NaN
