N	max_fN	max_x	integral_f2	integral_1mf2	integral_1mf2_logN
10	8.372479540879512e-1	5.262500000000000e-2	1.364798360115255e-1	4.855905861439491e-1	1.118113644953298e0
20	1.089663214281346e0	5.262500000000000e-2	2.471355274369299e-1	2.985596177094043e-1	8.944046823520041e-1
50	1.414831642237015e0	8.825000000000000e-3	3.725853993782302e-1	1.776797130049419e-1	6.950871248732031e-1
100	1.790028129252458e0	8.825000000000000e-3	4.438276883982482e-1	1.312220495095494e-1	6.042998701456302e-1
200	1.808291766409240e0	4.950000000000000e-3	5.053878005909879e-1	9.891748229143101e-2	5.240962142798967e-1
300	2.392117666538992e0	7.500000000000000e-4	5.345977878602444e-1	8.606780138838810e-2	4.909120171912787e-1
500	3.198790333383759e0	7.500000000000000e-4	5.673751173726629e-1	7.319077386188318e-2	4.548519759718465e-1
750	2.298634866780292e0	3.000000000000000e-4	5.905451107449217e-1	6.562068086346778e-2	4.344137111785223e-1
1000	2.504417289456167e0	9.000000000000000e-4	6.043492982008367e-1	6.130325502096617e-2	4.234678834898672e-1
