k	lambda_k	c_k_sq	E_k	S_cumulative
459	4.417786661170629e-03	3.614413981267254e-06	8.181504129738811e-04	1.315872937311276e-02
460	4.486269587654183e-03	2.733388122281436e-06	6.092786153118122e-04	1.376800798842457e-02
461	4.725994369047849e-03	3.602361578854185e-08	7.622441538329544e-06	1.377563042996290e-02
462	5.278358365291619e-03	9.313141511513832e-09	1.764401138951334e-06	1.377739483110185e-02
463	5.592631919703781e-03	2.345896937582940e-06	4.194620656721483e-04	1.419685689677400e-02
464	5.961365607672769e-03	3.573212951429226e-07	5.993950357331223e-05	1.425679640034731e-02
465	6.219933317302057e-03	9.284917907418085e-07	1.492768078652890e-04	1.440607320821260e-02
466	6.434468346151955e-03	1.413276697877815e-05	2.196415650599953e-03	1.660248885881255e-02
467	7.136388722337565e-03	2.480843303952179e-06	3.476328715372394e-04	1.695012173034979e-02
468	7.928134400108802e-03	2.446225051281105e-07	3.085498968392279e-05	1.698097672003371e-02
469	8.733692418437381e-03	1.148321580786212e-05	1.314817978203619e-03	1.829579469823733e-02
470	9.336683651531889e-03	1.678852240891274e-07	1.798124798429709e-05	1.831377594622162e-02
471	9.866145896741552e-03	4.021932748736666e-07	4.076498351869063e-05	1.835454092974032e-02
472	1.079415281987104e-02	1.308282520673138e-05	1.212028903523314e-03	1.956656983326363e-02
473	1.155689510014307e-02	1.061225751722547e-05	9.182619921066946e-04	2.048483182537033e-02
474	1.370126204105021e-02	1.062725205424859e-05	7.756403769527500e-04	2.126047220232308e-02
475	1.452311184270973e-02	2.669689358874730e-07	1.838235075091605e-05	2.127885455307399e-02
476	1.549774056643098e-02	2.121568061883633e-05	1.368953140484926e-03	2.264780769355892e-02
477	1.702073148691557e-02	6.569016832968069e-06	3.859420987880516e-04	2.303374979234697e-02
478	1.867238861374183e-02	3.438426527368658e-08	1.841449746198068e-06	2.303559124209317e-02
479	2.131728739618916e-02	5.174605720400298e-05	2.427422225083549e-03	2.546301346717671e-02
480	2.232682793652776e-02	2.434694315051456e-06	1.090479275413853e-04	2.557206139471810e-02
481	2.238373593904127e-02	8.944697285489224e-06	3.996069874058896e-04	2.597166838212399e-02
482	2.331865272079603e-02	5.788449258265877e-05	2.482325770520879e-03	2.845399415264487e-02
483	2.400312208204113e-02	1.793902288507057e-05	7.473620649745541e-04	2.920135621761942e-02
484	2.416729717492986e-02	6.280195638636739e-06	2.598633845224343e-04	2.946121960214185e-02
485	2.549057390614922e-02	2.449634911487038e-05	9.609963747799728e-04	3.042221597692183e-02
486	2.577031810282740e-02	4.021891461401601e-06	1.560668147499638e-04	3.057828279167179e-02
487	2.629249286512732e-02	1.181002987806254e-05	4.491787803706740e-04	3.102746157204246e-02
488	2.727107159462276e-02	3.899140165581280e-05	1.429771526231519e-03	3.245723309827398e-02
489	2.896339486877221e-02	1.930324897920095e-05	6.664705248352415e-04	3.312370362310922e-02
490	3.322247167076807e-02	1.543865668349288e-06	4.647052403712970e-05	3.317017414714635e-02
491	3.642783525268523e-02	2.371350674681433e-04	6.509721640696813e-03	3.967989578784317e-02
492	4.160819473867649e-02	3.479904849877538e-04	8.363508370726854e-03	4.804340415857002e-02
493	5.669366552977252e-02	6.763470071939677e-04	1.192985143708491e-02	5.997325559565492e-02
494	7.091924906100630e-02	1.488968837290057e-03	2.099527077633342e-02	8.096852637198834e-02
495	1.164441170242555e-01	9.754108861388174e-03	8.376643758959826e-02	1.647349639615866e-01
496	2.887553570353827e-01	2.881476970172832e-02	9.978955887629645e-02	2.645245228378831e-01
497	1.059377748032646e+00	8.506427021256820e-02	8.029644795781275e-02	3.448209707956958e-01
498	4.375889058080823e+00	1.287011044606140e-01	2.941141851458633e-02	3.742323893102822e-01
