k	lambda_k	c_k_sq	E_k	S_cumulative
0	3.125490226093174e-05	4.460870286804973e-12	1.427254594995489e-07	1.427254594995489e-07
1	3.301763650008360e-05	1.315509830149930e-12	3.984264077008052e-08	1.825681002696294e-07
2	3.488949302443267e-05	4.478396551178752e-10	1.283594619171619e-05	1.301851429198582e-05
3	3.557792051968685e-05	1.794461826182485e-11	5.043751292854593e-07	1.352288942127128e-05
4	3.653013204556751e-05	1.090000959784100e-11	2.983840732971997e-07	1.382127349456848e-05
5	3.682289096082170e-05	1.059961042150693e-10	2.878538361581808e-06	1.669981185615029e-05
6	3.760287963429093e-05	2.241597381030091e-11	5.961238614783976e-07	1.729593571762869e-05
7	3.921542279579665e-05	2.230199225742515e-10	5.687046235241819e-06	2.298298195287050e-05
8	3.976497150116474e-05	1.099207513094556e-10	2.764260784299466e-06	2.574724273716997e-05
9	4.009112163609169e-05	2.243609495603612e-12	5.596275195213849e-08	2.580320548912211e-05
10	4.141437088107838e-05	1.969449381770192e-10	4.755473377648251e-06	3.055867886677036e-05
11	4.196599372709437e-05	3.454662299330858e-11	8.232051698326483e-07	3.138188403660301e-05
12	4.282945445306815e-05	7.184066507552522e-11	1.677365868721188e-06	3.305924990532419e-05
13	4.389759959607986e-05	2.065031948950327e-10	4.704202434646878e-06	3.776345233997107e-05
14	4.462535996806350e-05	2.380026494136514e-10	5.333349682422281e-06	4.309680202239336e-05
15	4.562138136870246e-05	1.544742205259767e-11	3.386004892696002e-07	4.343540251166296e-05
16	4.643897783182837e-05	8.464764251469780e-10	1.822771440431705e-05	6.166311691598000e-05
17	4.688495138272763e-05	2.991302439081790e-10	6.380090734580099e-06	6.804320765056010e-05
18	4.852851512935385e-05	1.324049358814633e-11	2.728394543466556e-07	6.831604710490675e-05
19	4.947204264721752e-05	1.250540412571079e-10	2.527771940788084e-06	7.084381904569485e-05
20	4.994535819981841e-05	4.107136689717710e-12	8.223260054089757e-08	7.092605164623574e-05
21	5.178324749509505e-05	5.127920824695240e-11	9.902663646541212e-07	7.191631801088986e-05
22	5.215111214643791e-05	1.192930923608611e-10	2.287450592154039e-06	7.420376860304390e-05
23	5.463619323203797e-05	6.182751412359788e-10	1.131621924335369e-05	8.551998784639760e-05
24	5.574630404823886e-05	2.954312056814218e-10	5.299565786922426e-06	9.081955363332003e-05
25	5.698089229912517e-05	1.289077405586021e-09	2.262297681859596e-05	1.134425304519160e-04
26	5.715862049674392e-05	2.321038077283450e-11	4.060696456828711e-07	1.138486000975988e-04
27	5.843999578433506e-05	1.091057475515107e-10	1.866970489767843e-06	1.157155705873667e-04
28	6.059750486457738e-05	9.710666768028739e-10	1.602486239281638e-05	1.317404329801831e-04
29	6.131631336086636e-05	1.261917679039225e-10	2.058045583419914e-06	1.337984785636030e-04
30	6.360157681319670e-05	8.019578599282461e-10	1.260908770050883e-05	1.464075662641118e-04
31	6.443847474219347e-05	2.648880455426951e-10	4.110712530091124e-06	1.505182787942029e-04
32	6.503028212008290e-05	3.161832180003463e-12	4.862092054536872e-08	1.505668997147483e-04
33	6.682150961428871e-05	1.801815338623227e-09	2.696460090506453e-05	1.775315006198128e-04
34	6.717990119297203e-05	4.642874061663296e-10	6.911105820663229e-06	1.844426064404761e-04
35	6.821233688799328e-05	4.037259911785966e-10	5.918665297181166e-06	1.903612717376572e-04
36	6.949339420715195e-05	7.062830262536905e-11	1.016331169763187e-06	1.913776029074204e-04
37	7.094296004218641e-05	7.428683921595323e-11	1.047134756877615e-06	1.924247376642980e-04
38	7.284552846600968e-05	8.868575421117959e-10	1.217449527496545e-05	2.045992329392635e-04
39	7.449695826605707e-05	4.892704666064356e-10	6.567656962034129e-06	2.111668899012976e-04
40	7.551683959908541e-05	2.303962429634703e-11	3.050925385472046e-07	2.114719824398448e-04
41	7.644514387434949e-05	9.677647956351138e-10	1.265959806715517e-05	2.241315805070000e-04
42	7.794389853720725e-05	2.185888612868183e-15	2.804438389522855e-11	2.241316085513839e-04
43	7.970869458794860e-05	9.637187153321505e-12	1.209050932666833e-07	2.242525136446506e-04
44	8.222406158096661e-05	1.780768569126405e-09	2.165751161991517e-05	2.459100252645657e-04
45	8.353370538955111e-05	1.643770536786947e-12	1.967793155016154e-08	2.459297031961159e-04
46	8.548626586334581e-05	3.218531550147061e-12	3.764969165096121e-08	2.459673528877668e-04
47	8.613183871994227e-05	2.196739979152446e-09	2.550438968678177e-05	2.714717425745486e-04
48	8.799119792976448e-05	7.655370066400855e-10	8.700154386477899e-06	2.801718969610265e-04
49	9.015194850029064e-05	6.206061594894411e-10	6.884001619637100e-06	2.870558985806636e-04
50	9.141140587565859e-05	1.921655633420456e-10	2.102205534432287e-06	2.891581041150959e-04
51	9.448428581901028e-05	1.252207992478127e-10	1.325308205087985e-06	2.904834123201839e-04
52	9.507745971227637e-05	1.123232638606471e-09	1.181386883921384e-05	3.022972811593977e-04
53	9.757407128516120e-05	8.553646794429949e-11	8.766311256431876e-07	3.031739122850409e-04
54	9.955460840785197e-05	2.960959524578619e-12	2.974206389771792e-08	3.032036543489386e-04
55	1.015437624297401e-04	3.134439275798483e-10	3.086786623616843e-06	3.062904409725555e-04
56	1.027298478080516e-04	8.723810083655286e-11	8.491991636116822e-07	3.071396401361672e-04
57	1.060632533371839e-04	2.319028286775175e-10	2.186457810607403e-06	3.093260979467746e-04
58	1.096674563920710e-04	1.113235278267126e-10	1.015100846587715e-06	3.103411987933623e-04
59	1.103033943007436e-04	3.732471627018326e-09	3.383823000806026e-05	3.441794288014225e-04
60	1.133711083563925e-04	1.733697326874001e-10	1.529223231569691e-06	3.457086520329922e-04
61	1.139493349080725e-04	4.550206036474570e-10	3.993183496986098e-06	3.497018355299783e-04
62	1.166489380338456e-04	3.704960936088045e-10	3.176163451237809e-06	3.528779989812161e-04
63	1.184709375006996e-04	3.544066567843020e-14	2.991507151551065e-10	3.528782981319312e-04
64	1.207425748370241e-04	1.153980563909756e-09	9.557362558048606e-06	3.624356606899799e-04
65	1.257534429332201e-04	2.915899921610943e-09	2.318743609397158e-05	3.856230967839514e-04
66	1.280615319734149e-04	1.034423499926124e-11	8.077550564839927e-08	3.857038722895999e-04
67	1.304952170056723e-04	1.432540017505167e-11	1.097772048950192e-07	3.858136494944949e-04
68	1.336314068378554e-04	4.665037746499894e-10	3.490974058336689e-06	3.893046235528316e-04
69	1.375836980675397e-04	2.482083962382451e-09	1.804053821233965e-05	4.073451617651712e-04
70	1.436980157101981e-04	1.779606827353660e-10	1.238435213289701e-06	4.085835969784609e-04
71	1.468573852640108e-04	1.991768971600805e-09	1.356260679720076e-05	4.221462037756617e-04
72	1.488283978159361e-04	5.616958901386262e-10	3.774117697842216e-06	4.259203214735039e-04
73	1.536366536278407e-04	1.760353221048943e-09	1.145789874669560e-05	4.373782202201995e-04
74	1.584904564338325e-04	7.402873552462750e-10	4.670863923944432e-06	4.420490841441439e-04
75	1.640302706379869e-04	8.892320377915285e-10	5.421145952712927e-06	4.474702300968569e-04
76	1.651143817043731e-04	1.266645238438854e-09	7.671319877554354e-06	4.551415499744112e-04
77	1.705459174514035e-04	6.325591879137697e-09	3.709025682740341e-05	4.922318068018147e-04
78	1.725410068885564e-04	8.255984994750923e-10	4.784940776474914e-06	4.970167475782896e-04
79	1.778998520790536e-04	7.800561221615788e-09	4.384804782271232e-05	5.408647954010020e-04
80	1.805378802668627e-04	1.230765789163979e-08	6.817216350079650e-05	6.090369589017984e-04
81	1.860305779895914e-04	2.518388483705020e-09	1.353749749595428e-05	6.225744563977527e-04
82	1.913107887601568e-04	8.320101161801427e-10	4.348997364823058e-06	6.269234537625757e-04
83	1.939898208767076e-04	1.121391023986971e-09	5.780669413059994e-06	6.327041231756357e-04
84	1.985020773447396e-04	8.061799160997781e-11	4.061317276290672e-07	6.331102549032647e-04
85	2.039673413491557e-04	5.265491112570343e-09	2.581536376236214e-05	6.589256186656268e-04
86	2.077231425305049e-04	2.765735266333449e-09	1.331452640587358e-05	6.722401450715004e-04
87	2.119653365469953e-04	3.606352758845961e-11	1.701387980504250e-07	6.724102838695508e-04
88	2.175092270787304e-04	3.349761169423486e-10	1.540054743613702e-06	6.739503386131645e-04
89	2.273083369168710e-04	4.836834216157144e-10	2.127873654685188e-06	6.760782122678497e-04
90	2.308233112325401e-04	2.680236151642555e-09	1.161163548573473e-05	6.876898477535844e-04
91	2.323964196894429e-04	2.692147078865567e-10	1.158428809902988e-06	6.888482765634873e-04
92	2.402549006673178e-04	4.662685017934173e-09	1.940724207907258e-05	7.082555186425599e-04
93	2.432355346915197e-04	1.453016330173161e-08	5.973700890439098e-05	7.679925275469509e-04
94	2.499149129832003e-04	1.003812529093680e-08	4.016617164263255e-05	8.081586991895834e-04
95	2.546122165618972e-04	1.810138397605449e-09	7.109393343525595e-06	8.152680925331090e-04
96	2.638976746935913e-04	5.967490586998770e-09	2.261289567605155e-05	8.378809882091605e-04
97	2.700149566770053e-04	3.517105643458236e-11	1.302559564381996e-07	8.380112441655987e-04
98	2.817053392917744e-04	2.405789928764756e-09	8.540093470762993e-06	8.465513376363617e-04
99	2.880131937067681e-04	2.566198007499986e-08	8.910001567888874e-05	9.356513533152503e-04
100	2.886783413860349e-04	2.987871710813917e-09	1.035017624276283e-05	9.460015295580131e-04
101	2.987605578910313e-04	9.486850707401403e-09	3.175402661706636e-05	9.777555561750796e-04
102	3.063563302487918e-04	4.443214844111283e-09	1.450342103426735e-05	9.922589772093468e-04
103	3.120753895345331e-04	8.251261935355042e-11	2.643996358592060e-07	9.925233768452060e-04
104	3.219131999231292e-04	1.137549977073522e-08	3.533716471847572e-05	1.027860541563682e-03
105	3.370224870212430e-04	7.719427547684104e-09	2.290478482878662e-05	1.050765326392468e-03
106	3.456051444868045e-04	1.186831484867200e-09	3.434067761432047e-06	1.054199394153900e-03
107	3.559878701819902e-04	5.548751497509848e-09	1.558691169638219e-05	1.069786305850282e-03
108	3.680098523732856e-04	5.419819184306403e-09	1.472737523018510e-05	1.084513681080467e-03
109	3.771191798516265e-04	2.153034150855884e-08	5.709161097833773e-05	1.141605292058805e-03
110	3.883640065891465e-04	1.418233530560779e-10	3.651815066531487e-07	1.141970473565459e-03
111	4.016110970857178e-04	1.701115850975874e-10	4.235729200014602e-07	1.142394046485460e-03
112	4.043693133161863e-04	5.435731308219679e-08	1.344249212098186e-04	1.276818967695279e-03
113	4.241301211696940e-04	8.155577130403026e-08	1.922895055864233e-04	1.469108473281702e-03
114	4.538873784910091e-04	6.136853430019663e-09	1.352065230459195e-05	1.482629125586294e-03
115	4.693965386399505e-04	3.419360882961573e-08	7.284589044625200e-05	1.555475016032546e-03
116	4.823361981950204e-04	9.790085135219831e-09	2.029722250135052e-05	1.575772238533896e-03
