k	lambda_k	c_k_sq	E_k	S_cumulative
0	1.431801404193669e-06	3.953192875477499e-13	2.760992456005987e-07	2.760992456005987e-07
1	1.483962142106911e-06	1.163177003945429e-13	7.838319933781904e-08	3.544824449384177e-07
2	1.508775896706686e-06	2.794052302381910e-16	1.851867005882511e-10	3.546676316390060e-07
3	1.515913266200094e-06	2.849688348784745e-14	1.879849205309745e-08	3.734661236921034e-07
4	1.552801778987546e-06	2.605893445474043e-15	1.678188086037054e-09	3.751443117781405e-07
5	1.564029003969387e-06	3.149695669926653e-13	2.013834565684501e-07	5.765277683465906e-07
6	1.581661308904875e-06	7.914216997237092e-14	5.003736863688477e-08	6.265651369834754e-07
7	1.604882715468990e-06	9.474664853000514e-13	5.903649383021590e-07	1.216930075285634e-06
8	1.607080959421814e-06	2.064985082440031e-13	1.284929094787458e-07	1.345422984764380e-06
9	1.641318737081067e-06	2.177477219537690e-12	1.326663231427024e-06	2.672086216191405e-06
10	1.665446061531491e-06	1.947702415687705e-13	1.169477931874095e-07	2.789034009378814e-06
11	1.666097909956581e-06	3.150786250722464e-16	1.891117101758188e-10	2.789223121088990e-06
12	1.679894172214068e-06	6.311677410257850e-15	3.757187514936837e-09	2.792980308603927e-06
13	1.684738689262349e-06	3.003519435896918e-14	1.782780590865393e-08	2.810808114512581e-06
14	1.692520118143961e-06	7.132196934180900e-14	4.213951053061725e-08	2.852947625043198e-06
15	1.709213694312479e-06	3.637339000985093e-13	2.128077380311530e-07	3.065755363074351e-06
16	1.712796509679699e-06	1.478991374178366e-15	8.634950887744072e-10	3.066618858163125e-06
17	1.721035848404942e-06	6.909606178587636e-14	4.014795034624914e-08	3.106766808509375e-06
18	1.740130801658638e-06	6.767982014014711e-13	3.889352459920647e-07	3.495702054501440e-06
19	1.743960601034185e-06	4.633195220500791e-15	2.656708653712282e-09	3.498358763155152e-06
20	1.752219323095101e-06	2.775897992038749e-15	1.584218342676094e-09	3.499942981497828e-06
21	1.763176132243155e-06	3.126012973658384e-13	1.772944243341926e-07	3.677237405832020e-06
22	1.765327869080008e-06	1.456867242593460e-13	8.252672311533262e-08	3.759764128947353e-06
23	1.773309158221661e-06	2.341590165137402e-13	1.320463583172172e-07	3.891810487264570e-06
24	1.777299916997688e-06	5.560253164507213e-14	3.128483330995646e-08	3.923095320574527e-06
25	1.789427426684136e-06	1.177665723056410e-13	6.581243282040561e-08	3.988907753394932e-06
26	1.796449466196547e-06	1.499697467511366e-13	8.348119419615704e-08	4.072388947591089e-06
27	1.799963226673257e-06	5.410790543183713e-14	3.006056158816138e-08	4.102449509179251e-06
28	1.804913769268412e-06	1.442442741520501e-14	7.991754321344493e-09	4.110441263500595e-06
29	1.813240307231034e-06	1.262150017805742e-14	6.960743221802453e-09	4.117402006722397e-06
30	1.824748240218526e-06	1.987749431021445e-13	1.089328043842036e-07	4.226334811106601e-06
31	1.830359670385381e-06	2.425835002243793e-13	1.325332414985430e-07	4.358868052605144e-06
32	1.837443085565492e-06	6.067575912295937e-14	3.302184410478531e-08	4.391889896709929e-06
33	1.851777342644741e-06	1.523709489977074e-13	8.228362313802183e-08	4.474173519847951e-06
34	1.858019663865752e-06	8.667494862592890e-14	4.664910189679858e-08	4.520822621744749e-06
35	1.863103789823189e-06	1.560837850841460e-13	8.377621576249306e-08	4.604598837507242e-06
36	1.872221341300323e-06	2.828176347944428e-13	1.510599353589336e-07	4.755658772866176e-06
37	1.876702552591246e-06	1.877959323385884e-13	1.000669669678289e-07	4.855725739834005e-06
38	1.888691521597914e-06	8.666152583665788e-14	4.588442572312630e-08	4.901610165557131e-06
39	1.890675969961799e-06	4.576026798139877e-13	2.420312560608857e-07	5.143641421618017e-06
40	1.899853686341990e-06	7.921611375383685e-14	4.169590233359543e-08	5.185337323951612e-06
41	1.913060693491664e-06	5.851079267198852e-14	3.058491184887411e-08	5.215922235800486e-06
42	1.916740969831044e-06	4.668976856306953e-14	2.435893493067303e-08	5.240281170731159e-06
43	1.922505719590929e-06	5.361543775694923e-14	2.788831118190771e-08	5.268169481913066e-06
44	1.934584407067373e-06	6.422116102877933e-14	3.319636031085966e-08	5.301365842223926e-06
45	1.940524447037682e-06	2.276012386174286e-13	1.172885190727046e-07	5.418654361296630e-06
46	1.947687516952878e-06	2.863108061167234e-13	1.470003805151719e-07	5.565654741811802e-06
47	1.953726938371909e-06	2.308082386304060e-13	1.181374091216373e-07	5.683792150933440e-06
48	1.967630526849278e-06	4.021192222146713e-15	2.043672410686653e-09	5.685835823344126e-06
49	1.975580486618345e-06	1.478752486435224e-15	7.485154345528312e-10	5.686584338778680e-06
50	1.984807161223159e-06	6.996685441636871e-14	3.525121018469667e-08	5.721835548963376e-06
51	1.996008085476548e-06	1.367045710436998e-13	6.848898661202642e-08	5.790324535575402e-06
52	2.001007717117475e-06	3.424625649217874e-13	1.711450495628859e-07	5.961469585138288e-06
53	2.012668813424788e-06	1.932159113704791e-12	9.599985356840695e-07	6.921468120822357e-06
54	2.020390545846905e-06	2.227880017550945e-14	1.102697704723749e-08	6.932495097869595e-06
55	2.024173847646544e-06	2.103564297463856e-12	1.039221161714750e-06	7.971716259584345e-06
56	2.034361414644329e-06	5.536234250324734e-13	2.721362197725640e-07	8.243852479356910e-06
57	2.038596650284228e-06	2.165611038517887e-13	1.062304815528835e-07	8.350082960909794e-06
58	2.044407608632091e-06	2.299062641810662e-13	1.124561771392036e-07	8.462539138048997e-06
59	2.058334165748390e-06	1.446462839731698e-14	7.027346986711356e-09	8.469566485035709e-06
60	2.066098264604029e-06	1.209929874018719e-13	5.856110015418863e-08	8.528127585189897e-06
61	2.069860505115175e-06	1.630226484939455e-13	7.876021021275263e-08	8.606887795402650e-06
62	2.081924366582663e-06	4.405992450285844e-13	2.116307643547100e-07	8.818518559757361e-06
63	2.093026099093082e-06	5.674764316744293e-19	2.711272601523314e-13	8.818518830884621e-06
64	2.109318856558301e-06	6.515083570297762e-13	3.088714420790884e-07	9.127390272963710e-06
65	2.118281108863294e-06	1.042176430697677e-13	4.919915616189992e-08	9.176589429125610e-06
66	2.125346741078186e-06	2.625801681948598e-13	1.235469785328549e-07	9.300136407658465e-06
67	2.131597871573550e-06	1.025701501818085e-14	4.811890251423973e-09	9.304948297909888e-06
