N	dim	vtgv	D	B_off	F_off	B_plus_F	abs_BF	BF_over_D	BF_times_ln	gap	gap_times_ln	D_frac	cancel_pct	cosmo_ratio	excess	excess_over_ln	marginal_l2	marginal_linf	marginal_per_dim	liouville_weighted	liouville_raw	liouville_raw_sqrt	row_cancel_mean	row_cancel_max	row_cancel_median	sqfree	bosonic_pairs	fermionic_pairs	is_hc
6	5	0.364924707926192	0.191441379123833	0.173483328802358	0.000000000000000	0.173483328802358	1.734833288023584e-1	9.061955654328061e-1	0.310840397134830	0.635075292073808	1.137902168246019	0.524605	0.0000000000	1.0000000000	-0.635075292073808	-0.354442269166529	0.6344259878	0.3613858078	0.1268851976	-1.1017555983	0	0.0000000000	1.0000000000	1.0000000000	1.0000000000	4	8	12	true
12	11	0.660673280538374	0.342735438960483	0.554898627953684	-0.236960786375792	0.317937841577892	3.179378415778922e-1	9.276479915301390e-1	0.790045856756148	0.339326719461626	0.843195221640941	0.518767	0.5984920608	0.4015079392	-0.339326719461626	-0.136555117469131	1.0221586549	0.4794108109	0.0929235141	-1.5308670482	-2	0.5773502692	0.7262960183	0.9517729195	0.7132957788	7	54	56	true
24	23	0.908047854970006	0.499351333972804	1.268346077527154	-0.859649556529953	0.408696520997201	4.086965209972006e-1	8.184548497059966e-1	1.298859544005033	0.091952145029994	0.292228866721284	0.549917	0.8079429702	0.1920570298	-0.091952145029994	-0.028933476252643	1.3479048369	0.5569976050	0.0586045581	-1.8527312907	-2	0.4082482905	0.5302515361	0.7573218944	0.5111908044	15	246	260	true
36	35	1.021344066084292	0.592893477488683	1.914521319090373	-1.486070730494764	0.428450588595609	4.284505885956087e-1	7.226434509119498e-1	1.535360798425031	-0.021344066084292	-0.076486865036719	0.580503	0.8740070604	0.1259929396	0.021344066084292	0.005956175047728	1.4999050059	0.5886924118	0.0428544287	-1.9965817268	-2	0.3333333333	0.4363085190	0.6556652096	0.4185290740	22	582	608	true
48	47	1.082676332517569	0.659885281713422	2.552362886865410	-2.129571836061261	0.422791050804148	4.227910508041481e-1	6.407038655360702e-1	1.636709143275828	-0.082676332517569	-0.320056702020168	0.609495	0.9096973632	0.0903026368	0.082676332517569	0.021356765583758	1.5842202277	0.6052348464	0.0337068134	-2.0481593340	-6	0.8660254038	0.3716279651	0.5864687119	0.3549833051	30	1082	1080	true
60	59	1.131598117328174	0.712272332661889	3.149243320907986	-2.729917536241699	0.419325784666287	4.193257846662868e-1	5.887155311777889e-1	1.716864246247927	-0.131598117328174	-0.538808036081277	0.629439	0.9286759123	0.0713240877	0.131598117328174	0.032141436884040	1.6491796600	0.6179828659	0.0279521976	-2.1071859422	-2	0.2581988897	0.3310848231	0.5425263085	0.3156594212	36	1686	1736	true
120	119	1.254616629345183	0.876429453069460	5.923300847288460	-5.545113671012721	0.378187176275739	3.781871762757394e-1	4.315089765083087e-1	1.810567983646160	-0.254616629345183	-1.218975010565063	0.698564	0.9670235868	0.0329764132	0.254616629345183	0.053183721878802	1.8086822992	0.6488461318	0.0151990109	-2.2512961064	-10	0.9128709292	0.2245003143	0.4282883856	0.2116269451	74	7022	7020	true
180	179	1.309814400145832	0.973490064329832	8.431852687842390	-8.095528352026438	0.336324335815952	3.363243358159522e-1	3.454830697707059e-1	1.746517763796549	-0.309814400145832	-1.608852811741737	0.743227	0.9796504761	0.0203495239	0.309814400145832	0.059660499603944	1.8761249324	0.6622554891	0.0104811449	-2.2688187434	-12	0.8944271910	0.1760132319	0.3760050975	0.1642477084	108	15926	15936	true
240	239	1.347394439548687	1.042711664920555	10.788955806776272	-10.484273032148071	0.304682774628201	3.046827746282013e-1	2.922023267586780e-1	1.669856273899156	-0.347394439548687	-1.903943487143108	0.773873	0.9856776432	0.0143223568	0.347394439548687	0.063385755640485	1.9206857673	0.6711827721	0.0080363421	-2.3031187125	-4	0.2581988897	0.1479675263	0.3445057037	0.1377569715	148	28334	28548	true
360	359	1.395230778504868	1.140784148513827	15.184250407126415	-14.929803777135273	0.254446629991142	2.544466299911416e-1	2.230453765706910e-1	1.497699334579765	-0.395230778504868	-2.326369478710686	0.817631	0.9915505688	0.0084494312	0.395230778504868	0.067146414061509	1.9755730601	0.6823747774	0.0055029890	-2.3688245420	-8	0.4216370214	0.1152196654	0.3062135258	0.1062520551	218	64122	64400	true
720	719	1.463996330883555	1.309548423811580	26.898919069902210	-26.744471162832159	0.154447907070050	1.544479070700504e-1	1.179398212862670e-1	1.016151579783053	-0.463996330883555	-3.052748422333870	0.894503	0.9971208399	0.0028791601	0.463996330883555	0.070524185189426	2.0491735302	0.6981114975	0.0028500327	-2.4749939574	-24	0.8944271910	0.0738265028	0.2537064500	0.0671126657	440	258074	258168	true
840	839	1.477163487947245	1.347252219943791	30.507889093322358	-30.377977825319739	0.129911268002619	1.299112680026191e-1	9.642683536126527e-2	0.874744777739826	-0.477163487947245	-3.212933532459690	0.912054	0.9978663149	0.0021336851	0.477163487947245	0.070865143000849	2.0622440141	0.7010938221	0.0024579786	-2.4733215241	-18	0.6210590034	0.0666107456	0.2437880708	0.0602198637	512	351302	351780	true
1000	999	1.490137746740076	1.389964293831242	35.151565481388694	-35.051392028481054	0.100173452907640	1.001734529076401e-1	7.206908361043289e-2	0.691973698136620	-0.490137746740076	-3.385751607472170	0.932776	0.9985730879	0.0014269121	0.490137746740076	0.070954706260570	2.0734896115	0.7040350249	0.0020755652	-2.4078226958	-14	0.4427188724	0.0588872091	0.2331558725	0.0531215321	607	498114	498888	true
1260	1259	1.510371043200882	1.446681983393763	42.392278830670286	-42.328589770861619	0.063689059808667	6.368905980866657e-2	4.402422960937051e-2	0.454667727325647	-0.510371043200882	-3.643470998034550	0.957832	0.9992482483	0.0007517517	0.510371043200882	0.071491882844263	2.0950319277	0.7085226818	0.0016640444	-2.5457899760	-26	0.7324670208	0.0508158867	0.2203671081	0.0456335817	766	791646	792176	true
1680	1679	1.530494702674661	1.517437505699267	53.507228300742085	-53.494171103763293	0.013057196978792	1.305719697879226e-2	8.604767530624091e-3	0.096969914110959	-0.530494702674661	-3.939744942060187	0.991469	0.9998779717	0.0001220283	0.530494702674661	0.071432195155942	2.1124415479	0.7130081493	0.0012581546	-2.4956687790	-38	0.9271050693	0.0414171099	0.2055841857	0.0370164269	1024	1408602	1408760	true
2520	2519	1.558100288869801	1.617429906539156	74.192183490911574	-74.251513108580042	-0.059329617668467	5.932961766846745e-2	3.668141502058417e-2	0.464670406903405	-0.558100288869801	-4.371049376572482	1.038078	0.9996003224	0.0003996776	0.558100288869801	0.071258845554565	2.1371443037	0.7190783231	0.0008484098	-2.5111959179	-28	0.5577733510	0.0311764071	0.1872312803	0.0276424037	1535	3170582	3172260	true
5040	5039	1.599748852839363	1.788998329928169	129.701494171665814	-129.890743648761003	-0.189249477095188	1.892494770951885e-1	1.057851614108478e-1	1.613382329733735	-0.599748852839363	-5.112955746569446	1.118299	0.9992709741	0.0007290259	0.599748852839363	0.070350440002042	2.1729478060	0.7281591629	0.0004312260	-2.5747208768	-50	0.7042952123	0.0189789399	0.1610326359	0.0166059739	3067	12692022	12694460	true
7560	7559	1.621449902355797	1.889681538549193	179.913739040615241	-180.181970676769907	-0.268231636154667	2.682316361546668e-1	1.419454181473362e-1	2.395476549712604	-0.621449902355797	-5.549936947244014	1.165427	0.9992551102	0.0007448898	0.621449902355797	0.069586372747858	2.1909202274	0.7328318177	0.0002898426	-2.6685356031	-62	0.7130677447	0.0141328677	0.1481625339	0.0122882487	4595	28563666	28567256	true
10000	9999	1.634900969640520	1.959260999993649	225.619154772661432	-225.943514803063124	-0.324360030401692	3.243600304016923e-1	1.655522313784349e-1	2.987466283064129	-0.634900969640520	-5.847654032886910	1.198397	0.9992816943	0.0007183057	0.634900969640520	0.068933496917475	2.2008412676	0.7357223507	0.0002201061	-2.5935794860	-94	0.9400000000	0.0113920749	0.1401329531	0.0098654287	6082	49984514	49985488	true
10080	10079	1.635318752678114	1.961244490751183	227.080644170940616	-227.406569908982732	-0.325925738042116	3.259257380421161e-1	1.661831248368643e-1	3.004484014929188	-0.635318752678114	-5.856564284467424	1.199304	0.9992828715	0.0007171285	0.635318752678114	0.068919232829898	2.2012463452	0.7358111732	0.0002183993	-2.6087274993	-86	0.8565805034	0.0113330193	0.1399157068	0.0098192772	6130	50786826	50789336	true
15120	15119	1.653761865632027	2.062270123207515	315.563525244353343	-315.972033502048021	-0.408508257694677	4.085082576946775e-1	1.980866876252425e-1	3.931391006100589	-0.653761865632027	-6.291656215670130	1.247018	0.9993531508	0.0006468492	0.653761865632027	0.067931966131615	2.2150448787	0.7397517453	0.0001465074	-2.5046376178	-74	0.6018050450	0.0082984363	0.1294160322	0.0071269452	9194	114279774	114289268	true
20000	19999	1.666020655825898	2.132065670527341	396.311675148989877	-396.777720163713582	-0.466045014723704	4.660450147237043e-1	2.185884896352342e-1	4.615471002237721	-0.666020655825898	-6.595927274703732	1.279735	0.9994123676	0.0005876324	0.666020655825898	0.067251122626528	2.2248332982	0.7423489116	0.0001112472	-2.6123804003	-54	0.3818376618	0.0067482397	0.1228540893	0.0057845354	12159	199961514	199978488	true
20160	20159	1.666325722585436	2.134055087261316	398.896393319742401	-399.364122684428196	-0.467729364685795	4.677293646857947e-1	2.191739882807070e-1	4.635878888049118	-0.666325722585436	-6.604257895958680	1.280695	0.9994140643	0.0005859357	0.666325722585436	0.067227836279787	2.2249926024	0.7424141049	0.0001103722	-2.5920205935	-58	0.4084912231	0.0067003069	0.1226732377	0.0057397496	12256	203174222	203190900	true
25200	25199	1.675585597174184	2.189792267447114	478.658823759311019	-479.173030429998050	-0.514206670687031	5.142066706870310e-1	2.348198403707486e-1	5.211278551173388	-0.675585597174184	-6.846789302308218	1.306882	0.9994631556	0.0005368444	0.675585597174184	0.066661303416381	2.2322728766	0.7443728104	0.0000885858	-2.7741525831	-138	0.8693182879	0.0056692714	0.1177969488	0.0048482941	15319	317479262	317485140	true
27720	27719	1.679383607307932	2.213613279225073	517.490175773348028	-518.024405445759157	-0.534229672411129	5.342296724111293e-1	2.413383030472915e-1	5.465121176034025	-0.679383607307932	-6.950032786819079	1.318111	0.9994840926	0.0005159074	0.679383607307932	0.066411497619710	2.2351358026	0.7451757403	0.0000806355	-2.7809819517	-118	0.7087374707	0.0052736281	0.1158005219	0.0045084805	16857	384150842	384164400	true
40000	39999	1.693213844105873	2.305344884284892	699.222052280717776	-699.834183321136493	-0.612131040418717	6.121310404187170e-1	2.655268825898895e-1	6.486529044107213	-0.693213844105873	-7.345733897915336	1.361520	0.9995624686	0.0004375314	0.693213844105873	0.065418301334931	2.2449504871	0.7480936197	0.0000561252	-2.6959725432	-180	0.9000000000	0.0039384720	0.1085651711	0.0033421364	24309	799936382	799943620	true
45360	45359	1.697987275173693	2.336826186501015	775.489176254696076	-776.128015164969838	-0.638838910273762	6.388389102737619e-1	2.733788734327351e-1	6.849877348423208	-0.697987275173693	-7.484088944505675	1.376233	0.9995882754	0.0004117246	0.697987275173693	0.065096264878313	2.2489502516	0.7490918603	0.0000495811	-2.9515506989	-168	0.7888106377	0.0036133753	0.1062458789	0.0030667944	27579	1028688362	1028705160	true
55440	55439	1.704703514846196	2.387089670556758	915.128562233104276	-915.810948390052090	-0.682386156947814	6.823861569478140e-1	2.858653218455158e-1	7.453742638505634	-0.704703514846196	-7.697516402747870	1.400296	0.9996273027	0.0003726973	0.704703514846196	0.064515230348753	2.2526673090	0.7505084997	0.0000406333	-2.3309002548	-128	0.5436236709	0.0029996413	0.1026748801	0.0025203617	33711	1536694242	1536733040	true
