k	lambda_k	c_k_sq	E_k
0	1.952008723549170e-7	2.390906662266676e-15	1.224844250654524e-8
1	1.998844521011733e-7	2.662470858462339e-16	1.332004981115142e-9
2	2.052229426396934e-7	3.498451983842365e-16	1.704708030614560e-9
3	2.126737701502179e-7	3.890349516848350e-16	1.829256853866125e-9
4	2.214457985871832e-7	3.410562909531582e-16	1.540134394642328e-9
5	2.329927202282533e-7	2.259239281871490e-16	9.696608888287180e-10
6	2.454974090682072e-7	3.203719726727927e-15	1.304991257906852e-8
7	2.612952325620199e-7	3.692299307725644e-15	1.413075650681554e-8
8	2.782918731014661e-7	9.396971849678348e-16	3.376660534478555e-9
9	2.984238474112999e-7	1.474386935791910e-14	4.940580146598842e-8
10	3.221789164342681e-7	6.888705276615945e-16	2.138161414426819e-9
11	3.442702940503750e-7	2.053513180622599e-15	5.964828264625470e-9
12	3.700858748345581e-7	2.046445469622852e-16	5.529650302210771e-10
13	3.977809086563866e-7	1.333541455960878e-15	3.352452133676495e-9
14	4.288112283035161e-7	3.781152032323560e-17	8.817754253503897e-11
15	4.591287527944132e-7	2.082379694258359e-15	4.535502691966665e-9
16	4.930284127624418e-7	9.818593391012520e-16	1.991486319418970e-9
17	5.288555016136343e-7	3.040909896264956e-15	5.749982532065161e-9
18	5.679178833872811e-7	1.424851386660464e-16	2.508903889699866e-10
19	6.076246723552003e-7	1.383678840600419e-14	2.277193312834339e-8
20	6.488707544605177e-7	6.986292883172169e-15	1.076684815141760e-8
21	6.940145631517680e-7	3.213835894289166e-16	4.630790281538171e-10
22	7.364259317910182e-7	1.295109896705550e-15	1.758642438833990e-9
23	7.849900018896960e-7	2.446787952807155e-14	3.116967027499757e-8
24	8.364712336117464e-7	1.286461891149917e-14	1.537963099573890e-8
25	8.890036511388644e-7	3.477114227118387e-14	3.911248533865981e-8
26	9.436858672273729e-7	2.035097031370737e-16	2.156540753704430e-10
27	1.000475622348063e-6	3.229241543928670e-16	3.227706374643906e-10
28	1.061615106934255e-6	3.251660211403877e-15	3.062937019419458e-9
29	1.120598035697640e-6	3.867574036788328e-15	3.451348220845783e-9
30	1.181369018610212e-6	4.829822636071571e-15	4.088326814049582e-9
31	1.243964206310011e-6	2.607276453233267e-14	2.095941699936262e-8
32	1.308773553532205e-6	2.113980888629596e-15	1.615238085247248e-9
33	1.380207717005533e-6	3.738642794417078e-14	2.708753724785971e-8
34	1.449184917845514e-6	2.347961782742884e-14	1.620194741078020e-8
35	1.522175001156256e-6	2.729355227586066e-14	1.793062706661735e-8
36	1.590957367625379e-6	3.158905467362660e-17	1.985537470483926e-11
37	1.669494091416368e-6	1.036039978290558e-15	6.205712159254188e-10
38	1.750166989111790e-6	1.017314930359959e-15	5.812673514521302e-10
39	1.828152257132842e-6	2.397471516792874e-14	1.311417857806284e-8
40	1.909719804515930e-6	4.152845624115603e-15	2.174583734375763e-9
41	1.993961518564902e-6	1.524925674567032e-14	7.647718676459487e-9
42	2.082179022977471e-6	3.907089557786383e-13	1.876442666394425e-7
43	2.164905632540126e-6	1.776813748321960e-13	8.207349648941461e-8
44	2.257151948015235e-6	1.627298966632571e-13	7.209523346726800e-8
45	2.346883210435635e-6	9.836013110906322e-13	4.191096117254396e-7
46	2.444012904945225e-6	1.221180765369643e-13	4.996621592703954e-8
47	2.532181031966729e-6	2.947363147939414e-14	1.163962256541435e-8
48	2.629445006618880e-6	1.382109647138558e-13	5.256278962516765e-8
49	2.737286681764317e-6	1.813784596297212e-14	6.626213499596387e-9
