k	lambda_k	c_k_sq	E_k	S_cumulative
0	-1.498338765712107e-7	1.869790439199912e-14	inf	inf
1	-1.320762555187178e-7	1.126324804451626e-14	inf	inf
2	-1.210041909633878e-7	2.077982960648788e-13	inf	inf
3	-1.089807137047855e-7	8.489070186912413e-15	inf	inf
4	-9.352026673290543e-8	1.584197695885254e-13	inf	inf
5	-8.550658818594876e-8	1.569528630975409e-15	inf	inf
6	-7.563373912699591e-8	1.205414501176685e-13	inf	inf
7	-6.295993781251025e-8	1.457273531446395e-14	inf	inf
8	-4.978795187053361e-8	3.067528487572454e-15	inf	inf
9	-3.282454303108419e-8	1.365688025170863e-14	inf	inf
10	-2.580011116273964e-8	9.224672743545807e-15	inf	inf
11	-2.136254241894891e-8	1.629938798579370e-14	inf	inf
12	-1.606292259503640e-8	2.261243064512506e-13	inf	inf
13	-7.219124457163843e-9	1.462154697779443e-13	inf	inf
14	-3.832450492550038e-9	3.797039659421545e-14	inf	inf
15	3.845076245753983e-9	6.535530142211563e-14	1.699714056237136e-5	inf
16	6.907671954996869e-9	1.143194806474765e-16	1.654963950116076e-8	inf
17	1.360566000017337e-8	7.204631731428974e-15	5.295319544466913e-7	inf
18	2.254692749750385e-8	4.077590334187091e-15	1.808490462675465e-7	inf
19	2.633837518524224e-8	9.266449551614130e-14	3.518231282849313e-6	inf
20	3.761965698634277e-8	2.346043782160772e-14	6.236217898032581e-7	inf
21	4.112892334677454e-8	5.430936967265200e-15	1.320466602413776e-7	inf
22	4.462122455046716e-8	1.708095268705831e-15	3.827988330472541e-8	inf
23	5.228401095288512e-8	4.604965784309496e-13	8.807598538029505e-6	inf
24	6.097934872296397e-8	1.234550218068014e-14	2.024538214858139e-7	inf
25	7.096194560417477e-8	7.604275714430611e-14	1.071599101417992e-6	inf
26	7.111538515492463e-8	1.398523418369759e-14	1.966555359748218e-7	inf
27	8.438350869191566e-8	2.130275498295433e-15	2.524516379228876e-8	inf
28	8.927857178424207e-8	4.190068123233306e-14	4.693251739464839e-7	inf
29	9.633951292578368e-8	1.246229547599724e-15	1.293580909589788e-8	inf
30	1.028382879919403e-7	1.421842844280742e-15	1.382600655888180e-8	inf
31	1.124956495470304e-7	2.725300340180189e-14	2.422582874230027e-7	inf
32	1.170394563406550e-7	1.636123961621062e-14	1.397925120960029e-7	inf
33	1.191095512429485e-7	6.178233559881336e-14	5.187017745772173e-7	inf
34	1.275977976810364e-7	1.100970476427555e-13	8.628444192898332e-7	inf
35	1.291078613599164e-7	2.117405437422405e-14	1.640028279548118e-7	inf
36	1.340414747336019e-7	8.904784083852876e-14	6.643305067741545e-7	inf
37	1.421956381077573e-7	3.466164364122680e-14	2.437602454089334e-7	inf
38	1.519101702222733e-7	8.638571397017375e-14	5.686631371933498e-7	inf
39	1.550071710970021e-7	1.008275097698751e-13	6.504699689460057e-7	inf
40	1.596809540568865e-7	8.598151336888863e-15	5.384581641355777e-8	inf
41	1.673010577508164e-7	6.687226045200097e-17	3.997121198815292e-10	inf
42	1.733655591431413e-7	1.116481841305446e-14	6.440044071173386e-8	inf
43	1.776293024142261e-7	1.015196180477905e-14	5.715251744391243e-8	inf
44	1.808492783301640e-7	4.200039250892116e-14	2.322397573090889e-7	inf
45	1.851270178337984e-7	4.180862231732952e-14	2.258374969063892e-7	inf
46	1.948460225175586e-7	3.942976403202737e-14	2.023637101879981e-7	inf
47	2.011108335040456e-7	1.287895993553474e-13	6.403911570122184e-7	inf
48	2.057022001417665e-7	7.190331966811304e-19	3.495505620190668e-12	inf
49	2.122352856202374e-7	2.756466390167368e-14	1.298778561779610e-7	inf
50	2.164084684832229e-7	2.473784725484870e-15	1.143109021020890e-8	inf
51	2.224874444505183e-7	2.944960154239269e-14	1.323652290362944e-7	inf
52	2.254077063503831e-7	2.228247091317049e-14	9.885407767972975e-8	inf
53	2.290365618293977e-7	4.473020139275626e-14	1.952972094738063e-7	inf
54	2.388030186940233e-7	4.149117591188642e-14	1.737464465013685e-7	inf
