k	lambda_k	c_k_sq	E_k	S_cumulative
0	1.200555567109699e-4	3.406368706999371e-10	2.837326984539416e-6	2.837326984539416e-6
1	1.293199314924543e-4	1.435214199282674e-11	1.109816702436483e-7	2.948308654783064e-6
2	1.316363799663717e-4	8.764507011972872e-11	6.658119141693114e-7	3.614120568952376e-6
3	1.401541427468725e-4	2.674660642677718e-11	1.908370734005580e-7	3.804957642352934e-6
4	1.457448842553266e-4	1.278385494899676e-10	8.771391884054791e-7	4.682096830758413e-6
5	1.509700816545988e-4	6.958185808188115e-10	4.608983271339549e-6	9.291080102097962e-6
6	1.542467082941611e-4	3.495722446229663e-10	2.266318993053021e-6	1.155739909515098e-5
7	1.585222089951808e-4	3.174419670696654e-11	2.002507844685131e-7	1.175764987961950e-5
8	1.660098393609878e-4	9.909415347462478e-12	5.969173505381504e-8	1.181734161467331e-5
9	1.733798957989864e-4	4.874782953245867e-10	2.811619496471266e-6	1.462896111114458e-5
10	1.812045890256661e-4	3.177838984813723e-9	1.753729859658029e-5	3.216625970772487e-5
11	1.884965169926978e-4	2.563456477638650e-10	1.359948989263263e-6	3.352620869698813e-5
12	2.048428959230029e-4	4.514197650447812e-10	2.203736492841141e-6	3.572994518982927e-5
13	2.073216247061156e-4	3.184553759820440e-9	1.536045149334826e-5	5.109039668317753e-5
14	2.162882468000391e-4	1.103838719159451e-8	5.103553870774872e-5	1.021259353909263e-4
15	2.226420018314641e-4	2.744682842261237e-11	1.232778550176220e-7	1.022492132459439e-4
16	2.396069129102601e-4	1.297520580989290e-8	5.415205117538701e-5	1.564012644213309e-4
17	2.415634769974461e-4	1.312224567944615e-10	5.432214274505115e-7	1.569444858487814e-4
18	2.545397773020751e-4	5.975735968144780e-9	2.347662919910972e-5	1.804211150478911e-4
19	2.584533424122775e-4	1.178037562355612e-9	4.558027964971873e-6	1.849791430128630e-4
20	2.665564452736563e-4	2.699003404036346e-10	1.012544791879053e-6	1.859916878047421e-4
21	2.890833172032733e-4	6.524528420310397e-10	2.256971617536330e-6	1.882486594222784e-4
22	2.924385041433433e-4	4.274989841865611e-9	1.461842329685204e-5	2.028670827191304e-4
23	3.086361229414482e-4	1.236149210256714e-8	4.005199386499635e-5	2.429190765841268e-4
24	3.186478202220227e-4	9.966831998686847e-12	3.127851931245695e-8	2.429503551034393e-4
25	3.287820311097061e-4	1.042559866312390e-9	3.170975806656888e-6	2.461213309100962e-4
26	3.363982566103517e-4	1.721660414643591e-10	5.117923118840004e-7	2.466331232219802e-4
27	3.590992661309178e-4	2.726081959891011e-11	7.591443973870878e-8	2.467090376617189e-4
28	3.679210271223583e-4	3.894847594428118e-11	1.058609676345794e-7	2.468148986293534e-4
29	3.763654093091362e-4	1.379070357468488e-9	3.664179341029073e-6	2.504790779703825e-4
30	4.081131853811983e-4	2.939594107235229e-9	7.202889327110320e-6	2.576819672974928e-4
31	4.132421609752490e-4	3.102398687033829e-9	7.507459257574753e-6	2.651894265550676e-4
32	4.261478103734264e-4	1.258077908895491e-8	2.952210191560195e-5	2.947115284706695e-4
33	4.566227652153653e-4	8.652520353233528e-10	1.894894650982323e-6	2.966064231216519e-4
34	4.875977508341053e-4	8.781454328999411e-9	1.800962845701705e-5	3.146160515786689e-4
35	5.269212696441008e-4	2.583352269739219e-9	4.902729152467306e-6	3.195187807311362e-4
36	5.332486997086489e-4	6.002645696083785e-9	1.125674699134466e-5	3.307755277224808e-4
37	5.549815163848453e-4	4.311033709511316e-8	7.767887005667196e-5	4.084543977791528e-4
38	5.666907102458295e-4	1.591818903463943e-8	2.808972998292869e-5	4.365441277620815e-4
39	6.342715450366456e-4	7.291180438503908e-9	1.149536108873157e-5	4.480394888508130e-4
40	6.468641514565229e-4	4.470943168278097e-8	6.911718879784914e-5	5.171566776486622e-4
41	6.685497757065664e-4	1.435754145497700e-8	2.147565069452462e-5	5.386323283431868e-4
42	7.169532583978734e-4	8.698573251055596e-9	1.213269226294292e-5	5.507650206061297e-4
43	7.238964237709289e-4	1.345573016059274e-7	1.858792186111240e-4	7.366442392172537e-4
44	7.815012303593280e-4	5.692379246008481e-10	7.283903114766910e-7	7.373726295287304e-4
45	8.085562739400196e-4	2.783868789279604e-9	3.443011796462935e-6	7.408156413251933e-4
46	8.396363483447933e-4	2.615709607271982e-9	3.115288675184714e-6	7.439309300003780e-4
47	8.620284134492251e-4	1.118792974783515e-8	1.297860902643453e-5	7.569095390268125e-4
48	9.465198578043814e-4	2.174419454784766e-7	2.297278220690175e-4	9.866373610958299e-4
49	1.000461665604604e-3	2.035893938520350e-7	2.034954470034600e-4	1.190132808099290e-3
50	1.045750702405809e-3	1.449924294408404e-8	1.386491341648417e-5	1.203997721515774e-3
51	1.094243373862950e-3	1.089295189718437e-7	9.954779857363495e-5	1.303545520089409e-3
52	1.189313275625768e-3	1.109341843509067e-7	9.327583120817156e-5	1.396821351297581e-3
53	1.221797789285745e-3	5.780888053335031e-9	4.731460560846568e-6	1.401552811858427e-3
54	1.385179723317059e-3	3.105737580631312e-8	2.242118858911732e-5	1.423974000447545e-3
55	1.458170417925196e-3	4.099010618143652e-7	2.811064171755766e-4	1.705080417623121e-3
56	1.520242122712403e-3	7.750115909610246e-8	5.097948408232864e-5	1.756059901705450e-3
57	1.594706021144937e-3	7.055140505569805e-8	4.424101001703429e-5	1.800300911722484e-3
58	1.693489837166888e-3	8.060739420101933e-9	4.759839263982292e-6	1.805060750986466e-3
59	1.724126712526037e-3	4.757787691119666e-7	2.759534816410900e-4	2.081014232627556e-3
60	1.903245002797581e-3	1.743981925339495e-7	9.163202439917168e-5	2.172646257026728e-3
61	1.970757763562728e-3	1.000042412332176e-6	5.074405545023978e-4	2.680086811529126e-3
62	2.095210317045408e-3	5.436296305897218e-9	2.594630363200623e-6	2.682681441892327e-3
63	2.249766201664866e-3	1.051083311818106e-8	4.671966851667905e-6	2.687353408743995e-3
64	2.300748999555901e-3	9.034670063509842e-7	3.926838636137078e-4	3.080037272357703e-3
65	2.463197632539942e-3	8.746055610214111e-7	3.550691789678103e-4	3.435106451325513e-3
66	2.706766985027063e-3	1.663079989721061e-9	6.144156474941019e-7	3.435720866973007e-3
67	2.817685403123896e-3	7.634853392060566e-7	2.709618818195955e-4	3.706682748792603e-3
68	3.021790445075650e-3	1.364662034920680e-7	4.516071050342195e-5	3.751843459296025e-3
69	3.193067754075279e-3	9.364810349761845e-7	2.932856760652709e-4	4.045129135361296e-3
70	3.397403412798626e-3	3.352895184055553e-7	9.868993394851483e-5	4.143819069309810e-3
71	4.145596863722058e-3	9.201430695984985e-10	2.219567169327610e-7	4.144041026026743e-3
72	4.445952161886972e-3	4.176318462077857e-7	9.393529912173693e-5	4.237976325148480e-3
73	4.834850522052249e-3	4.594626843333516e-6	9.503141456756422e-4	5.188290470824123e-3
74	5.829012991835885e-3	1.268591896522936e-7	2.176340828712728e-5	5.210053879111250e-3
75	5.970589542679860e-3	4.148422803613392e-6	6.948095785113039e-4	5.904863457622554e-3
76	6.787414952800144e-3	2.277011623774446e-7	3.354755292860158e-5	5.938411010551156e-3
77	8.028105003680086e-3	2.158255623406029e-6	2.688374930841940e-4	6.207248503635350e-3
78	8.931252017348120e-3	6.848109945729164e-6	7.667581132440728e-4	6.974006616879423e-3
79	9.864045014972763e-3	3.287049525508118e-6	3.332354546759126e-4	7.307242071555336e-3
80	1.105817095321749e-2	3.660970902871697e-7	3.310647772004736e-5	7.340348549275383e-3
81	1.276277886754284e-2	2.175373639889267e-5	1.704467077637366e-3	9.044815626912749e-3
82	1.544880616017406e-2	2.972280190116347e-6	1.923954614550525e-4	9.237211088367801e-3
83	1.644430556847491e-2	2.625835108959614e-7	1.596805105588378e-5	9.253179139423685e-3
84	2.009469084079753e-2	2.537637474325128e-5	1.262839769185726e-3	1.051601890860941e-2
85	2.259167441244369e-2	3.207052223119618e-5	1.419572610940757e-3	1.193559151955017e-2
86	2.329689610753260e-2	1.976089241686298e-6	8.482199656834832e-5	1.202041351611851e-2
87	2.395569015255013e-2	2.081308183361036e-5	8.688157886945605e-4	1.288922930481308e-2
88	2.536033267093226e-2	2.858294133422691e-6	1.127072807171350e-4	1.300193658553021e-2
89	2.658118286516118e-2	9.037045571067267e-6	3.399790602588922e-4	1.334191564578910e-2
90	2.734441940445155e-2	5.156633611765915e-6	1.885808411396161e-4	1.353049648692872e-2
91	3.053862284814755e-2	1.013092389934329e-6	3.317413476606011e-5	1.356367062169478e-2
92	3.631204060995875e-2	3.086980734753870e-5	8.501259314815955e-4	1.441379655317638e-2
93	3.802210414503916e-2	3.563260670408255e-6	9.371550445540409e-5	1.450751205763178e-2
94	5.440081518183967e-2	5.033827398099577e-5	9.253220528540890e-4	1.543283411048587e-2
95	7.075709804696256e-2	3.391981236210688e-5	4.793838823010207e-4	1.591221799278689e-2
96	1.382203975225743e-1	2.796362853468477e-3	2.023118804163308e-2	3.614340603441997e-2
97	5.510657232315433e-1	1.147693948144104e-1	2.082680703517235e-1	2.444114763861434e-1
98	3.378812384532793e0	2.407382543105468e0	7.124937016703726e-1	9.569051780565161e-1
