k	lambda_k	c_k_sq	E_k
0	-1.309492928314171e-6	3.297128267785357e-14	2.517866417216968e-8
1	-1.290234090234321e-6	2.974656356488389e-16	2.305516788777576e-10
2	-1.281001559050310e-6	3.037332341605704e-15	2.371060612804778e-9
3	-1.262906559773569e-6	6.735516001186311e-15	5.333344695267041e-9
4	-1.247784906510674e-6	2.127639940419913e-13	1.705133576563032e-7
5	-1.227631152289632e-6	1.586185390240603e-15	1.292070005947827e-9
6	-1.215980995894483e-6	2.366481306504349e-13	1.946149910643587e-7
7	-1.193312996861096e-6	4.440925154215840e-14	3.721509080934593e-8
8	-1.175979203793531e-6	1.139068621969976e-14	9.686128957854974e-9
9	-1.149058283189675e-6	4.620220166452344e-14	4.020875384690723e-8
10	-1.107859679549961e-6	2.443950897054918e-13	2.206011232440294e-7
11	-1.086868957500542e-6	1.517828307769873e-13	1.396514545102477e-7
12	-1.038977812228836e-6	2.582598834377871e-13	2.485711248094536e-7
13	-1.016844107581960e-6	7.602728887241950e-14	7.476789048147335e-8
14	-9.805992977618416e-7	1.629522213763977e-14	1.661761554881043e-8
15	-9.471923956283490e-7	1.024477009805701e-13	1.081593364277468e-7
16	-9.060408476813109e-7	8.548252917138227e-15	9.434732373285860e-9
17	-8.658737034039632e-7	6.933374505446673e-14	8.007373913989842e-8
18	-8.170082850256222e-7	1.749690659013035e-14	2.141582516459013e-8
19	-7.844162404069266e-7	1.139835017731741e-14	1.453099718002314e-8
20	-7.251602767155418e-7	5.818676334375627e-14	8.023986587806595e-8
21	-6.630870590385030e-7	1.412432631072627e-13	2.130086256125550e-7
22	-6.050104204291529e-7	4.322149085638803e-14	7.143925029544065e-8
23	-5.528008486521685e-7	5.592018650346298e-14	1.011579244854758e-7
24	-4.873546188832734e-7	4.705968118196236e-14	9.656147568642138e-8
25	-4.176968229074873e-7	5.461856947194999e-14	1.307612758262398e-7
26	-3.704531970072367e-7	6.908027402450561e-16	1.864750380954498e-9
27	-2.827489655743420e-7	1.635295081169841e-15	5.783558139100881e-9
28	-2.063790525141940e-7	6.688987076057912e-15	3.241117252245292e-8
29	-1.355885022036318e-7	3.032800390861271e-14	2.236768119398869e-7
30	-3.970605177983089e-8	2.523131803649265e-15	6.354527057084323e-8
31	4.551473153924235e-8	7.247028873458864e-15	1.592238079490933e-7
32	1.270555891608183e-7	5.764508468957672e-14	4.536997157725467e-7
33	2.166779466961088e-7	4.915496271017174e-15	2.268572480941572e-8
34	2.950415911584514e-7	5.851096073803380e-15	1.983142800589447e-8
35	3.777111761138485e-7	1.195780162510337e-15	3.165858566361058e-9
36	4.663982249297760e-7	1.507449940126323e-14	3.232109085220671e-8
37	5.563124272356390e-7	1.049657851037197e-14	1.886813595470141e-8
38	6.475088554225295e-7	4.618942357266653e-15	7.133404151287754e-9
39	7.428744499549111e-7	1.934481300824611e-16	2.604048774247149e-10
40	8.419917900681639e-7	6.108762043246439e-15	7.255132550344584e-9
41	9.447431654763250e-7	2.182616729643504e-15	2.310275225482115e-9
42	1.046231153267740e-6	8.225741411116188e-15	7.862260061196193e-9
43	1.150007111760942e-6	4.378407471897028e-14	3.807287300330356e-8
44	1.258075704058115e-6	7.549148928799238e-14	6.000552196062852e-8
45	1.366068978825297e-6	7.342541645878348e-16	5.374942085422590e-10
46	1.479722689268215e-6	5.697049763779215e-15	3.850079346013574e-9
47	1.591613283835613e-6	4.638506845851946e-15	2.914342882759595e-9
48	1.709076931533104e-6	4.123984627401324e-14	2.412989463091026e-8
49	1.830176508121895e-6	3.788510850884816e-17	2.070024849555380e-11
