k	lambda_k	c_k_sq	E_k
0	2.373476581496448e-6	2.749174505284521e-14	1.158290133012899e-8
1	2.379048794409755e-6	1.573908626934241e-14	6.615705531692256e-9
2	2.435392403299375e-6	1.816991177264575e-14	7.460773774291924e-9
3	2.449115859448625e-6	8.688917968101901e-13	3.547777429385500e-7
4	2.487245989613029e-6	3.047147504230236e-14	1.225109022973766e-8
5	2.532260916510154e-6	4.016165086634720e-13	1.585999712924375e-7
6	2.591115155325951e-6	2.017332520052243e-15	7.785576476235272e-10
7	2.644926400563463e-6	7.296866653186642e-15	2.758816521938815e-9
8	2.670734829735011e-6	4.259379255845631e-13	1.594834203839040e-7
9	2.749595882534095e-6	1.156655640032157e-13	4.206638682358496e-8
10	2.829103673107625e-6	2.121621938963088e-15	7.499272505035475e-10
11	2.922958156403865e-6	2.605792008432316e-17	8.914913827019129e-12
12	3.015216307744595e-6	2.907386543459459e-14	9.642381330957334e-9
13	3.117084860448927e-6	6.995252481931001e-14	2.244164915331672e-8
14	3.222464288299420e-6	3.235136488072679e-14	1.003932456232105e-8
15	3.328029562155166e-6	2.964214262810575e-13	8.906814700561158e-8
16	3.457234070580739e-6	1.694498200470959e-13	4.901311759276746e-8
17	3.600674560289008e-6	4.552103756059226e-15	1.264236375667856e-9
18	3.717773125799795e-6	5.041966362341448e-14	1.356179140505456e-8
19	3.858209755236430e-6	1.729788602551462e-14	4.483396995727779e-9
20	3.984929893618983e-6	1.241725307829995e-14	3.116053082435287e-9
21	4.149531408259577e-6	5.371808716538117e-15	1.294557912212839e-9
22	4.320042492622633e-6	5.249154054021714e-16	1.215070005210766e-10
23	4.511366601178679e-6	3.380108661567115e-17	7.492427373745238e-12
24	4.661510207171204e-6	4.912798187685429e-13	1.053906989225862e-7
25	4.869629940174036e-6	2.097109535232968e-15	4.306506985124251e-10
26	5.076933026870734e-6	3.191720841334309e-14	6.286710548359525e-9
27	5.258989126843971e-6	7.855134978545981e-13	1.493658722063191e-7
28	5.421518572745754e-6	1.436545494723306e-14	2.649710547788017e-9
29	5.657124548363868e-6	3.184055282719432e-13	5.628398766013226e-8
