k	lambda_k	c_k_sq	E_k	S_cumulative
0	4.243609409557411e-6	1.161294401150764e-13	2.736572311615931e-8	2.736572311615931e-8
1	4.281811950502245e-6	1.191807535668036e-16	2.783418677525622e-11	2.739355730293457e-8
2	4.296739308559230e-6	3.614181253811244e-14	8.411451089461466e-9	3.580500839239603e-8
3	4.338032348289400e-6	6.587612603814415e-14	1.518571572296386e-8	5.099072411535989e-8
4	4.348340767249730e-6	1.222986417902491e-13	2.812535823120444e-8	7.911608234656434e-8
5	4.362652165494509e-6	1.233332341743160e-12	2.827024238828725e-7	3.618185062294368e-7
6	4.423610266134037e-6	2.039101284209821e-13	4.609586201163851e-8	4.079143682410753e-7
7	4.458536772898603e-6	2.255288278044722e-13	5.058359710642253e-8	4.584979653474979e-7
8	4.466611932444385e-6	5.340961926202774e-14	1.195752397338869e-8	4.704554893208866e-7
9	4.518639317024107e-6	1.854579546811438e-14	4.104287633279900e-9	4.745597769541665e-7
10	4.564839220206789e-6	1.049725545584924e-12	2.299589306318156e-7	7.045187075859820e-7
11	4.574922850615926e-6	1.901838507016649e-13	4.157094161184823e-8	7.460896491978302e-7
12	4.605485454081593e-6	4.171356027850483e-13	9.057364461228806e-8	8.366632938101183e-7
13	4.621762529428681e-6	6.784808281519368e-13	1.468013174263644e-7	9.834646112364827e-7
14	4.647467587509103e-6	5.784122713034336e-13	1.244575159293245e-7	1.107922127165807e-6
15	4.662826114947268e-6	9.587974698989117e-13	2.056258256822761e-7	1.313547952848083e-6
16	4.669634414168371e-6	1.450864136171670e-13	3.107018681739904e-8	1.344618139665483e-6
17	4.684584782121376e-6	3.052331067240460e-13	6.515691804510873e-8	1.409775057710591e-6
18	4.711039643342666e-6	6.304255892963328e-14	1.338187824819537e-8	1.423156935958787e-6
19	4.733384137084451e-6	4.692556702641511e-14	9.913745782593324e-9	1.433070681741380e-6
20	4.752317197794009e-6	8.771251123761686e-16	1.845678804401616e-10	1.433255249621820e-6
21	4.783598606849486e-6	2.610986790058725e-13	5.458206268226883e-8	1.487837312304089e-6
22	4.823064548104362e-6	5.688754160343035e-15	1.179489534839197e-9	1.489016801838928e-6
23	4.828492292929427e-6	2.061244290955278e-13	4.268919086758506e-8	1.531705992706513e-6
24	4.851215943105211e-6	7.681128133713462e-14	1.583340800285393e-8	1.547539400709367e-6
25	4.864320144697916e-6	1.088196848060978e-13	2.237099565182006e-8	1.569910396361187e-6
26	4.869051285657254e-6	1.359409437961317e-12	2.791939041524833e-7	1.849104300513671e-6
27	4.876187844888099e-6	1.154860936205731e-12	2.368368432353191e-7	2.085941143748990e-6
28	4.883166784521790e-6	1.542534965573162e-14	3.158882408978016e-9	2.089100026157968e-6
29	4.898395726460589e-6	9.699985484947872e-14	1.980237209613268e-8	2.108902398254100e-6
30	4.925894934191956e-6	8.412971369426979e-14	1.707907188809549e-8	2.125981470142196e-6
31	4.929804664047732e-6	1.977992095971193e-13	4.012313328348220e-8	2.166104603425678e-6
32	4.936915360825975e-6	1.712472500618179e-12	3.468709458149739e-7	2.512975549240652e-6
33	4.942639520046544e-6	2.531102682399659e-14	5.120953434159859e-9	2.518096502674812e-6
34	4.958000009758399e-6	1.608044506621448e-13	3.243333004147791e-8	2.550529832716290e-6
35	4.997404257894149e-6	6.369539160075307e-14	1.274569522770479e-8	2.563275527943994e-6
36	5.002480552611812e-6	2.332497404162326e-13	4.662681602919018e-8	2.609902343973184e-6
37	5.022753120441107e-6	9.392121255699064e-14	1.869914971029719e-8	2.628601493683482e-6
38	5.039997293904914e-6	9.054402874942081e-13	1.796509471521336e-7	2.808252440835615e-6
39	5.057944837728515e-6	4.977088716355307e-13	9.840140365371164e-8	2.906653844489327e-6
40	5.078758315195716e-6	6.541535238095127e-15	1.288018612447606e-9	2.907941863101774e-6
41	5.097728865875112e-6	3.135070968862905e-13	6.149936670523013e-8	2.969441229807005e-6
42	5.112703895994493e-6	2.293618652222720e-13	4.486116737602655e-8	3.014302397183031e-6
43	5.134013879742856e-6	1.546944347453921e-12	3.013128487162177e-7	3.315615245899249e-6
44	5.139463317944420e-6	3.722643226896216e-13	7.243252839063213e-8	3.388047774289881e-6
45	5.166484602813533e-6	4.812281985457966e-14	9.314422388556665e-9	3.397362196678437e-6
46	5.181786839043369e-6	1.277124108940523e-13	2.464640381031765e-8	3.422008600488755e-6
47	5.201749180083834e-6	4.216184769699548e-13	8.105321159740343e-8	3.503061812086158e-6
48	5.229215769180188e-6	6.541159201673382e-13	1.250887224854153e-7	3.628150534571574e-6
49	5.238545168706530e-6	9.224145469313925e-13	1.760821978669985e-7	3.804232732438572e-6
50	5.248672694323644e-6	1.475992435056448e-12	2.812125123848379e-7	4.085445244823410e-6
51	5.269283929927493e-6	3.024667406790933e-13	5.740186801496866e-8	4.142847112838379e-6
52	5.275074925105396e-6	1.568471203885168e-13	2.973362892762760e-8	4.172580741766007e-6
53	5.284062239823110e-6	2.779953983852324e-14	5.261016728571665e-9	4.177841758494578e-6
54	5.294421137359652e-6	8.175090709048321e-15	1.544095283875599e-9	4.179385853778454e-6
55	5.314717736789741e-6	2.999895091378167e-13	5.644505014089797e-8	4.235830903919352e-6
56	5.339199863278513e-6	5.616677280146227e-14	1.051969850159782e-8	4.246350602420950e-6
57	5.349244627071820e-6	2.935105180197656e-15	5.486952616344141e-10	4.246899297682584e-6
58	5.378627062393126e-6	3.816708406501690e-13	7.096064408681112e-8	4.317859941769396e-6
59	5.383260788785995e-6	3.611594650283423e-14	6.708934959656470e-9	4.324568876729053e-6
60	5.400390908018918e-6	1.408224322817211e-13	2.607634052427891e-8	4.350645217253332e-6
61	5.419789707691051e-6	5.002296826928780e-13	9.229688044593649e-8	4.442942097699268e-6
