k	lambda_k	c_k_sq	E_k
0	1.564419616073565e-7	8.395539633333869e-16	5.366552264542226e-9
1	1.618570308892231e-7	9.054763603914816e-16	5.594297358705416e-9
2	1.673759975062694e-7	2.249864346631354e-16	1.344197722583897e-9
3	1.761624996987621e-7	1.023349606250023e-15	5.809122872347695e-9
4	1.858645788388458e-7	3.207135454568094e-15	1.725522676027930e-8
5	1.993438392133839e-7	1.178520573418035e-18	5.911998976584923e-12
6	2.136440020450436e-7	1.656917879274516e-15	7.755508525463684e-9
7	2.319325176358689e-7	1.768431798264488e-15	7.624768688282440e-9
8	2.516787205308901e-7	3.955522790417469e-15	1.571655633846876e-8
9	2.723880907495868e-7	3.800744646643239e-17	1.395341711226780e-10
10	2.987506704243970e-7	8.042461531855978e-16	2.692031291655707e-9
11	3.242198598485402e-7	2.213888517775367e-15	6.828355668309736e-9
12	3.537516626295201e-7	8.814075050214237e-17	2.491599611065324e-10
13	3.844456237800387e-7	1.646234670856861e-15	4.282100169772664e-9
14	4.190036779760931e-7	2.426861179904505e-15	5.791980613695171e-9
15	4.547885659178519e-7	2.771423941103603e-15	6.093873392595809e-9
16	4.915954328055250e-7	1.143012510670098e-15	2.325108075449255e-9
17	5.311706061661425e-7	5.210802895227942e-16	9.810036238334464e-10
18	5.741965232175517e-7	5.196672545140925e-15	9.050337880872206e-9
19	6.181954450568128e-7	2.087423822513458e-14	3.376640574117498e-8
20	6.643325320965232e-7	3.416564766068055e-15	5.142853316675527e-9
21	7.161399562249926e-7	1.352095512874260e-14	1.888032501358529e-8
22	7.639900463374261e-7	8.075430589258552e-17	1.057007303690961e-10
23	8.166215597071869e-7	9.028644771303353e-15	1.105609405480394e-8
24	8.735811647397895e-7	2.642694636062256e-14	3.025127764572885e-8
25	9.328065235791883e-7	3.175304044608402e-14	3.404032845337238e-8
26	9.932578564075811e-7	7.924623364336681e-15	7.978414983797349e-9
27	1.055503691560489e-6	6.595901818511178e-14	6.249056134289399e-8
28	1.119666530158270e-6	4.846301759224824e-14	4.328343867293933e-8
29	1.185497584543782e-6	2.817061444515575e-14	2.376269240227656e-8
30	1.253199824802209e-6	3.536478840635824e-15	2.821959252343481e-9
31	1.327061529110551e-6	1.832506422833813e-15	1.380875251550718e-9
32	1.399249486055965e-6	4.458044062826408e-15	3.186025156523161e-9
33	1.476581676485011e-6	9.183276131808495e-15	6.219280841727087e-9
34	1.553585351032893e-6	3.375672286640091e-14	2.172827057358511e-8
35	1.633878186524385e-6	1.205267714501141e-14	7.376729332956018e-9
36	1.712855899782539e-6	6.533501549169938e-16	3.814390661817738e-10
37	1.798814869502507e-6	6.404429918323123e-14	3.560360783594354e-8
38	1.885448483562868e-6	3.728309273426676e-14	1.977412433131780e-8
39	1.973493144902250e-6	4.175695800123827e-14	2.115890704211519e-8
40	2.068701904889281e-6	1.063626311690385e-13	5.141515600563590e-8
41	2.156058741320521e-6	2.515598887141510e-14	1.166758047417939e-8
42	2.248447334096682e-6	1.178156520183594e-14	5.239867095472443e-9
43	2.348060561985221e-6	8.187414913078454e-14	3.486884046191814e-8
44	2.448112160990945e-6	1.664938340030106e-13	6.800907109403735e-8
45	2.549730227840996e-6	1.492878831427095e-14	5.855046212834844e-9
46	2.656084793883906e-6	8.451526522909013e-14	3.181949063663221e-8
47	2.764011503231245e-6	3.891140187540169e-14	1.407787262459387e-8
48	2.873506803169334e-6	1.967560292276461e-13	6.847244245624684e-8
49	2.984534031469366e-6	1.136218197262284e-13	3.807020410160623e-8
