k	lambda_k	c_k_sq	E_k	S_cumulative
452	2.953648285129418e-3	1.228704032825637e-7	4.159953773141273e-5	4.836067400903397e-3
453	3.264395359217820e-3	6.189738564263610e-7	1.896136307995098e-4	5.025681031702907e-3
454	3.306990246219217e-3	3.031529162211472e-8	9.167033878244206e-6	5.034848065581151e-3
455	3.639875683612789e-3	1.590043012453751e-7	4.368399227513014e-5	5.078532057856281e-3
456	3.700227418345654e-3	4.176524848736366e-9	1.128721123471827e-6	5.079660778979753e-3
457	3.852017694992521e-3	6.895664795956954e-7	1.790143592777640e-4	5.258675138257517e-3
458	4.056978123124063e-3	2.443187026506529e-7	6.022184375559709e-5	5.318896982013113e-3
459	4.419321525611989e-3	2.139272257569852e-6	4.840725539365694e-4	5.802969535949683e-3
460	4.488636110177659e-3	1.559995962612605e-6	3.475434239535316e-4	6.150512959903215e-3
461	4.727200152115129e-3	9.239123870726616e-8	1.954460055302012e-5	6.170057560456235e-3
462	5.279704973345829e-3	6.720431102959587e-9	1.272880044791735e-6	6.171330440501026e-3
463	5.594349330914880e-3	1.498683528660532e-6	2.678923749681972e-4	6.439222815469223e-3
464	5.962455928618887e-3	2.067910417136072e-8	3.468219206804389e-6	6.442691034676027e-3
465	6.220921458495802e-3	1.184349180124681e-6	1.903816320502225e-4	6.633072666726250e-3
466	6.436460338904544e-3	3.269965076887580e-6	5.080377885842940e-4	7.141110455310544e-3
467	7.137999058342126e-3	5.286296055552750e-7	7.405851433077307e-5	7.215168969641317e-3
468	7.929473619465020e-3	3.233019087094907e-6	4.077217785501668e-4	7.622890748191484e-3
469	8.735229224680079e-3	3.723503556270720e-6	4.262628330062043e-4	8.049153581197689e-3
470	9.337776094038191e-3	7.200543202757987e-11	7.711197109722149e-9	8.049161292394798e-3
471	9.867269475738263e-3	7.200149592870297e-7	7.297003097537869e-5	8.122131323370177e-3
472	1.079585109171852e-2	5.156608213877540e-6	4.776472155894374e-4	8.599778538959615e-3
473	1.155813697699733e-2	1.355499224468070e-5	1.172766188154497e-3	9.772544727114111e-3
474	1.370281086313263e-2	4.866003320192582e-7	3.551098653258471e-5	9.808055713646697e-3
475	1.452531067405693e-2	1.272365059844064e-6	8.759640935712195e-5	9.895652123003819e-3
476	1.549882184561117e-2	1.112124450941862e-5	7.175541870344068e-4	1.061320631003823e-2
477	1.702144670579976e-2	2.126335079354967e-7	1.249209374565357e-5	1.062569840378388e-2
478	1.867364675000683e-2	3.512706714780783e-6	1.881103761791734e-4	1.081380877996305e-2
479	2.131860720850125e-2	3.512916779987285e-5	1.647817207583071e-3	1.246162598754612e-2
480	2.232758574162303e-2	1.861246664829972e-6	8.336085622370900e-5	1.254498684376983e-2
481	2.238405173333732e-2	4.254013182368555e-6	1.900466114467074e-4	1.273503345521654e-2
482	2.332030735959973e-2	2.141101057041583e-5	9.181272888156022e-4	1.365316074403214e-2
483	2.400437474874136e-2	7.196968805508159e-6	2.998190488542312e-4	1.395297979288637e-2
484	2.416788357615056e-2	6.051493945445778e-7	2.503940374579401e-5	1.397801919663217e-2
485	2.549134429519685e-2	8.795473769852159e-6	3.450376593716725e-4	1.432305685600384e-2
486	2.577164931176697e-2	1.517795215368485e-7	5.889398839039304e-6	1.432894625484288e-2
