N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
2	2.1054638916e0	1.459396	-0.42226535	0.26093320	0.500000	-0.346574	-0.240227	0	0.000000
3	1.5456027422e0	1.698018	-0.21682879	0.11194516	0.166667	-0.712778	-0.642543	-1	0.000000
4	1.1325441176e0	1.570040	-0.03934121	0.05386171	0.166667	-0.712778	-0.642543	-1	0.138346
5	9.4176347257e-1	1.515710	0.05463323	0.05102994	-0.033333	-1.034665	-1.160601	-2	0.211596
6	7.5491658511e-1	1.352629	0.15517546	0.06526750	0.133333	-0.736039	-0.625534	-1	0.298604
7	6.8486739906e-1	1.332690	0.19644706	0.07776153	-0.009524	-1.014026	-1.166472	-2	0.333042
8	5.9930109680e-1	1.246212	0.24897760	0.09725629	-0.009524	-1.014026	-1.166472	-2	0.377094
9	5.3667578155e-1	1.179197	0.29001308	0.11670194	-0.009524	-1.014026	-1.166472	-2	0.411506
10	4.8878539418e-1	1.125470	0.32316324	0.13511188	0.090476	-0.783767	-0.636282	-1	0.439306
11	4.6599584017e-1	1.117409	0.33986505	0.14572595	-0.000433	-1.001758	-1.159000	-2	0.454400
12	4.3446818815e-1	1.079613	0.36304475	0.16055769	-0.000433	-1.001758	-1.159000	-2	0.473535
13	4.0831087487e-1	1.047297	0.38297923	0.17426934	-0.077356	-1.199062	-1.665075	-3	0.489991
14	3.7775728280e-1	0.996923	0.40682767	0.19141262	-0.005927	-1.010558	-1.167602	-2	0.508657
15	3.5882312135e-1	0.971711	0.42223501	0.20329314	0.060739	-0.830021	-0.678699	-1	0.521477
16	3.4834222160e-1	0.965810	0.43110207	0.21054636	0.060739	-0.830021	-0.678699	-1	0.529788
17	3.3912062683e-1	0.960801	0.43906343	0.21724749	0.001916	-0.996680	-1.150881	-2	0.537250
18	3.2628660623e-1	0.943090	0.45003765	0.22636191	0.001916	-0.996680	-1.150881	-2	0.546325
19	3.1485033453e-1	0.927058	0.46002625	0.23490283	-0.050716	-1.151651	-1.607183	-3	0.554586
20	3.0109964188e-1	0.902014	0.47214678	0.24539321	-0.050716	-1.151651	-1.607183	-3	0.563949
21	2.8875994959e-1	0.879136	0.48329683	0.25535362	-0.003097	-1.006674	-1.165796	-2	0.572562
22	2.8031839262e-1	0.866476	0.49114050	0.26259939	0.042358	-0.866172	-0.731499	-1	0.579088
23	2.7511110882e-1	0.862609	0.49614628	0.26740367	-0.001121	-1.002498	-1.158947	-2	0.583855
24	2.6800314591e-1	0.851728	0.50290634	0.27381583	-0.001121	-1.002498	-1.158947	-2	0.589458
25	2.6146049661e-1	0.841609	0.50922244	0.27990538	-0.001121	-1.002498	-1.158947	-2	0.594693
26	2.5541529797e-1	0.832168	0.51514170	0.28569871	0.037341	-0.877186	-0.750671	-1	0.599599
27	2.5153622074e-1	0.829022	0.51906474	0.28966571	0.037341	-0.877186	-0.750671	-1	0.603328
28	2.4792240140e-1	0.826128	0.52276102	0.29344444	0.037341	-0.877186	-0.750671	-1	0.606843
29	2.4454596591e-1	0.823459	0.52625188	0.29704973	0.002858	-0.993300	-1.141660	-2	0.610161
30	2.3995280771e-1	0.816127	0.53088072	0.30171426	-0.030475	-1.106673	-1.527265	-3	0.613990
31	2.3436523926e-1	0.804807	0.53648072	0.30732667	-0.062733	-1.217447	-1.907660	-4	0.618258
32	2.2793665970e-1	0.789968	0.54294858	0.31383382	-0.062733	-1.217447	-1.907660	-4	0.622904
33	2.2191918968e-1	0.775942	0.54910531	0.32012980	-0.032430	-1.111492	-1.537189	-3	0.627327
34	2.1725632667e-1	0.766124	0.55396959	0.32519551	-0.003018	-1.007776	-1.171447	-2	0.631031
35	2.1378138213e-1	0.760067	0.55766143	0.32910424	0.025553	-0.906194	-0.810290	-1	0.634089
36	2.1133437299e-1	0.757321	0.56031578	0.33196593	0.025553	-0.906194	-0.810290	-1	0.636564
37	2.0900987486e-1	0.754718	0.56285766	0.33472520	-0.001474	-1.003787	-1.162688	-2	0.638934
38	2.0603219925e-1	0.749460	0.56608504	0.33820227	0.024842	-0.908061	-0.814476	-1	0.641602
39	2.0392606467e-1	0.747096	0.56842152	0.34076911	0.050483	-0.814123	-0.470331	0	0.643791
40	2.0259181381e-1	0.747337	0.56995705	0.34250592	0.050483	-0.814123	-0.470331	0	0.645543
41	2.0132098876e-1	0.747620	0.57143450	0.34418999	0.026093	-0.904698	-0.806687	-1	0.647228
42	1.9946272966e-1	0.745526	0.57351753	0.34649780	0.002283	-0.993690	-1.139310	-2	0.649166
43	1.9707389220e-1	0.741234	0.57614653	0.34936695	-0.020973	-1.081160	-1.468302	-3	0.651333
44	1.9421660525e-1	0.734952	0.57926860	0.35275380	-0.020973	-1.081160	-1.468302	-3	0.653706
45	1.9148074560e-1	0.728903	0.58228405	0.35604885	-0.020973	-1.081160	-1.468302	-3	0.655998
46	1.8885836807e-1	0.723071	0.58519899	0.35925634	0.000766	-0.997929	-1.149639	-2	0.658213
47	1.8682689324e-1	0.719311	0.58750035	0.36182760	-0.020510	-1.079847	-1.465035	-3	0.660114
48	1.8441443003e-1	0.713905	0.59022204	0.36485851	-0.020510	-1.079847	-1.465035	-3	0.662185
49	1.8209523092e-1	0.708682	0.59285906	0.36781335	-0.020510	-1.079847	-1.465035	-3	0.664193
50	1.7986372107e-1	0.703631	0.59541585	0.37069541	-0.020510	-1.079847	-1.465035	-3	0.666139
51	1.7771476952e-1	0.698743	0.59789650	0.37350777	-0.000902	-1.002752	-1.161913	-2	0.668027
52	1.7601681893e-1	0.695485	0.59989229	0.37580139	-0.000902	-1.002752	-1.161913	-2	0.669667
53	1.7437710657e-1	0.692328	0.60183109	0.37803929	-0.019770	-1.077663	-1.459332	-3	0.671260
54	1.7244088890e-1	0.687864	0.60410638	0.38065364	-0.019770	-1.077663	-1.459332	-3	0.672986
55	1.7057080112e-1	0.683534	0.60631926	0.38320933	-0.001588	-1.004803	-1.167355	-2	0.674665
56	1.6907370060e-1	0.680581	0.60811770	0.38530910	-0.001588	-1.004803	-1.167355	-2	0.676135
57	1.6762407590e-1	0.677713	0.60986870	0.38736147	0.015955	-0.933872	-0.880579	-1	0.677567
58	1.6651386128e-1	0.676120	0.61124612	0.38900610	0.033197	-0.863864	-0.596317	0	0.678811
59	1.6573137210e-1	0.675776	0.61226174	0.39025485	0.016248	-0.932975	-0.878119	-1	0.679879
60	1.6468993814e-1	0.674297	0.61356958	0.39182911	0.016248	-0.932975	-0.878119	-1	0.681060
61	1.6367920676e-1	0.672865	0.61484538	0.39336997	-0.000146	-1.000366	-1.155156	-2	0.682212
62	1.6243044102e-1	0.670372	0.61639159	0.39521362	0.015983	-0.933800	-0.880426	-1	0.683465
63	1.6147211690e-1	0.669001	0.61761510	0.39670232	0.015983	-0.933800	-0.880426	-1	0.684564
64	1.6054067272e-1	0.667670	0.61881015	0.39816097	0.015983	-0.933800	-0.880426	-1	0.685637
65	1.5963491415e-1	0.666378	0.61997786	0.39959064	0.031368	-0.869578	-0.612342	0	0.686686
66	1.5897700509e-1	0.666059	0.62086247	0.40070194	0.016216	-0.933058	-0.878299	-1	0.687599
67	1.5812312430e-1	0.664859	0.62197216	0.40206744	0.001291	-0.995815	-1.142172	-2	0.688601
68	1.5707410179e-1	0.662775	0.62330488	0.40368387	0.001291	-0.995815	-1.142172	-2	0.689685
69	1.5605240400e-1	0.660742	0.62460903	0.40527046	0.015784	-0.934451	-0.882350	-1	0.690746
70	1.5525867665e-1	0.659616	0.62565341	0.40656549	0.001498	-0.995144	-1.140203	-2	0.691686
71	1.5429084898e-1	0.657692	0.62689813	0.40808712	-0.012586	-1.055181	-1.396125	-3	0.692702
72	1.5316125486e-1	0.655020	0.62832977	0.40982079	-0.012586	-1.055181	-1.396125	-3	0.693790
73	1.5206004083e-1	0.652407	0.62973251	0.41152507	-0.026285	-1.113955	-1.648290	-4	0.694855
74	1.5081627980e-1	0.649123	0.63130817	0.41343262	-0.012772	-1.055792	-1.397953	-3	0.695986
75	1.4976681447e-1	0.646616	0.63266056	0.41508793	-0.012772	-1.055792	-1.397953	-3	0.697010
76	1.4874266426e-1	0.644165	0.63398681	0.41671629	-0.012772	-1.055792	-1.397953	-3	0.698015
77	1.4774287260e-1	0.641766	0.63528780	0.41831847	0.000215	-0.999379	-1.152905	-2	0.699001
78	1.4692123474e-1	0.640093	0.63637713	0.41967549	-0.012605	-1.055234	-1.396250	-3	0.699891
79	1.4596879438e-1	0.637803	0.63762625	0.42122130	-0.025263	-1.110543	-1.637922	-4	0.700840
80	1.4489435889e-1	0.634931	0.63902562	0.42294559	-0.025263	-1.110543	-1.637922	-4	0.701843
81	1.4384493515e-1	0.632119	0.64039973	0.42464440	-0.025263	-1.110543	-1.637922	-4	0.702829
82	1.4281962454e-1	0.629366	0.64174939	0.42631840	-0.013068	-1.056803	-1.401103	-3	0.703797
83	1.4194730176e-1	0.627243	0.64291296	0.42777323	-0.025116	-1.110042	-1.636358	-4	0.704681
84	1.4096843463e-1	0.624605	0.64421281	0.42939405	-0.025116	-1.110042	-1.636358	-4	0.705615
85	1.4001116806e-1	0.622021	0.64549038	0.43099193	-0.013352	-1.057775	-1.404156	-3	0.706533
86	1.3919478236e-1	0.620022	0.64659571	0.43238621	-0.001724	-1.005981	-1.173444	-2	0.707374
87	1.3851165054e-1	0.618580	0.64753721	0.43358607	0.009770	-0.954648	-0.944199	-1	0.708141
88	1.3795514543e-1	0.617672	0.64831775	0.43459064	0.009770	-0.954648	-0.944199	-1	0.708836
89	1.3740953982e-1	0.616781	0.64908556	0.43558066	-0.001466	-1.005083	-1.170579	-2	0.709519
90	1.3676777506e-1	0.615429	0.64997677	0.43672131	-0.001466	-1.005083	-1.170579	-2	0.710248
91	1.3613832778e-1	0.614101	0.65085379	0.43784590	0.009524	-0.955513	-0.946977	-1	0.710965
92	1.3561734858e-1	0.613233	0.65158531	0.43878797	0.009524	-0.955513	-0.946977	-1	0.711617
93	1.3510604402e-1	0.612382	0.65230546	0.43971696	0.020276	-0.906775	-0.726068	0	0.712260
94	1.3469553073e-1	0.611962	0.65289120	0.44047793	0.030914	-0.858442	-0.506478	1	0.712842
95	1.3438183300e-1	0.611958	0.65334865	0.44107913	0.041441	-0.810507	-0.288185	2	0.713365
96	1.3416152603e-1	0.612360	0.65368364	0.44152880	0.041441	-0.810507	-0.288185	2	0.713833
97	1.3394639312e-1	0.612766	0.65401365	0.44197368	0.031132	-0.857669	-0.503938	1	0.714293
98	1.3364432111e-1	0.612755	0.65445614	0.44255661	0.031132	-0.857669	-0.503938	1	0.714793
99	1.3334804143e-1	0.612750	0.65489220	0.44313245	0.031132	-0.857669	-0.503938	1	0.715286
100	1.3305738370e-1	0.612752	0.65532199	0.44370136	0.031132	-0.857669	-0.503938	1	0.715771
101	1.3277218425e-1	0.612760	0.65574565	0.44426349	0.021231	-0.903363	-0.714822	0	0.716250
102	1.3240826416e-1	0.612385	0.65627164	0.44495153	0.011427	-0.948706	-0.924532	-1	0.716764
103	1.3196860590e-1	0.611639	0.65689548	0.44575956	0.001718	-0.993703	-1.133082	-2	0.717312
104	1.3145638309e-1	0.610535	0.65761291	0.44668221	0.001718	-0.993703	-1.133082	-2	0.717893
105	1.3095268550e-1	0.609449	0.65832055	0.44759378	-0.007806	-1.038026	-1.339362	-3	0.718466
106	1.3038143551e-1	0.608026	0.65911513	0.44861170	0.001628	-0.994032	-1.134195	-2	0.719070
107	1.2989369931e-1	0.606971	0.65980124	0.44949618	-0.007718	-1.037703	-1.338264	-3	0.719628
108	1.2934164406e-1	0.605595	0.66057343	0.45048851	-0.007718	-1.037703	-1.338264	-3	0.720215
109	1.2879863255e-1	0.604239	0.66133549	0.45146961	-0.016892	-1.080743	-1.540179	-4	0.720795
110	1.2819590991e-1	0.602582	0.66217777	0.45255144	-0.025983	-1.123475	-1.741038	-5	0.721404
111	1.2753653666e-1	0.600637	0.66309691	0.45373036	-0.016974	-1.081046	-1.541221	-4	0.722039
112	1.2695341634e-1	0.599030	0.66391896	0.45479133	-0.016974	-1.081046	-1.541221	-4	0.722632
113	1.2637983986e-1	0.597447	0.66473061	0.45584106	-0.025824	-1.122882	-1.738993	-5	0.723217
114	1.2574669527e-1	0.595561	0.66561863	0.45698395	-0.034595	-1.164427	-1.935761	-6	0.723828
115	1.2505698212e-1	0.593387	0.66657997	0.45821691	-0.025900	-1.123167	-1.739984	-5	0.724464
116	1.2444462107e-1	0.591559	0.66744727	0.45933917	-0.025900	-1.123167	-1.739984	-5	0.725060
117	1.2384231348e-1	0.589759	0.66830403	0.46045037	-0.025900	-1.123167	-1.739984	-5	0.725649
118	1.2324980836e-1	0.587986	0.66915044	0.46155069	-0.017425	-1.082737	-1.547107	-4	0.726231
119	1.2272633952e-1	0.586524	0.66990696	0.46254026	-0.009022	-1.042577	-1.355174	-3	0.726776
120	1.2226915295e-1	0.585363	0.67057665	0.46342244	-0.009022	-1.042577	-1.355174	-3	0.727285
121	1.2181872294e-1	0.584217	0.67123846	0.46429565	-0.009022	-1.042577	-1.355174	-3	0.727788
122	1.2137489182e-1	0.583088	0.67189258	0.46516005	-0.000825	-1.003200	-1.166005	-2	0.728285
123	1.2099232529e-1	0.582237	0.67246668	0.46592569	0.007305	-0.964076	-0.977736	-1	0.728749
124	1.2066902794e-1	0.581659	0.67296345	0.46659594	0.007305	-0.964076	-0.977736	-1	0.729180
125	1.2035029655e-1	0.581089	0.67345459	0.46725948	0.007305	-0.964076	-0.977736	-1	0.729606
126	1.2003602867e-1	0.580528	0.67394020	0.46791643	0.007305	-0.964076	-0.977736	-1	0.730028
127	1.1972612500e-1	0.579976	0.67442039	0.46856691	-0.000569	-1.002219	-1.162509	-2	0.730444
128	1.1937196841e-1	0.579196	0.67496131	0.46929459	-0.000569	-1.002219	-1.162509	-2	0.730882
129	1.1902262942e-1	0.578428	0.67549629	0.47001522	0.007183	-0.964546	-0.979425	-1	0.731315
130	1.1872479521e-1	0.577897	0.67596236	0.47064952	-0.000509	-1.001989	-1.161678	-2	0.731718
131	1.1838495942e-1	0.577150	0.67648508	0.47135511	-0.008143	-1.039204	-1.343110	-3	0.732141
132	1.1800446216e-1	0.576192	0.67706250	0.47212946	-0.008143	-1.039204	-1.343110	-3	0.732584
133	1.1762902122e-1	0.575247	0.67763379	0.47289660	-0.000624	-1.002435	-1.163294	-2	0.733022
134	1.1730209577e-1	0.574527	0.67814140	0.47358489	0.006838	-0.965884	-0.984273	-1	0.733432
135	1.1702500437e-1	0.574040	0.67858124	0.47418749	0.006838	-0.965884	-0.984273	-1	0.733815
136	1.1675147368e-1	0.573560	0.67901653	0.47478453	0.006838	-0.965884	-0.984273	-1	0.734195
137	1.1648143073e-1	0.573086	0.67944734	0.47537610	-0.000461	-1.001796	-1.160960	-2	0.734570
138	1.1617130064e-1	0.572405	0.67993242	0.47603614	-0.007707	-1.037501	-1.336887	-3	0.734963
139	1.1582230345e-1	0.571522	0.68047007	0.47676243	-0.014901	-1.073000	-1.512060	-4	0.735374
140	1.1543573459e-1	0.570442	0.68105862	0.47755298	-0.014901	-1.073000	-1.512060	-4	0.735801
141	1.1505417012e-1	0.569375	0.68164130	0.47833677	-0.007809	-1.037903	-1.338370	-3	0.736224
142	1.1471804631e-1	0.568523	0.68216414	0.47904632	-0.000767	-1.003003	-1.165411	-2	0.736622
143	1.1442600734e-1	0.567878	0.68262884	0.47968369	0.006226	-0.968297	-0.993174	-1	0.736997
144	1.1417435638e-1	0.567425	0.68303427	0.48024290	0.006226	-0.968297	-0.993174	-1	0.737348
145	1.1392569636e-1	0.566978	0.68343577	0.48079724	0.013123	-0.933975	-0.822361	0	0.737696
146	1.1371574326e-1	0.566715	0.68378075	0.48127725	0.019972	-0.899841	-0.652249	1	0.738021
147	1.1354358935e-1	0.566632	0.68407079	0.48168517	0.019972	-0.899841	-0.652249	1	0.738325
148	1.1337356678e-1	0.566552	0.68435807	0.48208971	0.019972	-0.899841	-0.652249	1	0.738626
149	1.1320563452e-1	0.566475	0.68464265	0.48249094	0.013260	-0.933424	-0.820300	0	0.738924
150	1.1300578230e-1	0.566231	0.68497335	0.48295248	0.013260	-0.933424	-0.820300	0	0.739237
151	1.1280823394e-1	0.565990	0.68530097	0.48341018	0.006638	-0.966651	-0.987009	-1	0.739547
152	1.1257991361e-1	0.565588	0.68567255	0.48392501	0.006638	-0.966651	-0.987009	-1	0.739872
153	1.1235414899e-1	0.565191	0.68604072	0.48443560	0.006638	-0.966651	-0.987009	-1	0.740194
154	1.1213089401e-1	0.564798	0.68640555	0.48494199	0.000144	-0.999359	-1.151755	-2	0.740513
155	1.1187879909e-1	0.564252	0.68681406	0.48550692	0.006596	-0.966821	-0.987651	-1	0.740845
156	1.1166033129e-1	0.563869	0.68717276	0.48600585	0.006596	-0.966821	-0.987651	-1	0.741158
157	1.1144424322e-1	0.563489	0.68752827	0.48650078	0.000227	-0.999026	-1.150489	-2	0.741469
158	1.1120048467e-1	0.562963	0.68792515	0.48705079	0.006556	-0.966984	-0.988275	-1	0.741793
159	1.1098894023e-1	0.562592	0.68827481	0.48753855	0.012845	-0.935104	-0.826679	0	0.742098
160	1.1080886258e-1	0.562374	0.68857842	0.48796571	0.012845	-0.935104	-0.826679	0	0.742385
161	1.1063072954e-1	0.562159	0.68887940	0.48838954	0.019056	-0.903543	-0.666302	1	0.742669
162	1.1048301819e-1	0.562093	0.68913629	0.48875560	0.019056	-0.903543	-0.666302	1	0.742936
163	1.1033696516e-1	0.562029	0.68939097	0.48911891	0.012921	-0.934793	-0.825481	0	0.743200
164	1.1016468179e-1	0.561825	0.68968358	0.48953184	0.012921	-0.934793	-0.825481	0	0.743477
165	1.0999421176e-1	0.561624	0.68997371	0.48994163	0.006861	-0.965738	-0.983486	-1	0.743752
166	1.0979835351e-1	0.561288	0.69030013	0.49039862	0.012885	-0.934943	-0.826061	0	0.744039
167	1.0963131877e-1	0.561092	0.69058576	0.49080284	0.006897	-0.965590	-0.982911	-1	0.744309
168	1.0943875716e-1	0.560760	0.69090878	0.49125631	0.006897	-0.965590	-0.982911	-1	0.744591
169	1.0924813723e-1	0.560432	0.69122913	0.49170639	0.006897	-0.965590	-0.982911	-1	0.744870
170	1.0905942744e-1	0.560107	0.69154686	0.49215314	0.001014	-0.995800	-1.138066	-2	0.745147
171	1.0884636761e-1	0.559651	0.69189985	0.49264607	0.001014	-0.995800	-1.138066	-2	0.745436
172	1.0863542906e-1	0.559200	0.69224999	0.49313542	0.001014	-0.995800	-1.138066	-2	0.745722
173	1.0842657784e-1	0.558754	0.69259732	0.49362121	-0.004766	-1.025588	-1.291572	-3	0.746005
174	1.0819456619e-1	0.558182	0.69297793	0.49415043	-0.010513	-1.055238	-1.444536	-4	0.746300
175	1.0794000450e-1	0.557487	0.69339101	0.49472202	-0.010513	-1.055238	-1.444536	-4	0.746605
176	1.0768803680e-1	0.556799	0.69380082	0.49528968	-0.010513	-1.055238	-1.444536	-4	0.746907
177	1.0743862162e-1	0.556118	0.69420742	0.49585346	-0.004863	-1.025994	-1.293166	-3	0.747207
178	1.0721557521e-1	0.555568	0.69457701	0.49636960	0.000755	-0.996883	-1.142318	-2	0.747493
179	1.0701827170e-1	0.555145	0.69491043	0.49683913	-0.004832	-1.025863	-1.292648	-3	0.747764
180	1.0679956447e-1	0.554606	0.69527407	0.49734770	-0.004832	-1.025863	-1.292648	-3	0.748045
181	1.0658296418e-1	0.554071	0.69563491	0.49785279	-0.010357	-1.054584	-1.441954	-4	0.748323
182	1.0634574300e-1	0.553424	0.69602478	0.49839531	-0.015851	-1.083177	-1.590754	-5	0.748612
183	1.0609095264e-1	0.552679	0.69644509	0.49898113	-0.010387	-1.054710	-1.442455	-4	0.748910
184	1.0585832024e-1	0.552044	0.69682934	0.49951699	-0.010387	-1.054710	-1.442455	-4	0.749194
185	1.0562793231e-1	0.551415	0.69721070	0.50004934	-0.004981	-1.026492	-1.295146	-3	0.749476
186	1.0541882972e-1	0.550892	0.69755730	0.50053343	-0.010358	-1.054587	-1.441966	-4	0.749744
187	1.0519283085e-1	0.550275	0.69793279	0.50105841	-0.005010	-1.026613	-1.295632	-3	0.750022
188	1.0498755738e-1	0.549761	0.69827451	0.50153659	-0.005010	-1.026613	-1.295632	-3	0.750287
189	1.0478416539e-1	0.549252	0.69861373	0.50201163	-0.005010	-1.026613	-1.295632	-3	0.750550
190	1.0458262734e-1	0.548748	0.69895048	0.50248360	-0.010273	-1.054229	-1.440533	-4	0.750811
191	1.0436501271e-1	0.548154	0.69931447	0.50299395	-0.015509	-1.081728	-1.584964	-5	0.751080
192	1.0413175124e-1	0.547472	0.69970508	0.50354191	-0.015509	-1.081728	-1.584964	-5	0.751358
193	1.0390070969e-1	0.546797	0.70009289	0.50408649	-0.020690	-1.108996	-1.728466	-6	0.751634
194	1.0365467118e-1	0.546038	0.70050636	0.50466739	-0.015536	-1.081842	-1.585423	-5	0.751919
195	1.0342798254e-1	0.545376	0.70088888	0.50520574	-0.020664	-1.108883	-1.728011	-6	0.752191
196	1.0318669049e-1	0.544631	0.70129632	0.50577933	-0.020664	-1.108883	-1.728011	-6	0.752471
197	1.0294772849e-1	0.543894	0.70170091	0.50634954	-0.025740	-1.135701	-1.869697	-7	0.752749
198	1.0269478924e-1	0.543077	0.70212951	0.50695381	-0.025740	-1.135701	-1.869697	-7	0.753035
199	1.0244435799e-1	0.542269	0.70255514	0.50755464	-0.030765	-1.162301	-2.010497	-8	0.753319
200	1.0218057809e-1	0.541385	0.70300392	0.50818843	-0.030765	-1.162301	-2.010497	-8	0.753611
201	1.0191948685e-1	0.540510	0.70344963	0.50881874	-0.025790	-1.135916	-1.870571	-7	0.753901
202	1.0167526102e-1	0.539720	0.70386505	0.50940536	-0.020840	-1.109638	-1.731078	-6	0.754179
203	1.0144741577e-1	0.539011	0.70425077	0.50994896	-0.015913	-1.083464	-1.592013	-5	0.754446
204	1.0123551600e-1	0.538383	0.70460737	0.51045026	-0.015913	-1.083464	-1.592013	-5	0.754702
205	1.0102548859e-1	0.537760	0.70496157	0.51094863	-0.011035	-1.057498	-1.453796	-4	0.754957
206	1.0083082166e-1	0.537214	0.70528758	0.51140597	-0.006181	-1.031635	-1.315999	-3	0.755201
207	1.0065117587e-1	0.536744	0.70558593	0.51182303	-0.006181	-1.031635	-1.315999	-3	0.755434
208	1.0047301687e-1	0.536279	0.70588230	0.51223762	-0.006181	-1.031635	-1.315999	-3	0.755666
209	1.0029632495e-1	0.535816	0.70617673	0.51264978	-0.001396	-1.006073	-1.179441	-2	0.755897
210	1.0013403381e-1	0.535427	0.70644472	0.51302347	0.003366	-0.980611	-1.043291	-1	0.756117
211	9.9985887214e-2	0.535110	0.70668678	0.51335945	-0.001374	-1.005975	-1.179037	-2	0.756328
212	9.9826217951e-2	0.534728	0.70695114	0.51372851	-0.001374	-1.005975	-1.179037	-2	0.756545
213	9.9667825090e-2	0.534348	0.70721380	0.51409542	0.003321	-0.980805	-1.044091	-1	0.756761
214	9.9523162305e-2	0.534039	0.70745151	0.51442617	0.007994	-0.955730	-0.909541	0	0.756968
215	9.9392013909e-2	0.533799	0.70766473	0.51472147	0.012645	-0.930750	-0.775384	1	0.757165
216	9.9274191804e-2	0.533626	0.70785392	0.51498203	0.012645	-0.930750	-0.775384	1	0.757353
217	9.9157351065e-2	0.533456	0.70804192	0.51524119	0.017253	-0.905958	-0.642005	2	0.757539
218	9.9053567604e-2	0.533353	0.70820663	0.51546683	0.021841	-0.881259	-0.509010	3	0.757717
219	9.8962704362e-2	0.533317	0.70834849	0.51565968	0.026407	-0.856651	-0.376398	4	0.757886
220	9.8884646619e-2	0.533347	0.70846792	0.51582048	0.026407	-0.856651	-0.376398	4	0.758046
221	9.8807426010e-2	0.533379	0.70858660	0.51598063	0.030932	-0.832225	-0.244542	5	0.758204
222	9.8742834412e-2	0.533476	0.70868354	0.51610992	0.026427	-0.856561	-0.376024	4	0.758355
223	9.8667311558e-2	0.533511	0.70880064	0.51626858	0.021943	-0.880809	-0.507133	3	0.758512
224	9.8577535605e-2	0.533467	0.70893998	0.51645750	0.021943	-0.880809	-0.507133	3	0.758675
225	9.8488583419e-2	0.533424	0.70907848	0.51664554	0.021943	-0.880809	-0.507133	3	0.758838
226	9.8400444108e-2	0.533383	0.70921613	0.51683271	0.026368	-0.856824	-0.377124	4	0.758999
227	9.8327887110e-2	0.533424	0.70933078	0.51698944	0.021962	-0.880723	-0.506772	3	0.759152
228	9.8241389458e-2	0.533386	0.70946666	0.51717470	0.021962	-0.880723	-0.506772	3	0.759312
229	9.8155673189e-2	0.533351	0.70960172	0.51735912	0.017596	-0.904451	-0.635703	2	0.759470
230	9.8056216588e-2	0.533237	0.70975741	0.51757104	0.013248	-0.928095	-0.764280	1	0.759635
231	9.7943165559e-2	0.533048	0.70993336	0.51780988	0.008919	-0.951655	-0.892505	0	0.759805
232	9.7816689045e-2	0.532782	0.71012920	0.51807509	0.008919	-0.951655	-0.892505	0	0.759981
233	9.7691153585e-2	0.532518	0.71032390	0.51833895	0.004627	-0.975050	-1.020032	-1	0.760157
234	9.7552480457e-2	0.532180	0.71053792	0.51862833	0.004627	-0.975050	-1.020032	-1	0.760338
235	9.7414821935e-2	0.531845	0.71075070	0.51891623	0.008882	-0.951817	-0.893193	0	0.760518
236	9.7292005837e-2	0.531587	0.71094224	0.51917648	0.008882	-0.951817	-0.893193	0	0.760690
237	9.7170087711e-2	0.531332	0.71113267	0.51943542	0.013102	-0.928746	-0.767034	1	0.760861
238	9.7062696596e-2	0.531153	0.71130243	0.51966757	0.008900	-0.951738	-0.892857	0	0.761025
239	9.6942561127e-2	0.530902	0.71149058	0.51992372	0.004716	-0.974652	-1.018345	-1	0.761195
240	9.6809854662e-2	0.530580	0.71169679	0.52020344	0.004716	-0.974652	-1.018345	-1	0.761369
241	9.6678092950e-2	0.530260	0.71190183	0.52048176	0.000566	-0.997411	-1.143171	-2	0.761543
242	9.6534042531e-2	0.529869	0.71212443	0.52078291	0.000566	-0.997411	-1.143171	-2	0.761722
243	9.6391013208e-2	0.529482	0.71234578	0.52108257	0.000566	-0.997411	-1.143171	-2	0.761900
244	9.6248993420e-2	0.529097	0.71256589	0.52138077	0.000566	-0.997411	-1.143171	-2	0.762077
245	9.6107971785e-2	0.528715	0.71278477	0.52167751	0.000566	-0.997411	-1.143171	-2	0.762253
246	9.5967937095e-2	0.528335	0.71300244	0.52197281	-0.003499	-1.019790	-1.266377	-3	0.762428
247	9.5816186316e-2	0.527889	0.71323662	0.52228943	0.000550	-0.997485	-1.143489	-2	0.762608
248	9.5678088691e-2	0.527514	0.71345199	0.52258207	0.000550	-0.997485	-1.143489	-2	0.762781
249	9.5540945690e-2	0.527143	0.71366618	0.52287330	0.004566	-0.975327	-1.021230	-1	0.762954
250	9.5417142077e-2	0.526842	0.71386204	0.52314123	0.004566	-0.975327	-1.021230	-1	0.763119
251	9.2978643962e-2	0.513749	0.71427365	0.52152593	0.000582	-0.997340	-1.142866	-2	0.763284
252	9.3246914415e-2	0.515602	0.71363658	0.52052007	0.000582	-0.997340	-1.142866	-2	0.763453
253	9.3472274999e-2	0.517219	0.71386723	0.52120674	0.004535	-0.975469	-1.021845	-1	0.763622
254	9.4458764704e-2	0.523050	0.71337391	0.52120658	0.008472	-0.953669	-0.901128	0	0.763783
255	9.3357913010e-2	0.517321	0.71350094	0.52035979	0.004550	-0.975399	-1.021542	-1	0.763939
256	9.0503879585e-2	0.501860	0.71485004	0.52020397	0.004550	-0.975399	-1.021542	-1	0.764099
257	9.1419660291e-2	0.507295	0.71499063	0.52140093	0.000659	-0.996991	-1.141357	-2	0.764258
258	8.9590954743e-2	0.497495	0.71553399	0.52065894	-0.003217	-1.018514	-1.260873	-3	0.764422
