N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
19220	3.0910665257e-2	0.304894	0.84009323	0.71109712	0.002153	-0.978675	-0.943203	41	0.867527
19221	3.0910420980e-2	0.304893	0.84009396	0.71109833	0.002101	-0.979188	-0.948265	40	0.867528
19222	3.0910175055e-2	0.304892	0.84009469	0.71109955	0.002049	-0.979701	-0.953327	39	0.867529
19223	3.0909927480e-2	0.304891	0.84009542	0.71110076	0.002101	-0.979188	-0.948265	40	0.867529
19224	3.0909681600e-2	0.304890	0.84009615	0.71110198	0.002101	-0.979188	-0.948265	40	0.867530
19225	3.0909435742e-2	0.304890	0.84009688	0.71110319	0.002101	-0.979188	-0.948265	40	0.867531
19226	3.0909189907e-2	0.304889	0.84009761	0.71110440	0.002153	-0.978675	-0.943205	41	0.867531
19227	3.0908945765e-2	0.304888	0.84009833	0.71110561	0.002205	-0.978162	-0.938144	42	0.867532
19228	3.0908703317e-2	0.304887	0.84009906	0.71110682	0.002205	-0.978162	-0.938144	42	0.867533
19229	3.0908460891e-2	0.304886	0.84009978	0.71110802	0.002153	-0.978675	-0.943204	41	0.867533
19230	3.0908216818e-2	0.304886	0.84010051	0.71110923	0.002205	-0.978162	-0.938144	42	0.867534
19231	3.0907974438e-2	0.304885	0.84010123	0.71111044	0.002153	-0.978675	-0.943204	41	0.867535
19232	3.0907730411e-2	0.304884	0.84010196	0.71111164	0.002153	-0.978675	-0.943204	41	0.867535
19233	3.0907486406e-2	0.304883	0.84010268	0.71111285	0.002153	-0.978675	-0.943204	41	0.867536
19234	3.0907242424e-2	0.304882	0.84010341	0.71111406	0.002101	-0.979188	-0.948263	40	0.867537
19235	3.0906996794e-2	0.304882	0.84010414	0.71111527	0.002153	-0.978675	-0.943204	41	0.867537
19236	3.0906752857e-2	0.304881	0.84010486	0.71111648	0.002153	-0.978675	-0.943204	41	0.867538
19237	3.0906508942e-2	0.304880	0.84010559	0.71111769	0.002101	-0.979188	-0.948263	40	0.867539
19238	3.0906263380e-2	0.304879	0.84010632	0.71111890	0.002153	-0.978675	-0.943204	41	0.867539
19239	3.0906019511e-2	0.304878	0.84010705	0.71112011	0.002153	-0.978675	-0.943204	41	0.867540
19240	3.0905775664e-2	0.304878	0.84010777	0.71112132	0.002153	-0.978675	-0.943204	41	0.867541
19241	3.0905531840e-2	0.304877	0.84010850	0.71112253	0.002205	-0.978162	-0.938147	42	0.867542
19242	3.0905289709e-2	0.304876	0.84010922	0.71112373	0.002205	-0.978162	-0.938147	42	0.867542
19243	3.0905047600e-2	0.304875	0.84010994	0.71112494	0.002257	-0.977650	-0.933089	43	0.867543
19244	3.0904807184e-2	0.304875	0.84011066	0.71112614	0.002257	-0.977650	-0.933089	43	0.867544
19245	3.0904566790e-2	0.304874	0.84011138	0.71112734	0.002205	-0.978162	-0.938146	42	0.867544
19246	3.0904324750e-2	0.304873	0.84011211	0.71112854	0.002257	-0.977650	-0.933090	43	0.867545
19247	3.0904084402e-2	0.304872	0.84011283	0.71112974	0.002309	-0.977137	-0.928033	44	0.867546
19248	3.0903845747e-2	0.304871	0.84011355	0.71113094	0.002309	-0.977137	-0.928033	44	0.867546
19249	3.0903607114e-2	0.304871	0.84011426	0.71113213	0.002257	-0.977650	-0.933089	43	0.867547
