j	k	gcd	formula	integral	error	digits	certified	time_ms
6	28	2	6.171407770875806e-2	6.171403571149252e-2	4.19973e-8	7	true	13673.1
6	29	1	6.039151668029552e-2	6.039147493392255e-2	4.17464e-8	7	true	13718.9
6	30	6	5.985758816745260e-2	5.985754372308871e-2	4.44444e-8	7	true	12542.6
6	31	1	5.761256397602151e-2	5.761252223478252e-2	4.17412e-8	7	true	14008.7
6	32	2	5.613433080886247e-2	5.613428885292440e-2	4.19559e-8	7	true	13891.2
6	33	3	5.493827362775257e-2	5.493823132985138e-2	4.22979e-8	7	true	12817.9
6	34	2	5.371092410324185e-2	5.371088216436657e-2	4.19389e-8	7	true	12999.1
6	35	1	5.272855109994710e-2	5.272850936726400e-2	4.17327e-8	7	true	13480.7
6	36	6	5.228746732816095e-2	5.228742334681604e-2	4.39813e-8	7	true	11784.6
6	37	1	5.065353864661617e-2	5.065349691746255e-2	4.17292e-8	7	true	13493.2
6	38	2	4.954882021048111e-2	4.954877830025962e-2	4.19102e-8	7	true	13268.0
6	39	3	4.863983539423992e-2	4.863979319345921e-2	4.22008e-8	7	true	12472.4
6	40	2	4.770466705847434e-2	4.770462516040859e-2	4.18981e-8	7	true	11926.9
6	41	1	4.694314688056582e-2	4.694310515753773e-2	4.17230e-8	7	true	12105.7
6	42	6	4.657560944806500e-2	4.657556579734278e-2	4.36507e-8	7	true	11752.3
6	43	1	4.532889094370782e-2	4.532884922329641e-2	4.17204e-8	7	true	13332.6
6	44	2	4.446885545279646e-2	4.446881357581351e-2	4.18770e-8	7	true	12350.2
6	45	3	4.375215463489683e-2	4.375211250533132e-2	4.21296e-8	7	true	12284.5
6	46	2	4.301344770687617e-2	4.301340583904625e-2	4.18678e-8	7	true	12218.2
6	47	1	4.240394638549079e-2	4.240390466967221e-2	4.17158e-8	7	true	13910.0
6	48	6	4.209379250235717e-2	4.209374909966620e-2	4.34027e-8	7	true	13059.2
6	49	1	4.110871026992228e-2	4.110866855610730e-2	4.17138e-8	7	true	14979.4
6	50	2	4.041826279564827e-2	4.041822094388457e-2	4.18518e-8	7	true	14845.7
7	8	1	1.341765022096846e-1	1.341764662829025e-1	3.59268e-8	7	true	24279.1
7	9	1	1.223641884838073e-1	1.223641525806275e-1	3.59032e-8	7	true	21271.2
7	10	1	1.144411158488240e-1	1.144410799645431e-1	3.58843e-8	7	true	21400.2
7	11	1	1.082338770475516e-1	1.082338411787458e-1	3.58688e-8	7	true	21041.4
7	12	1	1.032003585973751e-1	1.032003227414386e-1	3.58559e-8	7	true	19816.1
7	13	1	9.987728792142402e-2	9.987725207639984e-2	3.58450e-8	7	true	17768.7
7	14	7	1.001115263660431e-1	1.001114846994776e-1	4.16666e-8	7	true	13918.4
7	15	1	9.180933722468813e-2	9.180930139708815e-2	3.58276e-8	7	true	17806.7
7	16	1	8.702009964081354e-2	8.702006382032779e-2	3.58205e-8	7	true	17954.4
7	17	1	8.338370457076312e-2	8.338366875650524e-2	3.58143e-8	7	true	18390.9
7	18	1	8.030724219940748e-2	8.030720639071103e-2	3.58087e-8	7	true	18980.5
7	19	1	7.766991833395850e-2	7.766988253024719e-2	3.58037e-8	7	true	17112.2
7	20	1	7.572298176096023e-2	7.572294596172180e-2	3.57992e-8	7	true	18399.1
7	21	7	7.534063169187662e-2	7.534059200944011e-2	3.96824e-8	7	true	13379.2
7	22	1	7.115196419735938e-2	7.115192840583207e-2	3.57915e-8	7	true	15836.0
7	23	1	6.851351129877868e-2	6.851347551061493e-2	3.57882e-8	7	true	16250.1
7	24	1	6.640157563370953e-2	6.640153984863419e-2	3.57851e-8	7	true	14919.2
7	25	1	6.455006120802660e-2	6.455002542578755e-2	3.57822e-8	7	true	14465.8
7	26	1	6.291579482625177e-2	6.291575904662731e-2	3.57796e-8	7	true	14750.8
7	27	1	6.164412519233424e-2	6.164408941514610e-2	3.57772e-8	7	true	15096.4
7	28	7	6.124117795107147e-2	6.124113926066670e-2	3.86904e-8	7	true	12311.8
7	29	1	5.868773381356549e-2	5.868769804070818e-2	3.57729e-8	7	true	13783.8
7	30	1	5.699796851938112e-2	5.699793274848517e-2	3.57709e-8	7	true	13653.6
7	31	1	5.560436591537620e-2	5.560433014633039e-2	3.57690e-8	7	true	13598.6
7	32	1	5.435713763489148e-2	5.435710186752913e-2	3.57674e-8	7	true	14126.5
7	33	1	5.323644422238835e-2	5.323640845664088e-2	3.57657e-8	7	true	13619.8
7	34	1	5.233661387869910e-2	5.233657811446290e-2	3.57642e-8	7	true	13827.8
7	35	7	5.198677625237434e-2	5.198673815720529e-2	3.80952e-8	7	true	11961.9
7	36	1	5.025536993771392e-2	5.025533417626481e-2	3.57614e-8	7	true	12975.8
7	37	1	4.907196165235341e-2	4.907192589217259e-2	3.57602e-8	7	true	12756.0
7	38	1	4.807673884172754e-2	4.807670308278320e-2	3.57589e-8	7	true	12990.1
7	39	1	4.717389634035687e-2	4.717386058253142e-2	3.57578e-8	7	true	13836.9
7	40	1	4.635280045946557e-2	4.635276470273198e-2	3.57567e-8	7	true	13969.7
7	41	1	4.567945744178081e-2	4.567942168611828e-2	3.57557e-8	7	true	14711.7
7	42	7	4.538472256245995e-2	4.538468486416432e-2	3.76983e-8	7	true	14755.2
7	43	1	4.412754912382801e-2	4.412751337008924e-2	3.57537e-8	7	true	15847.4
7	44	1	4.324813840203461e-2	4.324810264916642e-2	3.57529e-8	7	true	15035.1
7	45	1	4.249823857420997e-2	4.249820282222484e-2	3.57520e-8	7	true	13845.6
7	46	1	4.181136366878944e-2	4.181132791760576e-2	3.57512e-8	7	true	13999.5
7	47	1	4.118119206704371e-2	4.118115631663356e-2	3.57504e-8	7	true	14589.3
7	48	1	4.065643668773353e-2	4.065640093808514e-2	3.57496e-8	7	true	13244.8
7	49	7	4.040785960465824e-2	4.040782218975348e-2	3.74149e-8	7	true	13003.8
7	50	1	3.945035052250103e-2	3.945031477427351e-2	3.57482e-8	7	true	13136.2
8	9	1	1.211002129634582e-1	1.211001815688571e-1	3.13946e-8	7	true	19689.7
8	10	2	1.111879190622623e-1	1.111878872914988e-1	3.17708e-8	7	true	17524.8
8	11	1	1.040616534323719e-1	1.040616220640655e-1	3.13683e-8	7	true	18042.3
8	12	4	9.985921065318387e-2	9.985917766715176e-2	3.29860e-8	7	true	14794.5
8	13	1	9.423098820867080e-2	9.423095685858460e-2	3.13501e-8	7	true	16718.6
8	14	2	9.078491881378778e-2	9.078488719183539e-2	3.16220e-8	7	true	15984.5
8	15	1	8.834916598261366e-2	8.834913464586212e-2	3.13368e-8	7	true	16450.1
8	16	8	8.871365699885914e-2	8.871362054061435e-2	3.64582e-8	7	true	11674.1
8	17	1	8.202168939566211e-2	8.202165806912785e-2	3.13265e-8	7	true	15613.6
8	18	2	7.811556797962892e-2	7.811553644034275e-2	3.15393e-8	7	true	15098.9
8	19	1	7.499689400754969e-2	7.499686268908116e-2	3.13185e-8	7	true	15211.7
8	20	4	7.285130853117847e-2	7.285127623958837e-2	3.22916e-8	7	true	13421.4
8	21	1	7.017954397389913e-2	7.017951266196368e-2	3.13119e-8	7	true	15882.5
8	22	2	6.831900660271498e-2	6.831897511604688e-2	3.14867e-8	7	true	14098.9
8	23	1	6.687657568780378e-2	6.687654438126896e-2	3.13065e-8	7	true	15167.0
8	24	8	6.666710034943966e-2	6.666706562730772e-2	3.47221e-8	7	true	12162.2
8	25	1	6.331174607609094e-2	6.331171477407575e-2	3.13020e-8	7	true	14450.4
8	26	2	6.118477411783269e-2	6.118474266759902e-2	3.14502e-8	7	true	13972.6
8	27	1	5.940985520333209e-2	5.940982390519087e-2	3.12981e-8	7	true	14796.4
8	28	4	5.810604698892791e-2	5.810601499496102e-2	3.19940e-8	7	true	13066.0
8	29	1	5.652301417551627e-2	5.652298288067736e-2	3.12948e-8	7	true	14114.3
8	30	2	5.535342799013818e-2	5.535339656658810e-2	3.14236e-8	7	true	14724.1
8	31	1	5.440578727244716e-2	5.440575598053242e-2	3.12919e-8	7	true	14916.0
8	32	8	5.414406642147325e-2	5.414403256736908e-2	3.38541e-8	7	true	13043.9
8	33	1	5.210608113677240e-2	5.210604984738650e-2	3.12894e-8	7	true	14717.0
8	34	2	5.075276064671785e-2	5.075272924358749e-2	3.14031e-8	7	true	14409.4
8	35	1	4.959500369912198e-2	4.959497241200297e-2	3.12871e-8	7	true	14060.3
8	36	4	4.871207603765238e-2	4.871204420901494e-2	3.18286e-8	7	true	12877.1
8	37	1	4.765479803896255e-2	4.765476675383668e-2	3.12851e-8	7	true	13391.4
8	38	2	4.684584695465453e-2	4.684581556765644e-2	3.13870e-8	7	true	12958.9
8	39	1	4.617285929283626e-2	4.617282800951292e-2	3.12833e-8	7	true	13307.8
8	40	8	4.593485779225612e-2	4.593482445898320e-2	3.33333e-8	7	true	11432.3
8	41	1	4.455638496202004e-2	4.455635368032582e-2	3.12817e-8	7	true	13144.1
8	42	2	4.361262273655749e-2	4.361259136261025e-2	3.13739e-8	7	true	12816.8
8	43	1	4.279208531444804e-2	4.279205403424874e-2	3.12802e-8	7	true	13093.0
8	44	4	4.215067491778413e-2	4.215064319435823e-2	3.17234e-8	7	true	12792.3
8	45	1	4.138964234114376e-2	4.138961106228083e-2	3.12789e-8	7	true	12791.7
8	46	2	4.079351679394672e-2	4.079348543077903e-2	3.13632e-8	7	true	12910.7
8	47	1	4.028866257948469e-2	4.028863130185058e-2	3.12776e-8	7	true	13043.3
8	48	8	4.008365605167627e-2	4.008362306566759e-2	3.29860e-8	7	true	11691.0
8	49	1	3.908456867633359e-2	3.908453739982554e-2	3.12765e-8	7	true	12482.5
8	50	2	3.838535916576389e-2	3.838532781165831e-2	3.13541e-8	7	true	12462.1
9	10	1	1.103337628007506e-1	1.103337349201637e-1	2.78806e-8	7	true	19814.5
9	11	1	1.015911038051899e-1	1.015910759339410e-1	2.78712e-8	7	true	18980.3
9	12	3	9.589006295443635e-2	9.589003440511228e-2	2.85493e-8	7	true	16449.4
9	13	1	9.091992395412843e-2	9.091989609727566e-2	2.78569e-8	7	true	18101.2
9	14	1	8.699650998634427e-2	8.699648213513295e-2	2.78512e-8	7	true	17235.9
9	15	3	8.377807158026362e-2	8.377804318526115e-2	2.83950e-8	7	true	15493.1
9	16	1	8.090806583765332e-2	8.090803799563896e-2	2.78420e-8	7	true	17441.3
9	17	1	7.920570419245916e-2	7.920567635422317e-2	2.78382e-8	7	true	16598.5
9	18	9	7.962818893725751e-2	7.962815652992880e-2	3.24073e-8	7	true	12185.1
9	19	1	7.411127079055178e-2	7.411124295867766e-2	2.78319e-8	7	true	16003.0
9	20	1	7.076980528017537e-2	7.076977745103052e-2	2.78291e-8	7	true	15756.4
9	21	3	6.829425804588303e-2	6.829422982724502e-2	2.82186e-8	7	true	15283.5
9	22	1	6.603370529062515e-2	6.603367746614318e-2	2.78245e-8	7	true	15308.0
9	23	1	6.411124170743358e-2	6.411121388498622e-2	2.78224e-8	7	true	15098.9
9	24	3	6.245245125938292e-2	6.245242309586826e-2	2.81635e-8	7	true	15168.5
9	25	1	6.092511658715372e-2	6.092508876828784e-2	2.78189e-8	7	true	14475.3
9	26	1	5.987910680270409e-2	5.987907898540630e-2	2.78173e-8	7	true	15710.7
9	27	9	5.977404804723855e-2	5.977401718312126e-2	3.08641e-8	7	true	12278.2
9	28	1	5.702166164109565e-2	5.702163382663685e-2	2.78145e-8	7	true	14703.4
9	29	1	5.522502685508333e-2	5.522499904187791e-2	2.78132e-8	7	true	14200.4
9	30	3	5.382169613640675e-2	5.382166805004595e-2	2.80864e-8	7	true	13095.9
9	31	1	5.251171689928024e-2	5.251168908837531e-2	2.78109e-8	7	true	14122.2
9	32	1	5.136014605132629e-2	5.136011824145586e-2	2.78099e-8	7	true	15653.7
9	33	3	5.034027277316412e-2	5.034024471487203e-2	2.80583e-8	7	true	14634.3
9	34	1	4.938466260068089e-2	4.938463479269149e-2	2.78080e-8	7	true	16803.5
9	35	1	4.868665260962963e-2	4.868662480250923e-2	2.78071e-8	7	true	16903.2
9	36	9	4.851386151044536e-2	4.851383141790832e-2	3.00925e-8	7	true	13485.5
9	37	1	4.684702275277886e-2	4.684699494725891e-2	2.78055e-8	7	true	13976.4
9	38	1	4.571207597349696e-2	4.571204816869313e-2	2.78048e-8	7	true	13597.4
9	39	3	4.479873178639901e-2	4.479870377126511e-2	2.80151e-8	7	true	12603.7
9	40	1	4.393524068816102e-2	4.393521288471745e-2	2.78034e-8	7	true	13394.4
9	41	1	4.316161008678113e-2	4.316158228396735e-2	2.78028e-8	7	true	15023.0
9	42	3	4.246546979525670e-2	4.246544179707967e-2	2.79982e-8	7	true	13895.7
9	43	1	4.180611533847257e-2	4.180608753682426e-2	2.78016e-8	7	true	15667.3
9	44	1	4.130596785255866e-2	4.130594005147689e-2	2.78011e-8	7	true	16661.1
9	45	9	4.113962667953630e-2	4.113959704996038e-2	2.96296e-8	7	true	13724.5
9	46	1	4.001444202121569e-2	4.001441422113038e-2	2.78001e-8	7	true	15357.8
9	47	1	3.922671359692231e-2	3.922668579731776e-2	2.77996e-8	7	true	13656.8
9	48	3	3.858029461331573e-2	3.858026664269034e-2	2.79706e-8	7	true	12385.7
9	49	1	3.796407674517837e-2	3.796404894647239e-2	2.77987e-8	7	true	12831.2
9	50	1	3.740507501408657e-2	3.740504721578634e-2	2.77983e-8	7	true	12911.5
10	11	1	1.013215065959788e-1	1.013214815202846e-1	2.50757e-8	7	true	21135.6
10	12	2	9.376106006096242e-2	9.376103478324437e-2	2.52777e-8	7	true	20391.5
10	13	1	8.830594097955301e-2	8.830591591549977e-2	2.50641e-8	7	true	23148.3
10	14	2	8.415428514819234e-2	8.415425991015044e-2	2.52380e-8	7	true	21111.0
10	15	5	8.155403518921377e-2	8.155400880038807e-2	2.63888e-8	7	true	16243.9
10	16	2	7.765593737333581e-2	7.765591216505423e-2	2.52083e-8	7	true	18407.6
10	17	1	7.506328619597455e-2	7.506326114700358e-2	2.50490e-8	7	true	18424.5
10	18	2	7.308690429821743e-2	7.308687911308961e-2	2.51851e-8	7	true	17623.0
10	19	1	7.177812492859827e-2	7.177809988479142e-2	2.50438e-8	7	true	17666.5
10	20	10	7.222092559908731e-2	7.222089643249148e-2	2.91666e-8	7	true	12338.4
10	21	1	6.758865987969190e-2	6.758863484006679e-2	2.50396e-8	7	true	15965.3
10	22	2	6.475542595373912e-2	6.475540080227779e-2	2.51515e-8	7	true	15259.5
10	23	1	6.249434325401927e-2	6.249431821783856e-2	2.50362e-8	7	true	15337.0
10	24	2	6.062289216948796e-2	6.062286703064851e-2	2.51388e-8	7	true	15043.8
10	25	5	5.928104682494278e-2	5.928102099167069e-2	2.58333e-8	7	true	13206.2
10	26	2	5.746338892362517e-2	5.746336379547407e-2	2.51282e-8	7	true	14989.3
10	27	1	5.612126255489246e-2	5.612123752408574e-2	2.50308e-8	7	true	14846.3
10	28	2	5.502303443900711e-2	5.502300932000499e-2	2.51190e-8	7	true	13740.9
10	29	1	5.420691234244267e-2	5.420688731374914e-2	2.50287e-8	7	true	15314.2
10	30	10	5.416701361288506e-2	5.416698583517951e-2	2.77777e-8	7	true	12624.0
10	31	1	5.186551219279707e-2	5.186548716597266e-2	2.50268e-8	7	true	15943.8
10	32	2	5.035427290941975e-2	5.035424780530703e-2	2.51041e-8	7	true	16948.9
10	33	1	4.909707412235117e-2	4.909704909716729e-2	2.50252e-8	7	true	17594.5
10	34	2	4.801832169801993e-2	4.801829660003183e-2	2.50980e-8	7	true	16299.9
10	35	5	4.719912330542805e-2	4.719909771025453e-2	2.55952e-8	7	true	13923.7
10	36	2	4.613121329626956e-2	4.613118820372499e-2	2.50925e-8	7	true	14906.8
10	37	1	4.530368885411724e-2	4.530366383165685e-2	2.50225e-8	7	true	15712.8
10	38	2	4.460306982748086e-2	4.460304473980395e-2	2.50877e-8	7	true	14624.3
10	39	1	4.405477540899870e-2	4.405475038769067e-2	2.50213e-8	7	true	14672.2
10	40	10	4.394025313717860e-2	4.394022605389526e-2	2.70833e-8	7	true	12006.2
10	41	1	4.254985955275933e-2	4.254983453251011e-2	2.50202e-8	7	true	13627.8
10	42	2	4.159946225784194e-2	4.159943717853297e-2	2.50793e-8	7	true	13291.0
10	43	1	4.079020208101804e-2	4.079017706168361e-2	2.50193e-8	7	true	13582.2
10	44	2	4.008144046347407e-2	4.008141538777023e-2	2.50757e-8	7	true	13402.8
10	45	5	3.952521638567746e-2	3.952519092276750e-2	2.54629e-8	7	true	13360.1
10	46	2	3.881560422338440e-2	3.881557915097385e-2	2.50724e-8	7	true	14517.5
10	47	1	3.824977270774785e-2	3.824974769006054e-2	2.50177e-8	7	true	14991.7
10	48	2	3.776080970321475e-2	3.776078463382011e-2	2.50694e-8	7	true	14292.2
10	49	1	3.736636843880504e-2	3.736634342187240e-2	2.50169e-8	7	true	13982.2
10	50	10	3.724788623380489e-2	3.724785956718656e-2	2.66666e-8	7	true	11844.6
11	12	1	9.367009205790590e-2	9.367006927328836e-2	2.27846e-8	7	true	19895.3
11	13	1	8.692319913100360e-2	8.692317635080249e-2	2.27802e-8	7	true	19209.5
11	14	1	8.211193868530307e-2	8.211191590889116e-2	2.27764e-8	7	true	18758.3
11	15	1	7.836496035881071e-2	7.836493758567685e-2	2.27731e-8	7	true	17761.2
11	16	1	7.538809441526810e-2	7.538807164499745e-2	2.27703e-8	7	true	17683.9
11	17	1	7.268846998346885e-2	7.268844721573196e-2	2.27677e-8	7	true	17906.4
11	18	1	7.016648961462582e-2	7.016646684913469e-2	2.27655e-8	7	true	16748.6
11	19	1	6.815542634726707e-2	6.815540358379371e-2	2.27635e-8	7	true	16976.1
11	20	1	6.659451917864818e-2	6.659449641699418e-2	2.27617e-8	7	true	16930.1
11	21	1	6.562554308117644e-2	6.562552032116217e-2	2.27600e-8	7	true	16264.6
11	22	11	6.606861004875707e-2	6.606858353366994e-2	2.65151e-8	7	true	11999.1
11	23	1	6.211970368703299e-2	6.211968092987617e-2	2.27572e-8	7	true	15861.0
11	24	1	5.964367965790081e-2	5.964365690197691e-2	2.27559e-8	7	true	15781.0
11	25	1	5.768791479284904e-2	5.768789203808717e-2	2.27548e-8	7	true	16148.3
11	26	1	5.604209822397092e-2	5.604207547026102e-2	2.27537e-8	7	true	15542.2
11	27	1	5.464337543352471e-2	5.464335268079124e-2	2.27527e-8	7	true	15044.4
11	28	1	5.332995689061832e-2	5.332993413880804e-2	2.27518e-8	7	true	14649.8
11	29	1	5.207998925135640e-2	5.207996650038520e-2	2.27510e-8	7	true	15783.2
11	30	1	5.102074204376626e-2	5.102071929358369e-2	2.27502e-8	7	true	15618.4
11	31	1	5.014261793748506e-2	5.014259518804430e-2	2.27494e-8	7	true	16549.0
11	32	1	4.951655304025022e-2	4.951653029150672e-2	2.27487e-8	7	true	18231.6
11	33	11	4.951822174174124e-2	4.951819648928164e-2	2.52525e-8	7	true	14051.7
11	34	1	4.756307515673729e-2	4.756305240925480e-2	2.27475e-8	7	true	16693.7
11	35	1	4.625368641546367e-2	4.625366366855751e-2	2.27469e-8	7	true	15235.9
11	36	1	4.517530447123926e-2	4.517528172488242e-2	2.27464e-8	7	true	15914.4
11	37	1	4.423738288509310e-2	4.423736013926807e-2	2.27458e-8	7	true	15584.4
11	38	1	4.341578312022784e-2	4.341576037487666e-2	2.27454e-8	7	true	15509.1
11	39	1	4.263135042479019e-2	4.263132767991694e-2	2.27449e-8	7	true	14484.0
11	40	1	4.187630384086359e-2	4.187628109641996e-2	2.27444e-8	7	true	14025.3
11	41	1	4.121766027673103e-2	4.121763753270664e-2	2.27440e-8	7	true	13886.0
11	42	1	4.065404539232170e-2	4.065402264869940e-2	2.27436e-8	7	true	13707.9
11	43	1	4.022743560436335e-2	4.022741286110842e-2	2.27433e-8	7	true	14060.4
11	44	11	4.015229624041029e-2	4.015227161924363e-2	2.46212e-8	7	true	11585.8
11	45	1	3.897357238303929e-2	3.897354964053251e-2	2.27425e-8	7	true	13338.4
11	46	1	3.815413323428937e-2	3.815411049210997e-2	2.27422e-8	7	true	13590.2
11	47	1	3.746327244545224e-2	3.746324970358680e-2	2.27419e-8	7	true	13525.1
11	48	1	3.685107179824711e-2	3.685104905667774e-2	2.27416e-8	7	true	13871.4
11	49	1	3.630532849854540e-2	3.630530575726672e-2	2.27413e-8	7	true	13315.5
11	50	1	3.577923621496638e-2	3.577921347396389e-2	2.27410e-8	7	true	13571.3
12	13	1	8.709438164205288e-2	8.709436076425899e-2	2.08778e-8	7	true	20361.2
12	14	2	8.113566575643240e-2	8.113564475780102e-2	2.09986e-8	7	true	18376.3
12	15	3	7.690305715261932e-2	7.690303597211029e-2	2.11805e-8	7	true	18553.2
12	16	4	7.365365832693838e-2	7.365363691494531e-2	2.14120e-8	7	true	16359.1
12	17	1	7.055685025805587e-2	7.055682939072973e-2	2.08673e-8	7	true	18628.1
12	18	6	6.888762191693740e-2	6.888759992624932e-2	2.19907e-8	7	true	15315.2
12	19	1	6.596163478399948e-2	6.596161392025086e-2	2.08637e-8	7	true	17526.3
12	20	4	6.422244257408660e-2	6.422242127783476e-2	2.12963e-8	7	true	16675.5
12	21	3	6.250740619331883e-2	6.250738511201724e-2	2.10813e-8	7	true	16401.1
12	22	2	6.121432843720272e-2	6.121430749869867e-2	2.09385e-8	7	true	16387.9
12	23	1	6.044586872984689e-2	6.044584787140137e-2	2.08584e-8	7	true	16896.8
12	24	12	6.087854911035054e-2	6.087852480485401e-2	2.43055e-8	7	true	11927.6
12	25	1	5.746897946507789e-2	5.746895860865378e-2	2.08564e-8	7	true	16535.6
12	26	2	5.531380800109020e-2	5.531378707877125e-2	2.09223e-8	7	true	16274.3
12	27	3	5.362025519629583e-2	5.362023417010504e-2	2.10262e-8	7	true	14870.4
12	28	4	5.221275702647576e-2	5.221273586249726e-2	2.11640e-8	7	true	15162.3
12	29	1	5.084081309463486e-2	5.084079224139821e-2	2.08532e-8	7	true	15637.1
12	30	6	4.995642790967453e-2	4.995640638194780e-2	2.15277e-8	7	true	13816.1
12	31	1	4.861414540208427e-2	4.861412455012444e-2	2.08520e-8	7	true	15033.9
12	32	4	4.770739400009275e-2	4.770737287745676e-2	2.11226e-8	7	true	14999.6
12	33	3	4.680863066443625e-2	4.680860967332419e-2	2.09911e-8	7	true	14704.2
12	34	2	4.607931507858953e-2	4.607929417722314e-2	2.09014e-8	7	true	14558.3
12	35	1	4.557361998153900e-2	4.557359913172197e-2	2.08498e-8	7	true	15732.5
12	36	12	4.560214097370052e-2	4.560211782561256e-2	2.31481e-8	7	true	11363.8
12	37	1	4.391907511915387e-2	4.391905427024079e-2	2.08489e-8	7	true	15799.7
12	38	2	4.278604002072211e-2	4.278601912651563e-2	2.08942e-8	7	true	13754.7
12	39	3	4.185822548026453e-2	4.185820451344208e-2	2.09668e-8	7	true	14999.0
12	40	4	4.106071654674950e-2	4.106069548197890e-2	2.10648e-8	7	true	14236.6
12	41	1	4.027471714374256e-2	4.027469629633424e-2	2.08474e-8	7	true	15049.5
12	42	6	3.972942815134876e-2	3.972940682203751e-2	2.13293e-8	7	true	13204.6
12	43	1	3.894694287565504e-2	3.894692202890328e-2	2.08468e-8	7	true	14440.6
12	44	4	3.838651771118622e-2	3.838649666746716e-2	2.10437e-8	7	true	13518.7
12	45	3	3.782821125268471e-2	3.782819030365132e-2	2.09490e-8	7	true	13662.2
12	46	2	3.735915222366714e-2	3.735913134006300e-2	2.08836e-8	7	true	14207.2
12	47	1	3.701196166309897e-2	3.701194081748935e-2	2.08456e-8	7	true	14244.6
12	48	12	3.696409983653772e-2	3.696407726713494e-2	2.25694e-8	7	true	11952.2
12	49	1	3.595120200263729e-2	3.595118115753990e-2	2.08451e-8	7	true	13931.7
12	50	2	3.524446002098520e-2	3.524443914139685e-2	2.08796e-8	7	true	14226.5
13	14	1	8.138311819305660e-2	8.138309892709804e-2	1.92660e-8	7	true	20405.3
13	15	1	7.600551672831049e-2	7.600549746470489e-2	1.92636e-8	7	true	21027.6
13	16	1	7.209543796826984e-2	7.209541870672571e-2	1.92615e-8	7	true	19432.5
13	17	1	6.902502718188108e-2	6.902500792214361e-2	1.92597e-8	7	true	19331.4
13	18	1	6.641430417693647e-2	6.641428491881611e-2	1.92581e-8	7	true	18405.4
13	19	1	6.437887644209248e-2	6.437885718541478e-2	1.92567e-8	7	true	18037.7
13	20	1	6.240914382355800e-2	6.240912456817310e-2	1.92554e-8	7	true	19003.4
13	21	1	6.046227183836692e-2	6.046225258416271e-2	1.92542e-8	7	true	17721.7
13	22	1	5.893609343647772e-2	5.893607418333242e-2	1.92531e-8	7	true	17035.0
13	23	1	5.761939270529146e-2	5.761937345312363e-2	1.92522e-8	7	true	17281.5
13	24	1	5.661509148061181e-2	5.661507222933990e-2	1.92513e-8	7	true	16606.3
13	25	1	5.602531583294670e-2	5.602529658250396e-2	1.92504e-8	7	true	16479.2
13	26	13	5.644213211764113e-2	5.644210968179818e-2	2.24358e-8	7	true	13881.1
13	27	1	5.346605802003584e-2	5.346603877104875e-2	1.92490e-8	7	true	15515.6
13	28	1	5.155069239669088e-2	5.155067314834788e-2	1.92483e-8	7	true	16508.9
13	29	1	5.002047803579583e-2	5.002045878806637e-2	1.92477e-8	7	true	15589.3
13	30	1	4.872677689803872e-2	4.872675765087165e-2	1.92472e-8	7	true	16506.5
13	31	1	4.756819766242527e-2	4.756817841579060e-2	1.92466e-8	7	true	15588.1
13	32	1	4.659874401733256e-2	4.659872477120161e-2	1.92461e-8	7	true	15244.8
13	33	1	4.564511399524932e-2	4.564509474957831e-2	1.92457e-8	7	true	15967.0
13	34	1	4.469790469713551e-2	4.469788545190438e-2	1.92452e-8	7	true	15303.2
13	35	1	4.390624398413887e-2	4.390622473931915e-2	1.92448e-8	7	true	15010.3
13	36	1	4.319663465923473e-2	4.319661541481412e-2	1.92444e-8	7	true	15391.2
13	37	1	4.261535231161809e-2	4.261533306757165e-2	1.92440e-8	7	true	15213.6
13	38	1	4.221273032870131e-2	4.221271108499876e-2	1.92437e-8	7	true	15160.5
13	39	13	4.225864952470448e-2	4.225862815723867e-2	2.13675e-8	7	true	12019.1
13	40	1	4.079339619620894e-2	4.079337695315453e-2	1.92431e-8	7	true	14621.5
13	41	1	3.979275161526172e-2	3.979273237250950e-2	1.92428e-8	7	true	16322.2
13	42	1	3.896219024341897e-2	3.896217100094298e-2	1.92425e-8	7	true	14448.1
13	43	1	3.823795085534297e-2	3.823793161314567e-2	1.92422e-8	7	true	15028.3
13	44	1	3.757447757654612e-2	3.757445833461088e-2	1.92419e-8	7	true	14656.1
13	45	1	3.700165039674877e-2	3.700163115505875e-2	1.92417e-8	7	true	14317.0
13	46	1	3.643325386906187e-2	3.643323462761517e-2	1.92414e-8	7	true	13767.9
13	47	1	3.586596006962395e-2	3.586594082840257e-2	1.92412e-8	7	true	14162.9
13	48	1	3.537740383780514e-2	3.537738459681303e-2	1.92410e-8	7	true	14441.1
13	49	1	3.493095999705685e-2	3.493094075626229e-2	1.92408e-8	7	true	13374.3
13	50	1	3.455281421767455e-2	3.455279497708225e-2	1.92406e-8	7	true	13231.2
14	15	1	7.637667392936624e-2	7.637665604390775e-2	1.78855e-8	7	true	20932.6
14	16	2	7.155253681912803e-2	7.155251885573696e-2	1.79634e-8	7	true	19577.0
14	17	1	6.796520340533177e-2	6.796518552321813e-2	1.78821e-8	7	true	18870.8
14	18	2	6.515034821015762e-2	6.515033025856770e-2	1.79516e-8	7	true	20137.2
14	19	1	6.280463898195093e-2	6.280462110246800e-2	1.78795e-8	7	true	17462.2
14	20	2	6.079198649584058e-2	6.079196855370012e-2	1.79421e-8	7	true	17567.0
14	21	7	5.961342649569691e-2	5.961340764653570e-2	1.88492e-8	7	true	15583.1
