j	k	gcd	formula	integral	error	digits	certified	time_ms
1	22	1	7.645826781939333e-2	7.645801403170772e-2	2.53788e-7	6	true	11273.5
1	23	1	7.408856409073127e-2	7.408831046774576e-2	2.53623e-7	6	true	11331.4
1	24	1	7.187785585886766e-2	7.187760238706904e-2	2.53472e-7	6	true	11022.4
1	25	1	6.981004599671291e-2	6.980979266450957e-2	2.53332e-7	6	true	12048.8
1	26	1	6.787118005822002e-2	6.787092685318476e-2	2.53205e-7	6	true	12700.0
1	27	1	6.604909751120344e-2	6.604884442578986e-2	2.53085e-7	6	true	11724.4
1	28	1	6.433314936829022e-2	6.433289639220691e-2	2.52976e-7	6	true	13262.2
1	29	1	6.271396786766434e-2	6.271371499482238e-2	2.52873e-7	6	true	14454.9
1	30	1	6.118327729991159e-2	6.118302452213104e-2	2.52778e-7	6	true	14001.6
1	31	1	5.973373761786791e-2	5.973348493066361e-2	2.52687e-7	6	true	13899.4
1	32	1	5.835881435908378e-2	5.835856175632857e-2	2.52603e-7	6	true	12624.0
1	33	1	5.705266983392097e-2	5.705241730990835e-2	2.52524e-7	6	true	12296.1
1	34	1	5.581007161229680e-2	5.580981916204434e-2	2.52450e-7	6	true	13352.2
1	35	1	5.462631516840848e-2	5.462606278727514e-2	2.52381e-7	6	true	12174.0
1	36	1	5.349715817999486e-2	5.349690586597634e-2	2.52314e-7	6	true	12725.1
1	37	1	5.241876447376590e-2	5.241851222291230e-2	2.52251e-7	6	true	11909.0
1	38	1	5.138765599597932e-2	5.138740380386309e-2	2.52192e-7	6	true	11812.8
1	39	1	5.040067149223532e-2	5.040041935696182e-2	2.52135e-7	6	true	11505.3
1	40	1	4.945493082238424e-2	4.945467874078840e-2	2.52082e-7	6	true	12009.4
1	41	1	4.854780402927256e-2	4.854755199688436e-2	2.52032e-7	6	true	11131.9
1	42	1	4.767688443469355e-2	4.767663245029077e-2	2.51984e-7	6	true	11229.2
1	43	1	4.683996516059878e-2	4.683971322366078e-2	2.51937e-7	6	true	11051.2
1	44	1	4.603501857468682e-2	4.603476668073987e-2	2.51894e-7	6	true	12063.6
1	45	1	4.526017824179798e-2	4.525992639016652e-2	2.51852e-7	6	true	12440.5
1	46	1	4.451372302990383e-2	4.451347121911942e-2	2.51811e-7	6	true	12122.5
1	47	1	4.379406307485057e-2	4.379381130159170e-2	2.51773e-7	6	true	13328.0
1	48	1	4.309972735372750e-2	4.309947561734905e-2	2.51736e-7	6	true	14436.0
1	49	1	4.242935265462482e-2	4.242910095454151e-2	2.51700e-7	6	true	14125.4
1	50	1	4.178167376208181e-2	4.178142209756348e-2	2.51665e-7	6	true	13635.0
2	3	1	2.744368426127355e-1	2.744367106686070e-1	1.31944e-7	6	true	16347.8
2	4	2	2.611046279954365e-1	2.611044821624574e-1	1.45833e-7	6	true	12991.5
2	5	1	2.164052341247139e-1	2.164051049583535e-1	1.29166e-7	6	true	15565.8
2	6	2	2.041684013977586e-1	2.041682625092309e-1	1.38889e-7	6	true	12182.5
2	7	1	1.788527593842831e-1	1.788526314084155e-1	1.27976e-7	6	true	14303.3
2	8	2	1.697012656858930e-1	1.697011302694763e-1	1.35416e-7	6	true	12056.6
2	9	1	1.531816374839429e-1	1.531815101693931e-1	1.27315e-7	6	true	12805.7
2	10	2	1.462394311690245e-1	1.462392978359328e-1	1.33333e-7	6	true	11746.5
2	11	1	1.345117905802274e-1	1.345116636865238e-1	1.26894e-7	6	true	12268.9
2	12	2	1.290846242067051e-1	1.290844922626704e-1	1.31944e-7	6	true	11837.0
2	13	1	1.202784805416941e-1	1.202783539393520e-1	1.26602e-7	6	true	12468.2
2	14	2	1.159173045346712e-1	1.159171735825045e-1	1.30952e-7	6	true	11075.5
2	15	1	1.090342416824683e-1	1.090341152937717e-1	1.26389e-7	6	true	12023.6
2	16	2	1.054480441737382e-1	1.054479139656653e-1	1.30208e-7	6	true	11393.4
2	17	1	9.990346926292633e-2	9.990334303764385e-2	1.26225e-7	6	true	12050.7
2	18	2	9.689786420486060e-2	9.689773457544856e-2	1.29629e-7	6	true	12110.8
2	19	1	9.232530883742561e-2	9.232518274110928e-2	1.26096e-7	6	true	11927.9
2	20	2	8.976610258704106e-2	8.976597342066189e-2	1.29166e-7	6	true	11377.2
2	21	1	8.592344405881554e-2	8.592331806698468e-2	1.25992e-7	6	true	11856.3
2	22	2	8.371514578855842e-2	8.371501700091448e-2	1.28788e-7	6	true	11406.6
2	23	1	8.043559640728568e-2	8.043547050171819e-2	1.25906e-7	6	true	11995.9
2	24	2	7.850841564422892e-2	7.850828717215946e-2	1.28472e-7	6	true	11791.1
