i,row_gcd2_12,row_inv_max,row_total_excess
189,0.2890654423,0.6643935014,0.9534589436
190,0.2923446143,0.6630846738,0.9554292881
191,0.1102047046,0.6617826622,0.7719873668
192,0.4046700189,0.6604873960,1.0651574149
193,0.1101709730,0.6591988058,0.7693697788
194,0.1889777156,0.6579168230,0.8468945386
195,0.2980190143,0.6566413802,0.9546603946
196,0.3084448110,0.6553724111,0.9638172221
197,0.1101055613,0.6541098502,0.7642154116
198,0.3787160882,0.6528536333,1.0315697215
199,0.1100738401,0.6516036967,0.7616775368
200,0.3502396125,0.6503599781,1.0005995907
201,0.1714185502,0.6491224159,0.8205409662
202,0.1720142531,0.6478909495,0.8199052026
203,0.1541578973,0.6466655191,0.8008234163
204,0.3638687735,0.6454460658,1.0093148392
205,0.1606314251,0.6442325316,0.8048639567
206,0.1718736370,0.6430248593,0.8148984963
207,0.2179419244,0.6418229926,0.8597649170
208,0.2974196267,0.6406268759,0.9380465026
209,0.1477419042,0.6394364545,0.7871783587
210,0.4509268623,0.6382516744,1.0891785366
211,0.0932298304,0.6370724823,0.7303023127
212,0.2221267693,0.6358988259,0.8580255951
213,0.1708518859,0.6347306533,0.8055825392
214,0.1716081249,0.6335679136,0.8051760385
215,0.1592752528,0.6324105565,0.7916858093
216,0.4146898845,0.6312585324,1.0459484169
217,0.1522765733,0.6301117924,0.7823883657
218,0.1714826537,0.6289702881,0.8004529418
219,0.1686079708,0.6278339721,0.7964419429
220,0.3509752492,0.6267027973,0.9776780465
221,0.1451043452,0.6255767175,0.7706810627
222,0.2788091180,0.6244556870,0.9032648050
223,0.0930711741,0.6233396606,0.7164108347
224,0.3269001855,0.6222285940,0.9491287796
225,0.2883296593,0.6211224432,0.9094521025
226,0.1666157288,0.6200211649,0.7866368937
227,0.0930220117,0.6189247165,0.7119467282
228,0.3507442465,0.6178330556,0.9685773021
229,0.0929980738,0.6167461407,0.7097442145
230,0.2617240561,0.6156639307,0.8773879868
231,0.2640754478,0.6145863851,0.8786618329
