index	eigenvalue
0	-3.385793874532663e-1
1	5.615021023618378e-5
2	5.974861978204665e-5
3	6.094143685528124e-5
4	6.251659113695880e-5
5	6.490788247078413e-5
6	6.614358690489199e-5
7	6.697063300257690e-5
8	7.068469793933918e-5
9	7.138354062810738e-5
10	7.365044805669781e-5
11	7.584979666793737e-5
12	7.794547862883343e-5
13	8.028394155221994e-5
14	8.377758817402787e-5
15	8.728159715179652e-5
16	8.763833315305631e-5
17	9.181088471013433e-5
18	9.544875870189743e-5
19	9.588866439103744e-5
20	9.890182761505371e-5
21	1.031220356329207e-4
22	1.049159376977863e-4
23	1.066920440144955e-4
24	1.086010084305924e-4
25	1.132713190663872e-4
26	1.154556075490957e-4
27	1.201600328128531e-4
28	1.221109749987467e-4
29	1.263999937979213e-4
30	1.292134339104727e-4
31	1.312938696173880e-4
32	1.373407896519145e-4
33	1.409482631401286e-4
34	1.424784948965416e-4
35	1.459138060466356e-4
36	1.473184633113799e-4
37	1.539423383537983e-4
38	1.571306979749862e-4
39	1.627230446795623e-4
40	1.677664761926357e-4
41	1.688833943075491e-4
42	1.741761395026132e-4
43	1.813261576394842e-4
44	1.864794639251313e-4
45	1.877687588835452e-4
46	1.913605729445986e-4
47	1.987272894440589e-4
48	2.031772392192627e-4
49	2.163328989157588e-4
50	2.174472522110477e-4
51	2.234675908936502e-4
52	2.344579298755729e-4
53	2.432230219530224e-4
54	2.549250237308793e-4
55	2.608594057297466e-4
56	2.661248572858780e-4
57	2.783164203458315e-4
58	2.909346836887310e-4
59	2.932004469265522e-4
60	2.964892347003365e-4
61	3.142349691140116e-4
62	3.248915113620868e-4
63	3.351216685638199e-4
64	3.467031324714540e-4
65	3.494558628172732e-4
66	3.673686958473248e-4
67	3.690783517278146e-4
68	3.918249487154456e-4
69	4.007413813343868e-4
70	4.216393846599992e-4
71	4.276090897253360e-4
72	4.331384417916369e-4
73	4.582501098485372e-4
74	4.619642330751374e-4
75	4.831451310617101e-4
76	5.223710873477992e-4
77	5.402971052132919e-4
78	5.622424934330080e-4
79	5.840463224323447e-4
80	6.022887305343076e-4
81	6.228680488979868e-4
82	6.400205267169612e-4
83	6.605055060151957e-4
84	6.905015487853187e-4
85	7.336269611171036e-4
86	7.468979043078841e-4
87	7.953873271324051e-4
88	8.086121487643655e-4
89	8.262267449940914e-4
90	9.296883833284696e-4
91	9.419425114835857e-4
92	1.011883057872188e-3
93	1.096555621618809e-3
94	1.117811295236519e-3
95	1.169575595906570e-3
96	1.186882362381249e-3
97	1.279949154539792e-3
98	1.299637713542335e-3
99	1.355136683659376e-3
100	1.481101429702276e-3
101	1.487526652508952e-3
102	1.574444124363772e-3
103	1.657609299509761e-3
104	1.686150170033884e-3
105	1.720770370105638e-3
106	1.843932623369533e-3
107	2.008846616603552e-3
108	2.038038788854017e-3
109	2.095723149109055e-3
110	2.273690537809137e-3
111	2.358410155349052e-3
112	2.472085716206552e-3
113	2.579851318137530e-3
114	2.815538241488823e-3
115	2.950765683132438e-3
116	3.454091824785861e-3
117	3.984748658158065e-3
118	4.340596807120999e-3
119	4.784030161414753e-3
120	4.895289464839235e-3
121	5.602992904416989e-3
122	6.098954958047630e-3
123	6.701783129964772e-3
124	7.052041217908778e-3
125	7.292006008435644e-3
126	9.140601959648081e-3
127	9.918944722354339e-3
128	1.077880343400494e-2
129	1.292906210913005e-2
130	1.373403187249560e-2
131	1.646928603172160e-2
132	1.766166408116260e-2
133	2.054536838048433e-2
134	2.264481610492383e-2
135	2.296092820883935e-2
136	2.371131327769383e-2
137	2.511970649188997e-2
138	2.571367647852067e-2
139	2.682839422216607e-2
140	2.830277719245739e-2
141	3.239973619724273e-2
142	3.525718161619270e-2
143	4.164998481111296e-2
144	4.750013143877649e-2
145	6.318463508233399e-2
146	8.004709133457504e-2
147	2.191963982035750e-1
148	1.489249970516305e0
