j	k	G_jk	abs_G_jk	product_maxjk
1	1751	2.206956112138357e-3	2.206956112138357e-3	3.864380152354263e0
1	1761	2.196040372463549e-3	2.196040372463549e-3	3.867227095908310e0
1	1771	2.185238803512611e-3	2.185238803512611e-3	3.870057921020833e0
1	1781	2.174549584042241e-3	2.174549584042241e-3	3.872872809179232e0
1	1791	2.163970931782713e-3	2.163970931782713e-3	3.875671938822840e0
1	1801	2.153501102393561e-3	2.153501102393561e-3	3.878455485410803e0
1	1811	2.143138388452832e-3	2.143138388452832e-3	3.881223621488078e0
1	1821	2.132881118478642e-3	2.132881118478642e-3	3.883976516749607e0
1	1831	2.122727655981839e-3	2.122727655981839e-3	3.886714338102748e0
1	1841	2.112676398548610e-3	2.112676398548610e-3	3.889437249727992e0
1	1851	2.102725776951943e-3	2.102725776951943e-3	3.892145413138047e0
1	1861	2.092874254290877e-3	2.092874254290877e-3	3.894838987235322e0
1	1871	2.083120325156535e-3	2.083120325156535e-3	3.897518128367877e0
1	1881	2.073462514823964e-3	2.073462514823964e-3	3.900182990383877e0
1	1891	2.063899378468856e-3	2.063899378468856e-3	3.902833724684606e0
1	1901	2.054429500408250e-3	2.054429500408250e-3	3.905470480276084e0
1	1911	2.045051493364377e-3	2.045051493364377e-3	3.908093403819325e0
1	1921	2.035763997750801e-3	2.035763997750801e-3	3.910702639679288e0
1	1931	2.026565680980092e-3	2.026565680980092e-3	3.913298329972557e0
1	1941	2.017455236792267e-3	2.017455236792267e-3	3.915880614613790e0
1	1951	2.008431384603264e-3	2.008431384603264e-3	3.918449631360969e0
1	1961	1.999492868872771e-3	1.999492868872771e-3	3.921005515859504e0
1	1971	1.990638458490717e-3	1.990638458490717e-3	3.923548401685204e0
1	1981	1.981866946181814e-3	1.981866946181814e-3	3.926078420386172e0
1	1991	1.973177147927493e-3	1.973177147927493e-3	3.928595701523638e0
11	11	1.063411191453383e-1	1.063411191453383e-1	1.169752310598722e0
11	21	6.562554308117644e-2	6.562554308117644e-2	1.378136404704705e0
11	31	5.014261793748506e-2	5.014261793748506e-2	1.554421156062037e0
11	41	4.121766027673103e-2	4.121766027673103e-2	1.689924071345972e0
11	51	3.526922388513066e-2	3.526922388513066e-2	1.798730418141664e0
11	61	3.097939466560146e-2	3.097939466560146e-2	1.889743074601689e0
11	71	2.769913146567325e-2	2.769913146567325e-2	1.966638334062801e0
11	81	2.510228469933019e-2	2.510228469933019e-2	2.033285060645746e0
11	91	2.300265064983544e-2	2.300265064983544e-2	2.093241209135025e0
11	101	2.126682389876112e-2	2.126682389876112e-2	2.147949213774873e0
11	111	1.981199384058973e-2	1.981199384058973e-2	2.199131316305460e0
11	121	1.860185220197681e-2	1.860185220197681e-2	2.250824116439194e0
11	131	1.741342677716525e-2	1.741342677716525e-2	2.281158907808648e0
11	141	1.641525563733380e-2	1.641525563733380e-2	2.314551044864066e0
11	151	1.554509086012691e-2	1.554509086012691e-2	2.347308719879164e0
11	161	1.477531371182924e-2	1.477531371182924e-2	2.378825507604508e0
11	171	1.408837650581906e-2	1.408837650581906e-2	2.409112382495059e0
11	181	1.346778829025735e-2	1.346778829025735e-2	2.437669680536581e0
11	191	1.290415880216001e-2	1.290415880216001e-2	2.464694331212562e0
11	201	1.239238258942987e-2	1.239238258942987e-2	2.490868900475404e0
11	211	1.192566016566786e-2	1.192566016566786e-2	2.516314294955919e0
11	221	1.149990361979557e-2	1.149990361979557e-2	2.541478699974820e0
11	231	1.111778948884489e-2	1.111778948884489e-2	2.568209371923170e0
11	241	1.072438096468499e-2	1.072438096468499e-2	2.584575812489084e0
11	251	1.037073983324229e-2	1.037073983324229e-2	2.603055698143814e0
11	261	1.004485749902711e-2	1.004485749902711e-2	2.621707807246076e0
11	271	9.742237622704269e-3	9.742237622704269e-3	2.640146395752857e0
11	281	9.460207848167429e-3	9.460207848167429e-3	2.658318405335047e0
11	291	9.195381354303761e-3	9.195381354303761e-3	2.675855974102394e0
11	301	8.946198584730196e-3	8.946198584730196e-3	2.692805774003789e0
11	311	8.712372619107298e-3	8.712372619107298e-3	2.709547884542370e0
11	321	8.492604716889873e-3	8.492604716889873e-3	2.726126114121649e0
11	331	8.286435115592298e-3	8.286435115592298e-3	2.742810023261050e0
11	341	8.096295528577168e-3	8.096295528577168e-3	2.760836775244814e0
11	351	7.897558674508195e-3	7.897558674508195e-3	2.772043094752376e0
11	361	7.714180545649693e-3	7.714180545649693e-3	2.784819176979539e0
11	371	7.541396616854650e-3	7.541396616854650e-3	2.797858144853075e0
11	381	7.377664177317108e-3	7.377664177317108e-3	2.810890051557818e0
11	391	7.222175177519961e-3	7.222175177519961e-3	2.823870494410305e0
11	401	7.073628977412726e-3	7.073628977412726e-3	2.836525219942503e0
11	411	6.931562561028570e-3	6.931562561028570e-3	2.848872212582742e0
11	421	6.796150389647973e-3	6.796150389647973e-3	2.861179314041796e0
11	431	6.666991565962543e-3	6.666991565962543e-3	2.873473364929856e0
11	441	6.544108821231569e-3	6.544108821231569e-3	2.885951990163122e0
11	451	6.429159366499078e-3	6.429159366499078e-3	2.899550874291084e0
11	461	6.308179913826558e-3	6.308179913826558e-3	2.908070940274043e0
11	471	6.194976523929042e-3	6.194976523929042e-3	2.917833942770579e0
11	481	6.087020517406061e-3	6.087020517406061e-3	2.927856868872315e0
11	491	5.983572423754067e-3	5.983572423754067e-3	2.937934060063247e0
11	501	5.884291907242518e-3	5.884291907242518e-3	2.948030245528502e0
11	511	5.788510789667616e-3	5.788510789667616e-3	2.957929013520152e0
11	521	5.696044517585741e-3	5.696044517585741e-3	2.967639193662171e0
11	531	5.607097735362288e-3	5.607097735362288e-3	2.977368897477375e0
11	541	5.521512608326149e-3	5.521512608326149e-3	2.987138321104447e0
11	551	5.439391718258077e-3	5.439391718258077e-3	2.997104836760200e0
11	561	5.361893331530020e-3	5.361893331530020e-3	3.008022158988341e0
11	571	5.280025911896131e-3	5.280025911896131e-3	3.014894795692691e0
11	581	5.202744852804165e-3	5.202744852804165e-3	3.022794759479220e0
11	591	5.128485390023379e-3	5.128485390023379e-3	3.030934865503817e0
11	601	5.056821280578315e-3	5.056821280578315e-3	3.039149589627567e0
11	611	4.987578205377506e-3	4.987578205377506e-3	3.047410283485656e0
11	621	4.920352386287358e-3	4.920352386287358e-3	3.055538831884450e0
11	631	4.855055861416355e-3	4.855055861416355e-3	3.063540248553720e0
11	641	4.791864527603992e-3	4.791864527603992e-3	3.071585162194159e0
11	651	4.730706898889237e-3	4.730706898889237e-3	3.079690191176893e0
