k,mu,c_star,f_k,f_sqrt_k
1,1,-0.7991269241,0.7991269241,0.7991269241
2,-1,0.8696545187,0.8696545187,1.2298772150
3,-1,0.8475772216,0.8475772216,1.4680468111
5,-1,0.6677967251,0.6677967251,1.4932388725
6,1,-0.4050183170,0.4050183170,0.9920882130
7,-1,0.5482964706,0.5482964706,1.4506561059
10,1,-0.1280302800,0.1280302800,0.4048672942
