k,mu,c_star,f_k,f_sqrt_k
1,1,-0.8976062371,0.8976062371,0.8976062371
2,-1,0.9292943246,0.9292943246,1.3142206373
3,-1,0.9171085138,0.9171085138,1.5884785420
5,-1,0.8026192672,0.8026192672,1.7947112415
6,1,-0.6581367525,0.6581367525,1.6120992246
7,-1,0.7352028496,0.7352028496,1.9451639033
10,1,-0.5656233450,0.5656233450,1.7886580678
11,-1,0.6118072514,0.6118072514,2.0291350970
13,-1,0.5874978205,0.5874978205,2.1182535161
14,1,-0.4846795227,0.4846795227,1.8135047164
15,1,-0.5262571290,0.5262571290,2.0381850963
17,-1,0.4691372964,0.4691372964,1.9343026261
19,-1,0.4490911436,0.4490911436,1.9575429116
21,1,-0.5103912879,0.5103912879,2.3389067110
22,1,-0.3771143350,0.3771143350,1.7688230202
23,-1,0.4841095518,0.4841095518,2.3217078492
26,1,-0.3520741177,0.3520741177,1.7952327965
29,-1,0.2620901942,0.2620901942,1.4113988901
30,-1,0.4584055717,0.4584055717,2.5107907212
31,-1,0.2780989005,0.2780989005,1.5483891478
33,1,-0.2876401413,0.2876401413,1.6523668114
34,1,-0.2974940000,0.2974940000,1.7346732032
35,1,-0.2651447251,0.2651447251,1.5686173477
37,-1,0.3334559239,0.3334559239,2.0283331997
38,1,-0.3469441856,0.3469441856,2.1387075962
39,1,-0.3144850130,0.3144850130,1.9639582768
41,-1,0.2662072147,0.2662072147,1.7045578687
42,-1,0.4069261876,0.4069261876,2.6371831054
43,-1,0.2050363367,0.2050363367,1.3445131729
46,1,-0.3845379270,0.3845379270,2.6080631119
47,-1,0.2311889453,0.2311889453,1.5849515562
