# Báez-Duarte Distance Certification (512-bit MPFR)
# Lean theorem: nyman_beurling_equivalence_mellin
# Columns: N	d2_N	bd_predicted	X	X_over_lnN
10	2.281400325025429e-2	2.006067791925962e-2	42.832728041224	18.6020174332
20	1.608460655234867e-2	1.541907410752790e-2	61.171244086414	20.4194629228
50	1.165245070006071e-2	1.180755273375154e-2	84.818856971846	21.6815844013
100	1.002739055625279e-2	1.003033895962981e-2	98.726842630701	21.4382614851
