k,mu,c_star,f_k,f_sqrt_k
1,1,-0.9352938726,0.9352938726,0.9352938726
2,-1,0.9540197813,0.9540197813,1.3491877135
3,-1,0.9474473159,0.9474473159,1.6410268887
5,-1,0.8731664763,0.8731664763,1.9524595967
6,1,-0.7707903181,0.7707903181,1.8880429779
7,-1,0.8151524123,0.8151524123,2.1566905635
10,1,-0.7199775179,0.7199775179,2.2767688208
11,-1,0.7601178168,0.7601178168,2.5210255949
13,-1,0.7281496009,0.7281496009,2.6253807224
14,1,-0.6597388174,0.6597388174,2.4685166195
15,1,-0.6798551663,0.6798551663,2.6330677371
17,-1,0.6826797005,0.6826797005,2.8147605135
19,-1,0.6510672113,0.6510672113,2.8379361797
21,1,-0.6199299312,0.6199299312,2.8408758352
22,1,-0.6043452302,0.6043452302,2.8346303923
23,-1,0.6284654536,0.6284654536,3.0140144337
26,1,-0.5757120353,0.5757120353,2.9355669021
29,-1,0.6031615687,0.6031615687,3.2481244526
30,-1,0.5032161986,0.5032161986,2.7562286328
31,-1,0.5935691004,0.5935691004,3.3048528841
33,1,-0.6070651580,0.6070651580,3.4873238307
34,1,-0.5162012736,0.5162012736,3.0099447944
35,1,-0.5583772675,0.5583772675,3.3034044637
37,-1,0.5897531172,0.5897531172,3.5873281632
38,1,-0.5095507155,0.5095507155,3.1410815661
39,1,-0.5635297417,0.5635297417,3.5192421090
41,-1,0.5619058118,0.5619058118,3.5979527228
42,-1,0.4838201573,0.4838201573,3.1355129841
43,-1,0.5324624182,0.5324624182,3.4915895736
46,1,-0.5248079495,0.5248079495,3.5594206912
47,-1,0.5741819141,0.5741819141,3.9363928812
51,1,-0.5132679612,0.5132679612,3.6654664098
53,-1,0.5282290434,0.5282290434,3.8455654825
55,1,-0.5185367571,0.5185367571,3.8455715134
57,1,-0.5076035936,0.5076035936,3.8323230904
58,1,-0.4704379154,0.4704379154,3.5827484242
59,-1,0.5267297180,0.5267297180,4.0458877339
61,-1,0.4844989163,0.4844989163,3.7840575038
62,1,-0.4596269664,0.4596269664,3.6191063529
65,1,-0.5628436986,0.5628436986,4.5377909703
66,-1,0.4733453625,0.4733453625,3.8454759036
67,-1,0.4985657008,0.4985657008,4.0809361409
69,1,-0.4439710796,0.4439710796,3.6879007646
70,-1,0.4768808283,0.4768808283,3.9898712643
71,-1,0.4661390125,0.4661390125,3.9277571343
73,-1,0.4644820906,0.4644820906,3.9685367214
74,1,-0.5549523912,0.5549523912,4.7738809768
77,1,-0.5127561743,0.5127561743,4.4994171692
78,-1,0.4618199193,0.4618199193,4.0786830908
79,-1,0.4629280052,0.4629280052,4.1145941118
82,1,-0.4581586079,0.4581586079,4.1488026484
83,-1,0.4102420698,0.4102420698,3.7374831280
85,1,-0.4326932566,0.4326932566,3.9892347158
86,1,-0.3707892461,0.3707892461,3.4385580107
87,1,-0.4734957932,0.4734957932,4.4164747429
89,-1,0.4460042810,0.4460042810,4.2075959713
91,1,-0.4433465805,0.4433465805,4.2292568291
93,1,-0.4244165928,0.4244165928,4.0929253983
94,1,-0.4245030234,0.4245030234,4.1157095123
95,1,-0.4200208036,0.4200208036,4.0938563930
97,-1,0.4905760416,0.4905760416,4.8316136750
101,-1,0.4156510792,0.4156510792,4.1772416478
102,-1,0.3183562668,0.3183562668,3.2152406883
103,-1,0.3230469634,0.3230469634,3.2785686024
105,-1,0.4456041278,0.4456041278,4.5660835591
106,1,-0.3757736052,0.3757736052,3.8688260559
107,-1,0.3200555579,0.3200555579,3.3106804340
109,-1,0.3764522473,0.3764522473,3.9302768473
110,-1,0.3588385793,0.3588385793,3.7635307701
111,1,-0.4391434569,0.4391434569,4.6266634100
113,-1,0.3953438721,0.3953438721,4.2025630061
114,-1,0.3773220247,0.3773220247,4.0286967837
115,1,-0.3713890064,0.3713890064,3.9827033937
118,1,-0.4002666888,0.4002666888,4.3480091787
119,1,-0.4180723266,0.4180723266,4.5606306536
122,1,-0.3454468734,0.3454468734,3.8155854285
123,1,-0.4109586682,0.4109586682,4.5577521123
127,-1,0.3674914241,0.3674914241,4.1414180228
129,1,-0.3874389618,0.3874389618,4.4004607078
130,-1,0.4843177561,0.4843177561,5.5220720343
131,-1,0.4342921951,0.4342921951,4.9707013695
133,1,-0.4258278533,0.4258278533,4.9108863729
134,1,-0.4151783941,0.4151783941,4.8060373761
137,-1,0.3701104842,0.3701104842,4.3320321517
138,-1,0.2932735175,0.2932735175,3.4451837596
139,-1,0.3786201498,0.3786201498,4.4638657327
141,1,-0.4194606728,0.4194606728,4.9808195214
142,1,-0.3789801277,0.3789801277,4.5160694279
143,1,-0.4310419161,0.4310419161,5.1545116244
145,1,-0.3510521905,0.3510521905,4.2272281545
146,1,-0.3606089048,0.3606089048,4.3572539750
149,-1,0.3797008621,0.3797008621,4.6348396903
151,-1,0.3807772754,0.3807772754,4.6790694969
154,-1,0.4508952937,0.4508952937,5.5954634431
155,1,-0.3938205813,0.3938205813,4.9030266965
157,-1,0.3973772685,0.3973772685,4.9791229028
158,1,-0.3621355038,0.3621355038,4.5519726995
159,1,-0.4157037788,0.4157037788,5.2418252012
161,1,-0.3944667566,0.3944667566,5.0052220280
163,-1,0.3465499446,0.3465499446,4.4244535079
165,-1,0.4586981840,0.4586981840,5.8920848574
166,1,-0.2577025026,0.2577025026,3.3202644860
167,-1,0.3413673313,0.3413673313,4.4114381285
170,-1,0.2589671528,0.2589671528,3.3765185707
173,-1,0.3568510385,0.3568510385,4.6936425951
174,-1,0.4112222062,0.4112222062,5.4243934503
177,1,-0.3634127186,0.3634127186,4.8348917585
178,1,-0.3738124124,0.3738124124,4.9872796287
179,-1,0.2776137926,0.2776137926,3.7142194062
181,-1,0.3431317922,0.3431317922,4.6163661306
182,-1,0.2755795263,0.2755795263,3.7177710673
183,1,-0.3587196900,0.3587196900,4.8526700209
185,1,-0.3864775083,0.3864775083,5.2566624316
186,-1,0.3602322210,0.3602322210,4.9129124834
187,1,-0.3417058855,0.3417058855,4.6727577065
190,-1,0.3513493377,0.3513493377,4.8430164001
191,-1,0.3607199689,0.3607199689,4.9852491547
193,-1,0.2750552521,0.2750552521,3.8211896844
194,1,-0.3582872516,0.3582872516,4.9903639547
195,-1,0.3948419775,0.3948419775,5.5136681532
197,-1,0.3407555555,0.3407555555,4.7827321351
199,-1,0.3505248317,0.3505248317,4.9447612552
201,1,-0.3809395557,0.3809395557,5.4007503143
202,1,-0.2838313707,0.2838313707,4.0340017223
203,1,-0.2746939299,0.2746939299,3.9137860553
205,1,-0.3466120465,0.3466120465,4.9627292605
206,1,-0.1217792795,0.1217792795,1.7478614759
209,1,-0.3372333412,0.3372333412,4.8753258582
210,1,-0.3680473373,0.3680473373,5.3335126258
211,-1,0.2798306100,0.2798306100,4.0647744004
213,1,-0.3018064911,0.3018064911,4.4047207255
214,1,-0.1205198580,0.1205198580,1.7630535281
215,1,-0.3399437593,0.3399437593,4.9845539714
217,1,-0.2704249256,0.2704249256,3.9836079074
218,1,-0.2490018589,0.2490018589,3.6764683890
219,1,-0.3247767581,0.3247767581,4.8062571123
221,1,-0.2779168577,0.2779168577,4.1315311125
222,-1,0.4438556561,0.4438556561,6.6133003294
223,-1,0.3016610951,0.3016610951,4.5047607966
226,1,-0.2541067988,0.2541067988,3.8200628178
227,-1,0.2544955803,0.2544955803,3.8343625395
229,-1,0.2567241010,0.2567241010,3.8849405996
230,-1,0.3187704334,0.3187704334,4.8343929839
231,-1,0.4073076545,0.4073076545,6.1905403948
233,-1,0.2585243878,0.2585243878,3.9462035135
235,1,-0.3997272609,0.3997272609,6.1277028756
237,1,-0.3036477217,0.3036477217,4.6745972574
238,-1,0.3168914036,0.3168914036,4.8887624692
239,-1,0.2973999002,0.2973999002,4.5976908828
241,-1,0.2240025434,0.2240025434,3.4774546167
246,-1,0.3627582472,0.3627582472,5.6896407872
247,1,-0.2159579102,0.2159579102,3.3940449749
249,1,-0.3546687507,0.3546687507,5.5965784866
251,-1,0.1879359147,0.1879359147,2.9774648466
253,1,-0.2581546360,0.2581546360,4.1062008555
254,1,-0.2148776505,0.2148776505,3.4245862211
255,-1,0.3147123068,0.3147123068,5.0255525257
257,-1,0.1610324285,0.1610324285,2.5815462144
258,-1,0.3267824389,0.3267824389,5.2489031890
259,1,-0.3035605678,0.3035605678,4.8853449977
262,1,-0.2390859181,0.2390859181,3.8699436658
263,-1,0.1846921272,0.1846921272,2.9952029698
265,1,-0.2704068193,0.2704068193,4.4019040998
266,-1,0.2839317084,0.2839317084,4.6307860232
267,1,-0.3097395819,0.3097395819,5.0611864703
269,-1,0.2082777363,0.2082777363,3.4160088623
271,-1,0.2310040111,0.2310040111,3.8028059646
273,-1,0.2517974786,0.2517974786,4.1603771312
274,1,-0.1952340383,0.1952340383,3.2316983681
277,-1,0.2209472861,0.2209472861,3.6772957177
278,1,-0.2379030154,0.2379030154,3.9666359597
281,-1,0.2289220078,0.2289220078,3.8374321192
282,-1,0.3799605340,0.3799605340,6.3806223903
283,-1,0.1633908992,0.1633908992,2.7486603687
285,-1,0.3021248574,0.3021248574,5.1004546272
286,-1,0.3175225958,0.3175225958,5.3697943418
287,1,-0.2567690075,0.2567690075,4.3499428457
290,-1,0.1429932589,0.1429932589,2.4350874533
291,1,-0.3130609743,0.3130609743,5.3404201634
293,-1,0.2700837455,0.2700837455,4.6230890399
295,1,-0.2900494004,0.2900494004,4.9817620510
298,1,-0.2855976660,0.2855976660,4.9301801172
299,1,-0.2554166195,0.2554166195,4.4165662241
301,1,-0.1760474317,0.1760474317,3.0543087868
302,1,-0.2265444521,0.2265444521,3.9369228351
303,1,-0.2681455663,0.2681455663,4.6675817674
305,1,-0.2025969270,0.2025969270,3.5382032188
307,-1,0.1890228774,0.1890228774,3.3119483684
309,1,-0.1001781915,0.1001781915,1.7609719037
310,-1,0.3396356938,0.3396356938,5.9799034601
311,-1,0.1250331159,0.1250331159,2.2049830158
313,-1,0.2455382424,0.2455382424,4.3440149532
314,1,-0.2926285697,0.2926285697,5.1853914654
317,-1,0.0980318443,0.0980318443,1.7454073659
318,-1,0.2429308145,0.2429308145,4.3320769898
319,1,-0.2204869898,0.2204869898,3.9380235575
321,1,-0.1483924982,0.1483924982,2.6586701685
322,-1,0.3817838974,0.3817838974,6.8508671039
323,1,-0.0856089397,0.0856089397,1.5385810502
326,1,-0.1679343177,0.1679343177,3.0321330487
327,1,-0.2170159506,0.2170159506,3.9243301038
329,1,-0.1954874974,0.1954874974,3.5458220463
330,1,-0.2770035926,0.2770035926,5.0320201508
331,-1,0.2723262330,0.2723262330,4.9545415572
334,1,-0.2957451370,0.2957451370,5.4049396063
335,1,-0.3176874928,0.3176874928,5.8146358389
337,-1,0.2259343449,0.2259343449,4.1476032371
339,1,-0.1989676118,0.1989676118,3.6633822444
341,1,-0.2091168210,0.2091168210,3.8615899680
345,-1,0.2045436583,0.2045436583,3.7992298315
346,1,-0.2738497064,0.2738497064,5.0938989922
347,-1,0.1530366853,0.1530366853,2.8507575801
349,-1,0.1703696813,0.1703696813,3.1827683037
353,-1,0.1829205029,0.1829205029,3.4367642286
354,-1,0.3383685783,0.3383685783,6.3663668096
355,1,-0.1569954663,0.1569954663,2.9580212372
357,-1,0.3180027909,0.3180027909,6.0084858066
358,1,-0.2464476299,0.2464476299,4.6630079854
359,-1,0.1236838858,0.1236838858,2.3434751112
362,1,-0.2567679040,0.2567679040,4.8853425539
365,1,-0.2186718221,0.2186718221,4.1777192959
366,-1,0.2465970056,0.2465970056,4.7176785006
367,-1,0.1774456447,0.1774456447,3.3993695228
370,-1,0.4455724206,0.4455724206,8.5707566374
371,1,-0.1743692554,0.1743692554,3.3585890514
