a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	sum_pcl	delta_target	identity_err	certified
5	13	4	true	true	true	0.000000e0	8.900295e-308	0.000000e0	7.120236e-307	-1.396551501922039e-2	-1.396551501922039e-2	2.937874e-125	true
5	14	4	true	true	true	0.000000e0	8.900295e-308	0.000000e0	3.560118e-307	-9.245713283648704e-3	-9.245713283648704e-3	3.069029e-125	true
5	16	4	true	true	true	0.000000e0	0.000000e0	0.000000e0	3.560118e-307	-1.096439058249286e-2	-1.096439058249286e-2	3.282156e-125	true
5	17	4	true	true	true	0.000000e0	8.900295e-308	0.000000e0	0.000000e0	-8.892543556636436e-3	-8.892543556636436e-3	3.369914e-125	true
5	18	4	true	true	true	0.000000e0	8.900295e-308	0.000000e0	7.120236e-307	-7.548965052993323e-3	-7.548965052993323e-3	3.447922e-125	true
5	19	4	true	true	true	0.000000e0	0.000000e0	0.000000e0	7.120236e-307	-5.106538723317317e-3	-5.106538723317317e-3	3.517718e-125	true
6	7	5	true	true	true	0.000000e0	8.900295e-308	1.780059e-307	0.000000e0	-5.339704926729147e-2	-5.339704926729147e-2	5.683387e-126	true
6	11	5	true	true	true	0.000000e0	1.335044e-307	1.780059e-307	3.560118e-307	-1.616129038305656e-2	-1.616129038305656e-2	1.808351e-125	true
6	13	5	true	true	true	0.000000e0	8.900295e-308	1.780059e-307	7.120236e-307	-1.874450727043455e-2	-1.874450727043455e-2	2.142200e-125	true
6	17	5	true	true	true	0.000000e0	8.900295e-308	1.780059e-307	0.000000e0	-6.965303746528926e-3	-6.965303746528926e-3	2.574240e-125	true
6	19	5	true	true	true	0.000000e0	0.000000e0	1.780059e-307	7.120236e-307	-9.540116382744632e-3	-9.540116382744632e-3	2.722043e-125	true
7	8	6	true	true	true	8.900295e-308	4.450148e-308	0.000000e0	0.000000e0	-4.776464736813617e-2	-4.776464736813617e-2	4.262541e-126	true
7	9	6	true	true	true	8.900295e-308	0.000000e0	0.000000e0	3.560118e-307	-3.835148625200363e-2	-3.835148625200363e-2	7.577850e-126	true
7	10	6	true	true	true	8.900295e-308	0.000000e0	0.000000e0	1.780059e-307	-3.028055878354058e-2	-3.028055878354058e-2	1.023010e-125	true
7	11	6	true	true	true	8.900295e-308	1.335044e-307	0.000000e0	3.560118e-307	-2.642001435517083e-2	-2.642001435517083e-2	1.240012e-125	true
7	12	6	true	true	true	8.900295e-308	0.000000e0	0.000000e0	3.560118e-307	-1.998129556421922e-2	-1.998129556421922e-2	1.420847e-125	true
7	13	6	true	true	true	8.900295e-308	8.900295e-308	0.000000e0	7.120236e-307	-1.259415776232919e-2	-1.259415776232919e-2	1.573861e-125	true
7	15	6	true	true	true	8.900295e-308	1.780059e-307	0.000000e0	3.560118e-307	-1.660754880320063e-2	-1.660754880320063e-2	1.818684e-125	true
7	16	6	true	true	true	8.900295e-308	0.000000e0	0.000000e0	3.560118e-307	-1.404979436259100e-2	-1.404979436259100e-2	1.918143e-125	true
7	17	6	true	true	true	8.900295e-308	8.900295e-308	0.000000e0	0.000000e0	-1.165059449648063e-2	-1.165059449648063e-2	2.005901e-125	true
7	18	6	true	true	true	8.900295e-308	8.900295e-308	0.000000e0	7.120236e-307	-1.070799838083642e-2	-1.070799838083642e-2	2.083909e-125	true
7	19	6	true	true	true	8.900295e-308	0.000000e0	0.000000e0	7.120236e-307	-8.393652252137347e-3	-8.393652252137347e-3	2.153705e-125	true
7	20	6	true	true	true	8.900295e-308	0.000000e0	0.000000e0	7.120236e-307	-5.453716748817563e-3	-5.453716748817563e-3	2.216521e-125	true
8	9	7	true	true	true	4.450148e-308	0.000000e0	0.000000e0	3.560118e-307	-4.312698645689073e-2	-4.312698645689073e-2	3.315309e-126	true
8	11	7	true	true	true	4.450148e-308	1.335044e-307	0.000000e0	3.560118e-307	-2.984407694634372e-2	-2.984407694634372e-2	8.137577e-126	true
8	13	7	true	true	true	4.450148e-308	8.900295e-308	0.000000e0	7.120236e-307	-2.065293617753028e-2	-2.065293617753028e-2	1.147607e-125	true
8	15	7	true	true	true	4.450148e-308	1.780059e-307	0.000000e0	3.560118e-307	-1.012098697628792e-2	-1.012098697628792e-2	1.392430e-125	true
8	17	7	true	true	true	4.450148e-308	8.900295e-308	0.000000e0	0.000000e0	-1.488761996337909e-2	-1.488761996337909e-2	1.579647e-125	true
8	19	7	true	true	true	4.450148e-308	0.000000e0	0.000000e0	7.120236e-307	-1.128160115902596e-2	-1.128160115902596e-2	1.727451e-125	true
9	10	8	true	true	true	0.000000e0	0.000000e0	3.560118e-307	1.780059e-307	-3.926807988963446e-2	-3.926807988963446e-2	2.652247e-126	true
9	11	8	true	true	true	0.000000e0	1.335044e-307	3.560118e-307	3.560118e-307	-3.310559838397045e-2	-3.310559838397045e-2	4.822268e-126	true
9	13	8	true	true	true	0.000000e0	8.900295e-308	3.560118e-307	7.120236e-307	-2.273129476642186e-2	-2.273129476642186e-2	8.160761e-126	true
9	14	8	true	true	true	0.000000e0	8.900295e-308	3.560118e-307	3.560118e-307	-2.143905227321764e-2	-2.143905227321764e-2	9.472312e-126	true
9	16	8	true	true	true	0.000000e0	0.000000e0	3.560118e-307	3.560118e-307	-1.330612543097186e-2	-1.330612543097186e-2	1.160358e-125	true
9	17	8	true	true	true	0.000000e0	8.900295e-308	3.560118e-307	0.000000e0	-8.331211442656495e-3	-8.331211442656495e-3	1.248116e-125	true
9	19	8	true	true	true	0.000000e0	0.000000e0	3.560118e-307	7.120236e-307	-1.347998638879205e-2	-1.347998638879205e-2	1.395920e-125	true
9	20	8	true	true	true	0.000000e0	0.000000e0	3.560118e-307	7.120236e-307	-1.184401299738689e-2	-1.184401299738689e-2	1.458736e-125	true
10	11	9	true	true	true	0.000000e0	1.335044e-307	1.780059e-307	3.560118e-307	-3.601908463419524e-2	-3.601908463419524e-2	2.170021e-126	true
10	13	9	true	true	true	0.000000e0	8.900295e-308	1.780059e-307	7.120236e-307	-2.624095040684380e-2	-2.624095040684380e-2	5.508514e-126	true
10	17	9	true	true	true	0.000000e0	8.900295e-308	1.780059e-307	0.000000e0	-1.472337601579188e-2	-1.472337601579188e-2	9.828917e-126	true
