a	b	sd_numeric	sd_exact	tail_error	tail_predicted	ratio
11	17	-0.0178393214	-0.0180183370	1.790156e-4	-1.823043e-4	-0.9820
12	17	-0.0182533838	-0.0184325285	1.791447e-4	-1.834831e-4	-0.9764
13	17	-0.0196648408	-0.0198447327	1.798918e-4	-1.844762e-4	-0.9751
14	17	-0.0216106147	-0.0217923396	1.817249e-4	-1.853241e-4	-0.9806
15	17	-0.0227433408	-0.0229262809	1.829401e-4	-1.860566e-4	-0.9832
16	17	-0.0237776401	-0.0239631756	1.855355e-4	-1.866958e-4	-0.9938
5	18	-0.0073978411	-0.0075489651	1.511239e-4	-1.555556e-4	-0.9715
7	18	-0.0105489202	-0.0107079984	1.590782e-4	-1.643991e-4	-0.9676
11	18	-0.0144638823	-0.0146352881	1.714058e-4	-1.721763e-4	-0.9955
13	18	-0.0179233368	-0.0180970080	1.736712e-4	-1.742275e-4	-0.9968
17	18	-0.0225169281	-0.0226888906	1.719625e-4	-1.768551e-4	-0.9723
2	19	-0.0023385308	-0.0024417677	1.032369e-4	-9.868421e-5	-1.0461
3	19	-0.0043612921	-0.0044949475	1.336555e-4	-1.267057e-4	-1.0549
4	19	-0.0043450902	-0.0044843301	1.392399e-4	-1.398026e-4	-0.9960
5	19	-0.0049580213	-0.0051065387	1.485174e-4	-1.473684e-4	-1.0078
6	19	-0.0093863845	-0.0095401164	1.537319e-4	-1.522904e-4	-1.0095
7	19	-0.0082403949	-0.0083936523	1.532574e-4	-1.557465e-4	-0.9840
8	19	-0.0111236325	-0.0112816012	1.579686e-4	-1.583059e-4	-0.9979
9	19	-0.0133199856	-0.0134799864	1.600008e-4	-1.602772e-4	-0.9983
10	19	-0.0068302957	-0.0069912637	1.609680e-4	-1.618421e-4	-0.9946
11	19	-0.0122107053	-0.0123706863	1.599811e-4	-1.631144e-4	-0.9808
12	19	-0.0150059898	-0.0151692158	1.632260e-4	-1.641691e-4	-0.9943
13	19	-0.0148158853	-0.0149794168	1.635314e-4	-1.650576e-4	-0.9908
14	19	-0.0178014352	-0.0179644752	1.630400e-4	-1.658163e-4	-0.9833
15	19	-0.0187743580	-0.0189393221	1.649641e-4	-1.664717e-4	-0.9909
16	19	-0.0195387893	-0.0197044622	1.656729e-4	-1.670436e-4	-0.9918
17	19	-0.0205754233	-0.0207397113	1.642880e-4	-1.675469e-4	-0.9805
18	19	-0.0213760949	-0.0215421526	1.660578e-4	-1.679933e-4	-0.9885
3	20	-0.0031943073	-0.0033131423	1.188350e-4	-1.203704e-4	-0.9872
7	20	-0.0053089263	-0.0054537167	1.447905e-4	-1.479592e-4	-0.9786
9	20	-0.0116915742	-0.0118440130	1.524388e-4	-1.522634e-4	-1.0012
11	20	-0.0094304059	-0.0095837126	1.533067e-4	-1.549587e-4	-0.9893
13	20	-0.0153756814	-0.0155330119	1.573304e-4	-1.568047e-4	-1.0034
17	20	-0.0188590144	-0.0190184068	1.593925e-4	-1.591696e-4	-1.0014
19	20	-0.0203421291	-0.0205048926	1.627635e-4	-1.599723e-4	-1.0174
