N,sum_gcd2_over_12ij,sum_inv_4max,total,ratio_to_3N
1000,164.0327402603,495.7577645694,659.7905048297,0.2199301683
5000,829.9319265437,2494.9528455831,3324.8847721268,0.2216589848
10000,1662.8354986685,4994.6062469146,6657.4417455831,0.2219147249
20000,3329.0172888707,9994.2596607519,13323.2769496226,0.2220546158
50000,8328.3365241347,24993.8015100303,33322.1380341650,0.2221475869
100000,16661.1686682857,49993.4549217607,66654.6235900465,0.2221820786
