t	energy
3.6900	2.782935
3.7000	2.775352
3.7100	2.767789
3.7200	2.760247
3.7300	2.752727
3.7400	2.745230
3.7500	2.737753
3.7600	2.730297
3.7700	2.722860
3.7800	2.715440
3.7900	2.708034
3.8000	2.700642
3.8100	2.693258
3.8200	2.685881
3.8300	2.678507
3.8400	2.671132
3.8500	2.663752
3.8600	2.656364
3.8700	2.648964
3.8800	2.641547
3.8900	2.634110
3.9000	2.626650
3.9100	2.619162
3.9200	2.611644
3.9300	2.604091
3.9400	2.596502
3.9500	2.588873
3.9600	2.581203
3.9700	2.573490
3.9800	2.565732
3.9900	2.557928
4.0000	2.550079
4.0100	2.542183
4.0200	2.534242
4.0300	2.526257
4.0400	2.518228
4.0500	2.510159
4.0600	2.502050
4.0700	2.493906
4.0800	2.485728
4.0900	2.477522
4.1000	2.469290
4.1100	2.461036
4.1200	2.452766
4.1300	2.444483
4.1400	2.436193
4.1500	2.427901
4.1600	2.419610
4.1700	2.411327
4.1800	2.403056
4.1900	2.394802
4.2000	2.386569
4.2100	2.378362
4.2200	2.370186
4.2300	2.362043
4.2400	2.353938
4.2500	2.345873
4.2600	2.337851
4.2700	2.329876
4.2800	2.321947
4.2900	2.314068
4.3000	2.306239
4.3100	2.298459
4.3200	2.290730
4.3300	2.283050
4.3400	2.275419
4.3500	2.267834
4.3600	2.260294
4.3700	2.252796
4.3800	2.245338
4.3900	2.237916
4.4000	2.230527
4.4100	2.223168
4.4200	2.215833
4.4300	2.208518
4.4400	2.201221
4.4500	2.193935
4.4600	2.186658
4.4700	2.179383
4.4800	2.172108
4.4900	2.164827
4.5000	2.157538
4.5100	2.150235
4.5200	2.142916
4.5300	2.135578
4.5400	2.128218
4.5500	2.120833
4.5600	2.113422
4.5700	2.105983
4.5800	2.098515
4.5900	2.091018
4.6000	2.083491
4.6100	2.075936
4.6200	2.068353
4.6300	2.060744
4.6400	2.053110
4.6500	2.045454
4.6600	2.037780
4.6700	2.030090
4.6800	2.022387
4.6900	2.014677
4.7000	2.006962
4.7100	1.999249
4.7200	1.991540
4.7300	1.983842
4.7400	1.976159
4.7500	1.968495
4.7600	1.960856
4.7700	1.953247
4.7800	1.945672
4.7900	1.938135
4.8000	1.930641
4.8100	1.923194
4.8200	1.915797
4.8300	1.908454
4.8400	1.901167
4.8500	1.893939
4.8600	1.886771
4.8700	1.879666
4.8800	1.872623
4.8900	1.865643
4.9000	1.858727
4.9100	1.851872
4.9200	1.845079
4.9300	1.838346
4.9400	1.831670
4.9500	1.825048
4.9600	1.818479
4.9700	1.811958
4.9800	1.805481
4.9900	1.799045
5.0000	1.792645
5.0100	1.786277
5.0200	1.779936
5.0300	1.773618
5.0400	1.767317
5.0500	1.761029
5.0600	1.754749
5.0700	1.748472
5.0800	1.742195
5.0900	1.735913
5.1000	1.729622
5.1100	1.723319
5.1200	1.717001
5.1300	1.710664
5.1400	1.704307
5.1500	1.697928
5.1600	1.691525
5.1700	1.685098
5.1800	1.678646
5.1900	1.672170
5.2000	1.665671
5.2100	1.659149
5.2200	1.652607
5.2300	1.646046
5.2400	1.639471
