d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	9.718741565302814e-1	9.718741565302814e-1	79.5773	1.000000	1
2	1.287165844895786e-1	1.287165844895786e-1	90.1166	1.500000	2 (prime)
3	1.914492846606303e-2	1.914492846606303e-2	91.6842	1.333333	3 (prime)
5	4.103083460427852e-3	4.103083460427852e-3	92.0202	1.200000	5 (prime)
6	3.841457482015703e-2	3.841457482015703e-2	95.1655	2.000000	2·3
7	1.363316902203863e-3	1.363316902203863e-3	95.2772	1.142857	7 (prime)
10	1.349176113245571e-2	1.349176113245571e-2	96.3819	1.800000	2·5
11	1.271211719745860e-4	1.271211719745860e-4	96.3923	1.090909	11 (prime)
