d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	7.307255822347334e-1	7.307255822347334e-1	49.0364	1.000000	1
2	4.189960610421925e-1	4.189960610421925e-1	77.1538	1.500000	2 (prime)
3	5.516329416822417e-2	5.516329416822417e-2	80.8556	1.333333	3 (prime)
5	2.307749903496923e-2	2.307749903496923e-2	82.4043	1.200000	5 (prime)
6	1.113341399486077e-1	1.113341399486077e-1	89.8755	2.000000	2·3
7	1.445659004588595e-2	1.445659004588595e-2	90.8456	1.142857	7 (prime)
10	2.735385424674784e-2	2.735385424674784e-2	92.6813	1.800000	2·5
11	8.069027224095341e-3	8.069027224095341e-3	93.2228	1.090909	11 (prime)
13	6.172303174012132e-3	6.172303174012132e-3	93.6370	1.076923	13 (prime)
14	1.264662359716483e-2	1.264662359716483e-2	94.4856	1.714286	2·7
15	3.960452912718467e-3	3.960452912718467e-3	94.7514	1.600000	3·5
17	4.058649818438898e-3	4.058649818438898e-3	95.0238	1.058824	17 (prime)
19	3.411424696881393e-3	3.411424696881393e-3	95.2527	1.052632	19 (prime)
21	1.657601419054599e-3	1.657601419054599e-3	95.3639	1.523810	3·7
22	4.822088159278253e-3	4.822088159278253e-3	95.6875	1.636364	2·11
23	2.514199723324233e-3	2.514199723324233e-3	95.8562	1.043478	23 (prime)
26	3.481340365655587e-3	3.481340365655587e-3	96.0899	1.615385	2·13
29	1.777110625357491e-3	1.777110625357491e-3	96.2091	1.034483	29 (prime)
30	6.532677661323121e-3	6.532677661323121e-3	96.6475	2.400000	2·3·5
31	1.562965045297660e-3	1.562965045297660e-3	96.7524	1.032258	31 (prime)
