r1	r2	value
0	0	0.000000000000000e0
0	1	0.000000000000000e0
0	2	0.000000000000000e0
0	3	0.000000000000000e0
0	4	0.000000000000000e0
0	5	0.000000000000000e0
0	6	0.000000000000000e0
0	7	0.000000000000000e0
1	0	0.000000000000000e0
1	1	6.362560554137649e-3
1	2	8.333153359381073e-3
1	3	3.626323741836146e-2
1	4	0.000000000000000e0
1	5	2.591871243720659e-2
1	6	-2.886828790504372e-2
1	7	1.206330796586357e-2
2	0	0.000000000000000e0
2	1	8.333153359381075e-3
2	2	1.593367788084365e-1
2	3	1.281727802510897e-1
2	4	0.000000000000000e0
2	5	7.222905428830896e-2
2	6	-7.436508159501330e-2
2	7	3.471568656922243e-2
3	0	0.000000000000000e0
3	1	3.626323741836146e-2
3	2	1.281727802510898e-1
3	3	3.749541506497803e-1
3	4	0.000000000000000e0
3	5	2.328542821289880e-1
3	6	-2.480283623984035e-1
3	7	1.110027803343698e-1
4	0	0.000000000000000e0
4	1	0.000000000000000e0
4	2	0.000000000000000e0
4	3	0.000000000000000e0
4	4	0.000000000000000e0
4	5	0.000000000000000e0
4	6	0.000000000000000e0
4	7	0.000000000000000e0
5	0	0.000000000000000e0
5	1	2.591871243720660e-2
5	2	7.222905428830896e-2
5	3	2.328542821289880e-1
5	4	0.000000000000000e0
5	5	1.832122459446461e-1
5	6	-1.747415025593900e-1
5	7	7.768085968388445e-2
6	0	0.000000000000000e0
6	1	-2.886828790504372e-2
6	2	-7.436508159501333e-2
6	3	-2.480283623984035e-1
6	4	0.000000000000000e0
6	5	-1.747415025593901e-1
6	6	1.947116126409871e-1
6	7	-8.641067454313044e-2
7	0	0.000000000000000e0
7	1	1.206330796586358e-2
7	2	3.471568656922246e-2
7	3	1.110027803343698e-1
7	4	0.000000000000000e0
7	5	7.768085968388445e-2
7	6	-8.641067454313044e-2
7	7	4.907906501553170e-2
