band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.370983380757423e-1
1	2	[2,4)	[4,8)	-4.026913998550313e-2
1	3	[2,4)	[8,16)	-1.898503881232658e-2
1	4	[2,4)	[16,32)	-1.997583819415720e-3
1	5	[2,4)	[32,64)	5.112984855224094e-3
1	6	[2,4)	[64,128)	-1.085192143042571e-3
1	7	[2,4)	[128,256)	6.929443812074380e-5
1	8	[2,4)	[256,512)	-1.516570716721177e-3
1	9	[2,4)	[512,1024)	5.916335192317707e-4
1	10	[2,4)	[1024,2048)	2.473357575009504e-4
1	11	[2,4)	[2048,4096)	-3.636649499385823e-4
1	12	[2,4)	[4096,8192)	1.679686713656717e-4
1	13	[2,4)	[8192,16384)	-2.175877773536475e-5
2	1	[4,8)	[2,4)	-4.026913998550316e-2
2	2	[4,8)	[4,8)	2.516234594815654e-1
2	3	[4,8)	[8,16)	1.179783112148498e-1
2	4	[4,8)	[16,32)	3.210837503410727e-2
2	5	[4,8)	[32,64)	-5.014008095861534e-2
2	6	[4,8)	[64,128)	1.002319873537438e-2
2	7	[4,8)	[128,256)	-9.020139381905631e-4
2	8	[4,8)	[256,512)	1.563910414568463e-2
2	9	[4,8)	[512,1024)	-6.145188186072065e-3
2	10	[4,8)	[1024,2048)	-2.642083490789432e-3
2	11	[4,8)	[2048,4096)	3.892219811520139e-3
2	12	[4,8)	[4096,8192)	-1.808424516586065e-3
2	13	[4,8)	[8192,16384)	2.359432566253698e-4
3	1	[8,16)	[2,4)	-1.898503881232658e-2
3	2	[8,16)	[4,8)	1.179783112148498e-1
3	3	[8,16)	[8,16)	1.017068126740255e-1
3	4	[8,16)	[16,32)	2.164128097040707e-2
3	5	[8,16)	[32,64)	-3.993667364332991e-2
3	6	[8,16)	[64,128)	7.894933815443169e-3
3	7	[8,16)	[128,256)	-7.084803261743567e-4
3	8	[8,16)	[256,512)	1.240074025674606e-2
3	9	[8,16)	[512,1024)	-4.923610237900762e-3
3	10	[8,16)	[1024,2048)	-2.149253055524316e-3
3	11	[8,16)	[2048,4096)	3.175883444628048e-3
3	12	[8,16)	[4096,8192)	-1.481990769811111e-3
3	13	[8,16)	[8192,16384)	1.942438909169096e-4
4	1	[16,32)	[2,4)	-1.997583819415748e-3
4	2	[16,32)	[4,8)	3.210837503410725e-2
4	3	[16,32)	[8,16)	2.164128097040705e-2
4	4	[16,32)	[16,32)	3.053055717527925e-2
4	5	[16,32)	[32,64)	-2.331039032801495e-2
4	6	[16,32)	[64,128)	2.664893017517841e-3
4	7	[16,32)	[128,256)	-7.745456072201519e-4
4	8	[16,32)	[256,512)	7.359744377681676e-3
4	9	[16,32)	[512,1024)	-2.962125702474449e-3
4	10	[16,32)	[1024,2048)	-1.392667285750597e-3
4	11	[16,32)	[2048,4096)	2.048085437130577e-3
4	12	[16,32)	[4096,8192)	-9.683662733907794e-4
4	13	[16,32)	[8192,16384)	1.286858385254556e-4
5	1	[32,64)	[2,4)	5.112984855224097e-3
5	2	[32,64)	[4,8)	-5.014008095861532e-2
5	3	[32,64)	[8,16)	-3.993667364332992e-2
5	4	[32,64)	[16,32)	-2.331039032801498e-2
5	5	[32,64)	[32,64)	5.092817810782189e-2
5	6	[32,64)	[64,128)	-1.146719732169709e-2
5	7	[32,64)	[128,256)	1.144522459614009e-3
5	8	[32,64)	[256,512)	-1.388877792251915e-2
5	9	[32,64)	[512,1024)	5.490535503510762e-3
5	10	[32,64)	[1024,2048)	2.586022258996781e-3
5	11	[32,64)	[2048,4096)	-3.830642800278360e-3
5	12	[32,64)	[4096,8192)	1.810686345462700e-3
5	13	[32,64)	[8192,16384)	-2.412562934616305e-4
6	1	[64,128)	[2,4)	-1.085192143042563e-3
6	2	[64,128)	[4,8)	1.002319873537439e-2
6	3	[64,128)	[8,16)	7.894933815443171e-3
6	4	[64,128)	[16,32)	2.664893017517822e-3
6	5	[64,128)	[32,64)	-1.146719732169708e-2
6	6	[64,128)	[64,128)	1.636333213842793e-2
6	7	[64,128)	[128,256)	-4.945292795133389e-3
6	8	[64,128)	[256,512)	8.136701572418002e-4
6	9	[64,128)	[512,1024)	-9.814020967156057e-4
6	10	[64,128)	[1024,2048)	-2.920978156666337e-4
6	11	[64,128)	[2048,4096)	4.567360272723663e-4
6	12	[64,128)	[4096,8192)	-2.066233007425319e-4
6	13	[64,128)	[8192,16384)	2.664077839227041e-5
7	1	[128,256)	[2,4)	6.929443812074814e-5
7	2	[128,256)	[4,8)	-9.020139381905644e-4
7	3	[128,256)	[8,16)	-7.084803261743549e-4
7	4	[128,256)	[16,32)	-7.745456072201519e-4
7	5	[128,256)	[32,64)	1.144522459614005e-3
7	6	[128,256)	[64,128)	-4.945292795133388e-3
7	7	[128,256)	[128,256)	1.068176829738989e-2
7	8	[128,256)	[256,512)	-3.460281261661163e-3
7	9	[128,256)	[512,1024)	-4.243120814007798e-4
7	10	[128,256)	[1024,2048)	1.544153873907294e-4
7	11	[128,256)	[2048,4096)	-7.005032980275187e-4
7	12	[128,256)	[4096,8192)	3.560723220425758e-4
7	13	[128,256)	[8192,16384)	-4.946271431221800e-5
8	1	[256,512)	[2,4)	-1.516570716721174e-3
8	2	[256,512)	[4,8)	1.563910414568464e-2
8	3	[256,512)	[8,16)	1.240074025674606e-2
8	4	[256,512)	[16,32)	7.359744377681674e-3
8	5	[256,512)	[32,64)	-1.388877792251916e-2
8	6	[256,512)	[64,128)	8.136701572417951e-4
8	7	[256,512)	[128,256)	-3.460281261661161e-3
8	8	[256,512)	[256,512)	1.623903137671858e-2
8	9	[256,512)	[512,1024)	-6.309300752853212e-3
8	10	[256,512)	[1024,2048)	-2.655006147979401e-3
8	11	[256,512)	[2048,4096)	3.848979092767564e-3
8	12	[256,512)	[4096,8192)	-2.001464228518548e-3
8	13	[256,512)	[8192,16384)	2.755687421767178e-4
9	1	[512,1024)	[2,4)	5.916335192317710e-4
9	2	[512,1024)	[4,8)	-6.145188186072066e-3
9	3	[512,1024)	[8,16)	-4.923610237900757e-3
9	4	[512,1024)	[16,32)	-2.962125702474450e-3
9	5	[512,1024)	[32,64)	5.490535503510757e-3
9	6	[512,1024)	[64,128)	-9.814020967156031e-4
9	7	[512,1024)	[128,256)	-4.243120814007783e-4
9	8	[512,1024)	[256,512)	-6.309300752853210e-3
9	9	[512,1024)	[512,1024)	6.499072513586500e-3
9	10	[512,1024)	[1024,2048)	3.535034919551437e-4
9	11	[512,1024)	[2048,4096)	-2.094999949242728e-3
9	12	[512,1024)	[4096,8192)	8.892495245686371e-4
9	13	[512,1024)	[8192,16384)	-1.244495819382243e-4
10	1	[1024,2048)	[2,4)	2.473357575009504e-4
10	2	[1024,2048)	[4,8)	-2.642083490789435e-3
10	3	[1024,2048)	[8,16)	-2.149253055524319e-3
10	4	[1024,2048)	[16,32)	-1.392667285750596e-3
10	5	[1024,2048)	[32,64)	2.586022258996780e-3
10	6	[1024,2048)	[64,128)	-2.920978156666304e-4
10	7	[1024,2048)	[128,256)	1.544153873907307e-4
10	8	[1024,2048)	[256,512)	-2.655006147979399e-3
10	9	[1024,2048)	[512,1024)	3.535034919551407e-4
10	10	[1024,2048)	[1024,2048)	3.278685470629870e-3
10	11	[1024,2048)	[2048,4096)	-2.699822397755875e-3
10	12	[1024,2048)	[4096,8192)	1.048790337435998e-3
10	13	[1024,2048)	[8192,16384)	-1.572441288498180e-4
11	1	[2048,4096)	[2,4)	-3.636649499385819e-4
11	2	[2048,4096)	[4,8)	3.892219811520139e-3
11	3	[2048,4096)	[8,16)	3.175883444628047e-3
11	4	[2048,4096)	[16,32)	2.048085437130577e-3
11	5	[2048,4096)	[32,64)	-3.830642800278359e-3
11	6	[2048,4096)	[64,128)	4.567360272723675e-4
11	7	[2048,4096)	[128,256)	-7.005032980275210e-4
11	8	[2048,4096)	[256,512)	3.848979092767564e-3
11	9	[2048,4096)	[512,1024)	-2.094999949242729e-3
11	10	[2048,4096)	[1024,2048)	-2.699822397755874e-3
11	11	[2048,4096)	[2048,4096)	4.584733980657027e-3
11	12	[2048,4096)	[4096,8192)	-1.980137988012472e-3
11	13	[2048,4096)	[8192,16384)	2.678744139639127e-4
12	1	[4096,8192)	[2,4)	1.679686713656710e-4
12	2	[4096,8192)	[4,8)	-1.808424516586065e-3
12	3	[4096,8192)	[8,16)	-1.481990769811110e-3
12	4	[4096,8192)	[16,32)	-9.683662733907794e-4
12	5	[4096,8192)	[32,64)	1.810686345462700e-3
12	6	[4096,8192)	[64,128)	-2.066233007425326e-4
12	7	[4096,8192)	[128,256)	3.560723220425753e-4
12	8	[4096,8192)	[256,512)	-2.001464228518548e-3
12	9	[4096,8192)	[512,1024)	8.892495245686362e-4
12	10	[4096,8192)	[1024,2048)	1.048790337435999e-3
12	11	[4096,8192)	[2048,4096)	-1.980137988012472e-3
12	12	[4096,8192)	[4096,8192)	1.225795278102588e-3
12	13	[4096,8192)	[8192,16384)	-1.724300271170592e-4
13	1	[8192,16384)	[2,4)	-2.175877773536477e-5
13	2	[8192,16384)	[4,8)	2.359432566253698e-4
13	3	[8192,16384)	[8,16)	1.942438909169096e-4
13	4	[8192,16384)	[16,32)	1.286858385254555e-4
13	5	[8192,16384)	[32,64)	-2.412562934616305e-4
13	6	[8192,16384)	[64,128)	2.664077839227036e-5
13	7	[8192,16384)	[128,256)	-4.946271431221800e-5
13	8	[8192,16384)	[256,512)	2.755687421767178e-4
