omega_j	omega_k	Q_value
1	1	3.439062220572858e1
1	2	-4.897875043333515e1
1	3	2.308878475670561e1
1	4	-3.811825719476140e0
1	5	1.138235642657369e-1
2	1	-4.897875043333515e1
2	2	7.663300762787202e1
2	3	-3.803898184615002e1
2	4	6.553720108181825e0
2	5	-2.058298891738235e-1
3	1	2.308878475670561e1
3	2	-3.803898184615002e1
3	3	1.947505886716642e1
3	4	-3.416729279205112e0
3	5	1.100321742611911e-1
4	1	-3.811825719476140e0
4	2	6.553720108181825e0
4	3	-3.416729279205112e0
4	4	5.858130552417492e-1
4	5	-1.892996041528390e-2
5	1	1.138235642657369e-1
5	2	-2.058298891738235e-1
5	3	1.100321742611911e-1
5	4	-1.892996041528390e-2
5	5	5.841788885718859e-4
