M	S_M	sum_abs	cancel_ratio	ln_M
2	4.968661963903084e-1	1.003304497825141e0	0.49522971	0.693147
3	8.821180837433545e-1	1.839996446032278e0	0.47941293	1.098612
5	1.097282151151132e0	2.368539642028183e0	0.46327371	1.609438
6	9.146390614585738e-1	2.808003804492420e0	0.32572572	1.791759
7	1.089305460134318e0	3.162243421263650e0	0.34447236	1.945910
10	9.518056829740105e-1	3.417641085165854e0	0.27849785	2.302585
11	1.081840052550943e0	3.661128554467928e0	0.29549360	2.397895
13	1.141928706506270e0	3.894650082339691e0	0.29320444	2.564949
14	1.087814873091128e0	4.088035410897850e0	0.26609722	2.639057
15	1.034637169267980e0	4.261372209950363e0	0.24279437	2.708050
17	1.099346572352028e0	4.429125867684009e0	0.24820847	2.833213
19	1.151092381934627e0	4.570934281036357e0	0.25182869	2.944439
21	1.100721584604296e0	4.690872894007521e0	0.23465176	3.044522
22	1.053812599654723e0	4.807193374411217e0	0.21921577	3.091042
23	1.095429211508224e0	4.904733250225140e0	0.22334124	3.135494
26	1.066780229893497e0	4.983631739727076e0	0.21405679	3.258097
29	1.090798396788622e0	5.043973522299808e0	0.21625776	3.367296
30	1.110871567685718e0	5.100495620662711e0	0.21779679	3.401197
31	1.130088827804156e0	5.150969592507499e0	0.21939342	3.433987
33	1.117416861028072e0	5.195450653828376e0	0.21507602	3.496508
34	1.106070735241205e0	5.234882804843487e0	0.21128854	3.526361
35	1.095909400375255e0	5.269643164628942e0	0.20796653	3.555348
37	1.103956856445621e0	5.297206782382926e0	0.20840358	3.610918
38	1.099593771785332e0	5.323851239994704e0	0.20654104	3.637586
39	1.095657047138059e0	5.346808204014218e0	0.20491796	3.663562
41	1.098753793925613e0	5.363692724033918e0	0.20485025	3.713572
42	1.101431911622984e0	5.377458760314654e0	0.20482387	3.737670
43	1.103639917708807e0	5.388558834737015e0	0.20481170	3.761200
46	1.103066809280799e0	5.393030353572746e0	0.20453562	3.828641
47	1.103563792659468e0	5.395370917844735e0	0.20453900	3.850148
