index	eigenvalue	pct_total
1	1.484490248482436e-1	1.389060
2	1.782505840598244e-1	1.667918
3	1.787955948012105e-1	1.673018
4	1.946307694706050e-1	1.821190
5	2.043118598232771e-1	1.911777
6	2.119922775568105e-1	1.983644
7	2.304190392682660e-1	2.156066
8	9.340163601211376e0	87.397328
