d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	5.917527720262796e-1	5.917527720262796e-1	69.4869	1.000000	1
2	5.408348530511217e-1	5.408348530511217e-1	132.9948	1.500000	2 (prime)
3	1.987550726205576e-1	1.987550726205576e-1	156.3337	1.333333	3 (prime)
5	-2.586358745711248e-1	2.586358745711248e-1	186.7042	1.200000	5 (prime)
6	-8.099508849986982e-2	8.099508849986982e-2	196.2151	2.000000	2·3
7	-7.330273949811260e-2	7.330273949811260e-2	204.8227	1.142857	7 (prime)
10	-1.943786676958605e-2	1.943786676958605e-2	207.1052	1.800000	2·5
11	-5.717079625951277e-2	5.717079625951277e-2	213.8185	1.090909	11 (prime)
13	2.819380257745281e-2	2.819380257745281e-2	217.1292	1.076923	13 (prime)
14	-9.841501616398450e-3	9.841501616398450e-3	218.2848	1.714286	2·7
15	-3.868889861666958e-2	3.868889861666958e-2	222.8279	1.600000	3·5
17	-2.362147514470336e-2	2.362147514470336e-2	225.6017	1.058824	17 (prime)
19	1.063440828829955e-2	1.063440828829955e-2	226.8504	1.052632	19 (prime)
21	1.265645772685921e-2	1.265645772685921e-2	228.3366	1.523810	3·7
22	-1.332689218159639e-3	1.332689218159639e-3	228.4931	1.636364	2·11
23	-2.305389698676502e-2	2.305389698676502e-2	231.2002	1.043478	23 (prime)
26	5.720061786191335e-3	5.720061786191335e-3	231.8719	1.615385	2·13
29	1.795276889934156e-2	1.795276889934156e-2	233.9800	1.034483	29 (prime)
30	-2.861884370653132e-3	2.861884370653132e-3	234.3161	2.400000	2·3·5
31	1.097270586227365e-2	1.097270586227365e-2	235.6045	1.032258	31 (prime)
33	-9.254247672073484e-3	9.254247672073484e-3	236.6912	1.454545	3·11
34	7.873051816870025e-3	7.873051816870025e-3	237.6157	1.588235	2·17
35	-5.305966739025083e-3	5.305966739025083e-3	238.2388	1.371429	5·7
37	-3.384724465838696e-3	3.384724465838696e-3	238.6362	1.027027	37 (prime)
38	5.580543975182211e-3	5.580543975182211e-3	239.2915	1.578947	2·19
39	-6.099393463758820e-3	6.099393463758820e-3	240.0078	1.435897	3·13
41	6.106548987338479e-3	6.106548987338479e-3	240.7248	1.024390	41 (prime)
42	9.443017123705954e-4	9.443017123705954e-4	240.8357	2.285714	2·3·7
43	7.128910632806160e-3	7.128910632806160e-3	241.6728	1.023256	43 (prime)
46	2.170814790496426e-3	2.170814790496426e-3	241.9277	1.565217	2·23
47	-2.323418734901848e-3	2.323418734901848e-3	242.2006	1.021277	47 (prime)
51	5.518467618404366e-3	5.518467618404366e-3	242.8486	1.411765	3·17
53	3.885186528887603e-3	3.885186528887603e-3	243.3048	1.018868	53 (prime)
55	1.483400118215053e-3	1.483400118215053e-3	243.4790	1.309091	5·11
57	1.438438658340047e-3	1.438438658340047e-3	243.6479	1.403509	3·19
58	4.644566501001980e-3	4.644566501001980e-3	244.1933	1.551724	2·29
59	1.268803111956440e-3	1.268803111956440e-3	244.3423	1.016949	59 (prime)
61	-1.278310404911707e-3	1.278310404911707e-3	244.4924	1.016393	61 (prime)
62	2.689494772074855e-3	2.689494772074855e-3	244.8082	1.548387	2·31
65	1.049365518270710e-3	1.049365518270710e-3	244.9314	1.292308	5·13
66	1.149655085803280e-3	1.149655085803280e-3	245.0664	2.181818	2·3·11
67	4.179588932706955e-3	4.179588932706955e-3	245.5572	1.014925	67 (prime)
69	3.106813103683972e-3	3.106813103683972e-3	245.9220	1.391304	3·23
70	1.405585634462442e-3	1.405585634462442e-3	246.0871	2.057143	2·5·7
71	2.775073467432446e-3	2.775073467432446e-3	246.4129	1.014085	71 (prime)
