d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	8.034240553987911e-1	8.034240553987911e-1	56.1612	1.000000	1
2	3.636166921990194e-1	3.636166921990194e-1	81.5788	1.500000	2 (prime)
3	6.998466545896684e-2	6.998466545896684e-2	86.4709	1.333333	3 (prime)
5	2.568439613120601e-2	2.568439613120601e-2	88.2663	1.200000	5 (prime)
6	6.208562341027154e-2	6.208562341027154e-2	92.6062	2.000000	2·3
7	1.445300407829259e-2	1.445300407829259e-2	93.6165	1.142857	7 (prime)
10	1.467328046404612e-2	1.467328046404612e-2	94.6422	1.800000	2·5
11	6.302287378991096e-3	6.302287378991096e-3	95.0828	1.090909	11 (prime)
13	4.634505106424870e-3	4.634505106424870e-3	95.4067	1.076923	13 (prime)
14	7.100376042509710e-3	7.100376042509710e-3	95.9031	1.714286	2·7
15	7.133597374633912e-4	7.133597374633912e-4	95.9529	1.600000	3·5
17	2.759622744972920e-3	2.759622744972920e-3	96.1458	1.058824	17 (prime)
19	2.212132511403411e-3	2.212132511403411e-3	96.3005	1.052632	19 (prime)
21	2.631617625539943e-4	2.631617625539943e-4	96.3189	1.523810	3·7
22	3.196200184821598e-3	3.196200184821598e-3	96.5423	1.636364	2·11
23	1.385167031237774e-3	1.385167031237774e-3	96.6391	1.043478	23 (prime)
