M	S_M	sum_abs	cancel_ratio	ln_M
3	3.050934658553018e-1	4.592232657044444e0	0.06643685	1.098612
7	4.541164971621748e-1	7.219724797795376e0	0.06289942	1.945910
13	5.092223948730866e-1	8.752102437224714e0	0.05818287	2.564949
17	4.431092031767515e-1	9.880056679238713e0	0.04484885	2.833213
22	4.154741366225309e-1	1.068130502148283e1	0.03889732	3.091042
29	4.421635998060058e-1	1.128235944032738e1	0.03919070	3.367296
33	4.646130784141353e-1	1.174145620095574e1	0.03957031	3.496508
37	4.463006478552834e-1	1.212228057872442e1	0.03681656	3.610918
41	4.312133504719367e-1	1.244080648278278e1	0.03466121	3.713572
46	4.440352327909771e-1	1.270506235781841e1	0.03494947	3.828641
53	4.525611984852539e-1	1.290388001662007e1	0.03507171	3.970292
58	4.345960773325683e-1	1.305503608510634e1	0.03328953	4.060443
62	4.401832030781320e-1	1.318185869072531e1	0.03339311	4.127134
67	4.436521699510375e-1	1.328125700015153e1	0.03340438	4.204693
71	4.464791525478413e-1	1.336304710516744e1	0.03341148	4.262680
77	4.444644867736020e-1	1.342703319130252e1	0.03310221	4.343805
82	4.468278207389001e-1	1.347454743061702e1	0.03316088	4.406719
86	4.458834396783189e-1	1.350778163101199e1	0.03300938	4.454347
91	4.450085941075768e-1	1.353025425362633e1	0.03288989	4.510860
95	4.436940619103132e-1	1.354167777082432e1	0.03276507	4.553877
